Выборы Президента Российской Федерации																																				
																																				
Наименование Избирательной комиссии:    Юрлинская																																				
																																				
Итоги голосования 																																				
																																				
		Сумма	УИК №5301	УИК №5302	УИК №5303	УИК №5304	УИК №5305	УИК №5306	УИК №5307	УИК №5308	УИК №5309	УИК №5310	УИК №5311	УИК №5312	УИК №5313	УИК №5314	УИК №5315	УИК №5316	УИК №5317	УИК №5318	УИК №5319	УИК №5320	УИК №5321	УИК №5322	УИК №5323	УИК №5324	УИК №5325	УИК №5326	УИК №5327	УИК №5328	УИК №5329					
1	"Число избирателей, внесенных в список"	7959	443	2661	64	141	62	285	75	168	127	425	105	329	65	326	60	191	168	348	151	319	198	75	151	187	492	45	93	128	77					
2	Число полученных избирательных бюллетеней	7724	400	2400	70	140	62	270	77	175	125	430	125	350	70	330	65	200	180	340	155	300	220	85	150	185	435	50	105	140	90					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4675	172	1445	54	98	48	170	58	119	72	256	72	206	47	175	51	133	123	175	92	166	114	65	89	121	294	36	69	88	67					
5	"Число избирательных бюллетеней, выданных вне помещения"	895	120	107	3	14	7	49	4	12	23	46	11	56	10	65	5	15	14	108	32	88	13	2	31	8	33	0	0	14	5					
6	Число погашенных избирательных бюллетеней	2154	108	848	13	28	7	51	15	44	30	128	42	88	13	90	9	52	43	57	31	46	93	18	30	56	108	14	36	38	18					
7	Число избирательных бюллетеней в переносных ящиках	895	120	107	3	14	7	49	4	12	23	46	11	56	10	65	5	15	14	108	32	88	13	2	31	8	33	0	0	14	5					
8	Число бюллетеней в стационарных ящиках для голосования	4675	172	1445	54	98	48	170	58	119	72	256	72	206	47	175	51	133	123	175	92	166	114	65	89	121	294	36	69	88	67					
9	Число недействительных избирательных бюллетеней	59	1	13	0	0	1	7	0	1	1	7	0	1	1	3	0	0	4	3	2	1	3	0	0	2	3	1	1	1	2					
10	Число действительных избирательных бюллетеней	5511	291	1539	57	112	54	212	62	130	94	295	83	261	56	237	56	148	133	280	122	253	124	67	120	127	324	35	68	101	70					
11	Число полученных открепительных  удостоверений	310	10	55	5	10	5	10	5	10	10	10	5	15	5	10	5	10	15	10	5	10	10	10	10	10	15	5	10	10	10					
12	Число выданных открепительных удостоверений	111	2	42	0	4	0	2	2	2	4	7	1	3	0	6	0	4	10	4	1	1	7	2	0	0	4	0	0	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	62	3	25	1	1	1	3	1	2	1	2	0	1	1	2	1	0	2	3	0	0	0	1	1	3	2	1	1	2	1					
14	Число неиспользованных открепительных удостоверений	199	8	13	5	6	5	8	3	8	6	3	4	12	5	4	5	6	5	6	4	9	3	8	10	10	11	5	10	10	7					
