Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Хасанская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837					
1	"Число избирателей, внесенных в список"	29141	761	440	127	2418	1773	522	1617	951	594	2239	2350	2105	1958	1548	785	1195	423	746	1286	829	2081	973	302	718	25	22	30	26	26	24	29	34	36	27	27	23	20	22	12	17					
2	Число полученных избирательных бюллетеней	27966	756	431	125	2377	1797	510	1523	924	557	2049	2306	2029	1922	1534	777	1074	407	789	1251	781	1824	945	314	548	25	22	30	26	26	24	29	34	33	27	27	23	20	22	14	34					
3	"Число избирательных бюллетеней, выданных  досрочно"	497	91	28	23	44	0	25	0	0	63	0	0	0	0	0	62	21	0	0	0	0	0	126	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16097	367	267	73	1359	1109	295	851	512	280	1224	1202	1030	884	759	365	623	214	406	958	489	1325	433	171	506	25	22	30	26	26	24	29	32	33	27	27	23	20	22	12	17					
5	"Число избирательных бюллетеней, выданных вне помещения"	513	27	5	2	21	7	30	9	30	14	18	9	56	19	17	15	15	0	19	66	25	52	20	21	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	10856	271	131	27	953	681	158	663	382	200	807	1094	943	1019	758	335	415	193	364	227	267	447	366	122	12	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	17					
7	Число избирательных бюллетеней в переносных ящиках	1010	118	33	25	65	7	55	9	30	77	18	9	56	19	17	77	36	0	19	66	25	52	146	21	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	16089	366	267	73	1356	1109	295	851	512	280	1224	1201	1029	884	759	365	623	214	406	957	489	1325	433	171	506	25	22	30	26	26	24	29	32	33	27	27	22	20	22	12	17					
9	Число недействительных избирательных бюллетеней	181	2	9	0	15	7	5	6	9	2	13	10	5	10	5	2	7	4	6	8	8	27	9	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	16918	482	291	98	1406	1109	345	854	533	355	1229	1200	1080	893	771	440	652	210	419	1015	506	1350	570	188	528	25	22	30	26	26	24	29	32	33	27	27	22	20	22	12	17					
