Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Кантемировская																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845					
1	"Число избирателей, внесенных в список"	31496	1213	1258	1452	2005	1041	1763	1667	98	592	519	628	271	842	259	68	694	412	442	414	753	1192	652	707	1371	175	421	713	218	428	1119	1141	374	393	181	495	309	1226	829	373	1221	166	693	187	240	281					
2	Число полученных избирательных бюллетеней	31000	1200	1240	1400	2000	1000	1700	1600	100	600	500	620	300	850	250	80	700	400	430	420	700	1150	650	700	1350	180	420	700	200	420	1100	1150	370	400	180	500	300	1220	800	370	1200	170	680	180	240	280					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	17206	734	643	727	1008	461	815	996	66	372	293	284	192	513	88	42	362	246	241	261	448	586	336	381	717	102	236	427	119	252	669	557	174	190	155	350	205	842	451	180	563	120	362	131	151	158					
5	"Число избирательных бюллетеней, выданных вне помещения"	4184	30	52	53	84	55	125	56	12	119	157	191	52	165	127	5	162	124	139	55	43	84	65	29	63	18	40	108	48	67	171	287	113	134	9	24	55	144	149	126	300	39	149	22	51	83					
6	Число погашенных избирательных бюллетеней	9610	436	545	620	908	484	760	548	22	109	50	145	56	172	35	33	176	30	50	104	209	480	249	290	570	60	144	165	33	101	260	306	83	76	16	126	40	234	200	64	337	11	169	27	38	39					
7	Число избирательных бюллетеней в переносных ящиках	4184	30	52	53	84	55	125	56	12	119	157	191	52	165	127	5	162	124	139	55	43	84	65	29	63	18	40	108	48	67	171	287	113	134	9	24	55	144	149	126	300	39	149	22	51	83					
8	Число бюллетеней в стационарных ящиках для голосования	17202	734	643	727	1006	461	815	994	66	372	293	284	192	513	88	42	362	246	241	261	448	586	336	381	717	102	236	427	119	252	669	557	174	190	155	350	205	842	451	180	563	120	362	131	151	158					
9	Число недействительных избирательных бюллетеней	161	4	2	0	11	3	5	3	0	3	4	3	1	13	3	0	2	0	0	1	0	4	3	8	8	0	8	8	6	4	8	7	2	3	1	3	2	7	6	4	5	0	2	0	2	2					
10	Число действительных избирательных бюллетеней	21225	760	693	780	1079	513	935	1047	78	488	446	472	243	665	212	47	522	370	380	315	491	666	398	402	772	120	268	527	161	315	832	837	285	321	163	371	258	979	594	302	858	159	509	153	200	239					
