Выборы Президента Российской Федерации																																																																
																																																																
Наименование Избирательной комиссии:    Аннинская																																																																
																																																																
Итоги голосования 																																																																
																																																																
		Сумма	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157					
1	"Число избирателей, внесенных в список"	40119	1117	991	1432	1898	1518	1815	1078	1510	1306	1413	998	1027	1031	539	550	236	1070	522	194	580	796	318	507	288	344	200	245	428	334	128	1032	364	967	519	404	327	453	175	353	207	676	608	147	134	795	264	1068	569	629	1087	1131	781	990	697	555	225	549					
2	Число полученных избирательных бюллетеней	40000	1100	960	1400	1860	1470	1780	1030	1490	1290	1400	990	1040	1010	537	556	233	1082	527	195	597	800	320	510	290	347	189	250	430	335	126	1045	366	978	515	417	323	465	177	357	211	682	612	150	136	791	268	1070	567	646	1100	1145	787	983	714	563	218	570					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	28468	946	650	916	1512	869	1165	683	899	796	885	707	725	741	352	449	121	915	310	117	439	544	298	326	161	290	147	199	360	236	98	766	308	728	310	250	238	369	166	237	105	643	578	144	132	691	262	815	278	457	858	864	315	753	415	389	135	406					
5	"Число избирательных бюллетеней, выданных вне помещения"	6377	56	59	127	110	77	126	105	106	80	148	135	138	133	171	88	109	141	112	58	27	237	9	159	124	52	42	40	52	83	28	241	37	234	195	138	75	55	9	99	88	19	11	0	0	70	0	200	243	166	137	202	436	184	258	142	71	135					
6	Число погашенных избирательных бюллетеней	5155	98	251	357	238	524	489	242	485	414	367	148	177	136	14	19	3	26	105	20	131	19	13	25	5	5	0	11	18	16	0	38	21	16	10	29	10	41	2	21	18	20	23	6	4	30	6	55	46	23	105	79	36	46	41	32	12	29					
7	Число избирательных бюллетеней в переносных ящиках	6377	56	59	127	110	77	126	105	106	80	148	135	138	133	171	88	109	141	112	58	27	237	9	159	124	52	42	40	52	83	28	241	37	234	195	138	75	55	9	99	88	19	11	0	0	70	0	200	243	166	137	202	436	184	258	142	71	135					
8	Число бюллетеней в стационарных ящиках для голосования	28467	946	650	916	1512	869	1165	683	899	796	885	707	725	741	352	449	121	915	310	117	439	544	298	326	161	290	147	199	360	236	98	766	308	728	310	250	238	369	166	237	105	643	578	144	132	691	262	815	278	457	858	864	315	752	415	389	135	406					
9	Число недействительных избирательных бюллетеней	231	3	7	9	13	6	12	3	8	0	14	12	5	6	3	0	1	0	2	1	0	4	1	16	0	4	0	0	3	5	0	0	1	0	3	0	0	6	0	2	0	0	2	2	0	1	3	7	7	33	4	7	2	7	1	3	2	0					
10	Число действительных избирательных бюллетеней	34613	999	702	1034	1609	940	1279	785	997	876	1019	830	858	868	520	537	229	1056	420	174	466	777	306	469	285	338	189	239	409	314	126	1007	344	962	502	388	313	418	175	334	193	662	587	142	132	760	259	1008	514	590	991	1059	749	929	672	528	204	541					
11	Число полученных открепительных  удостоверений	501	12	17	18	18	23	30	18	14	14	17	17	10	10	5	5	5	10	10	5	10	10	8	5	5	5	5	5	5	10	5	9	5	10	5	5	5	5	5	5	10	5	5	5	5	5	5	5	5	9	9	9	9	9	5	6	5	5					
12	Число выданных открепительных удостоверений	133	3	1	10	12	4	14	6	10	2	3	7	7	1	0	0	0	2	0	2	6	4	2	0	2	0	0	0	4	0	1	2	2	0	2	0	0	5	0	2	0	2	0	0	0	1	0	1	0	0	0	0	1	5	1	6	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	124	2	8	6	1	11	7	5	4	3	1	3	1	5	3	1	2	2	0	4	1	2	2	1	0	0	3	1	1	1	2	0	0	0	6	0	3	0	2	3	2	0	0	0	0	5	1	2	3	1	3	1	1	1	2	2	3	0					
14	Число неиспользованных открепительных удостоверений	368	9	16	8	6	19	16	12	4	12	14	10	3	9	5	5	5	8	10	3	4	6	6	5	3	5	5	5	1	10	4	7	3	10	3	5	5	0	5	3	10	3	5	5	5	4	5	4	5	9	9	9	8	4	4	0	5	5					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																
18	. Глазьев Сергей Юрьевич	594	15	29	23	47	33	36	29	26	17	39	27	18	7	4	5	0	17	8	2	10	2	2	6	1	7	0	1	5	3	1	14	1	5	4	6	3	7	3	7	4	10	4	0	0	5	0	12	10	2	13	16	5	20	12	3	2	6					
