Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Таврическая																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133					
1	"Число избирателей, внесенных в список"	28251	2266	2572	1780	2777	1171	494	1007	141	591	269	347	248	1000	150	1087	165	331	797	127	243	204	79	1298	309	321	232	235	250	236	189	1126	105	1407	166	159	152	2267	108	98	230	1091	218	208					
2	Число полученных избирательных бюллетеней	27759	2177	2549	1862	2230	1188	499	985	147	603	268	348	245	1005	139	1120	163	331	809	134	250	201	78	1281	299	319	229	239	248	227	183	1169	113	1454	164	147	144	2275	104	92	244	1083	209	205					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	19632	1344	1540	1083	1800	659	393	742	125	492	200	297	242	796	131	733	146	251	593	106	232	162	72	1027	266	259	193	193	204	203	155	724	70	993	141	135	119	1459	94	86	220	718	113	121					
5	"Число избирательных бюллетеней, выданных вне помещения"	1734	62	91	126	170	209	50	35	13	5	37	25	0	29	0	58	7	31	42	3	11	0	0	56	14	11	7	15	8	6	7	105	26	94	9	0	6	179	8	1	3	81	53	41					
6	Число погашенных избирательных бюллетеней	6393	771	918	653	260	320	56	208	9	106	31	26	3	180	8	329	10	49	174	25	7	39	6	198	19	49	29	31	36	18	21	340	17	367	14	12	19	637	2	5	21	284	43	43					
7	Число избирательных бюллетеней в переносных ящиках	1734	62	91	126	170	209	50	35	13	5	37	25	0	29	0	58	7	31	42	3	11	0	0	56	14	11	7	15	8	6	7	105	26	94	9	0	6	179	8	1	3	81	53	41					
8	Число бюллетеней в стационарных ящиках для голосования	19630	1344	1540	1083	1800	659	391	742	125	492	200	297	242	796	131	733	146	251	593	106	232	162	72	1027	266	259	193	193	204	203	155	724	70	993	141	135	119	1459	94	86	220	718	113	121					
9	Число недействительных избирательных бюллетеней	268	7	36	15	20	5	4	9	0	14	3	3	3	9	0	7	0	3	9	0	2	7	0	15	3	0	5	2	1	2	1	11	1	19	2	3	2	14	3	2	8	17	0	1					
10	Число действительных избирательных бюллетеней	21096	1399	1595	1194	1950	863	437	768	138	483	234	319	239	816	131	784	153	279	626	109	241	155	72	1068	277	270	195	206	211	207	161	818	95	1068	148	132	123	1624	99	85	215	782	166	161					
11	Число полученных открепительных  удостоверений	760	30	30	30	30	30	20	30	10	10	10	10	10	30	10	30	10	10	30	10	10	10	10	30	10	10	10	10	10	10	10	40	10	60	10	10	10	30	10	10	10	30	10	10					
12	Число выданных открепительных удостоверений	424	28	27	19	27	17	15	16	9	7	0	4	1	24	2	24	0	0	28	0	1	5	0	10	1	3	0	2	0	3	0	39	10	59	3	0	0	25	2	0	0	12	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	249	28	12	4	25	6	3	9	3	10	3	6	6	4	3	10	5	3	8	1	1	3	4	11	3	3	1	3	3	7	4	7	3	5	3	4	4	12	2	2	1	7	5	2					
14	Число неиспользованных открепительных удостоверений	336	2	3	11	3	13	5	14	1	3	10	6	9	6	8	6	10	10	2	10	9	5	10	20	9	7	10	8	10	7	10	1	0	1	7	10	10	5	8	10	10	18	9	10					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																		
18	. Глазьев Сергей Юрьевич	425	34	47	26	24	22	5	14	3	10	2	1	1	25	0	8	0	0	6	2	1	0	7	27	6	3	7	2	2	1	1	13	0	15	3	0	9	62	1	1	0	23	5	6					
		1.99%	2.42%	2.88%	2.15%	1.22%	2.53%	1.13%	1.80%	2.17%	2.01%	0.84%	0.31%	0.41%	3.03%	0.00%	1.01%	0.00%	0.00%	0.94%	1.83%	0.41%	0.00%	9.72%	2.49%	2.14%	1.11%	3.50%	0.96%	0.94%	0.48%	0.62%	1.57%	0.00%	1.38%	2.00%	0.00%	7.20%	3.79%	0.98%	1.15%	0.00%	2.88%	3.01%	3.70%					
19	. Малышкин Олег Александрович	722	26	44	31	63	38	25	40	4	21	8	16	2	35	0	37	8	2	24	4	3	3	9	46	4	13	5	10	9	18	15	20	10	36	5	0	1	53	4	4	2	15	7	2					
		3.38%	1.85%	2.70%	2.56%	3.20%	4.38%	5.67%	5.15%	2.90%	4.23%	3.38%	4.97%	0.83%	4.24%	0.00%	4.68%	5.23%	0.71%	3.78%	3.67%	1.23%	1.85%	12.50%	4.25%	1.43%	4.81%	2.50%	4.81%	4.25%	8.61%	9.26%	2.41%	10.42%	3.31%	3.33%	0.00%	0.80%	3.24%	3.92%	4.60%	0.90%	1.88%	4.22%	1.23%					
20	. Миронов Сергей Михайлович	119	3	6	5	8	14	1	5	1	9	1	1	0	7	0	3	2	1	3	0	0	0	1	7	1	1	0	1	3	3	0	5	0	10	3	1	0	9	0	1	1	1	0	1					
		0.56%	0.21%	0.37%	0.41%	0.41%	1.61%	0.23%	0.64%	0.72%	1.81%	0.42%	0.31%	0.00%	0.85%	0.00%	0.38%	1.31%	0.35%	0.47%	0.00%	0.00%	0.00%	1.39%	0.65%	0.36%	0.37%	0.00%	0.48%	1.42%	1.44%	0.00%	0.60%	0.00%	0.92%	2.00%	0.74%	0.00%	0.55%	0.00%	1.15%	0.45%	0.13%	0.00%	0.62%					
21	. Путин Владимир Владимирович	14501	1022	1152	904	1477	606	336	556	103	374	158	225	185	552	101	460	126	230	456	95	220	122	49	595	206	125	92	159	157	136	98	428	68	662	108	85	84	955	70	67	144	543	89	121					
		67.88%	72.69%	70.63%	74.77%	74.97%	69.82%	76.19%	71.56%	74.64%	75.25%	66.67%	69.88%	76.45%	66.91%	77.10%	58.15%	82.35%	81.56%	71.81%	87.16%	90.53%	75.31%	68.06%	54.94%	73.57%	46.30%	46.00%	76.44%	74.06%	65.07%	60.49%	51.63%	70.83%	60.90%	72.00%	62.96%	67.20%	58.30%	68.63%	77.01%	64.57%	67.96%	53.61%	74.69%					
22	. Хакамада Ирина Муцуовна	389	33	30	21	33	9	6	37	4	9	4	5	3	9	0	11	1	5	14	1	5	6	0	9	5	2	3	2	2	3	2	14	3	20	6	2	2	41	1	1	4	10	4	7					
		1.82%	2.35%	1.84%	1.74%	1.68%	1.04%	1.36%	4.76%	2.90%	1.81%	1.69%	1.55%	1.24%	1.09%	0.00%	1.39%	0.65%	1.77%	2.20%	0.92%	2.06%	3.70%	0.00%	0.83%	1.79%	0.74%	1.50%	0.96%	0.94%	1.44%	1.23%	1.69%	3.12%	1.84%	4.00%	1.48%	1.60%	2.50%	0.98%	1.15%	1.79%	1.25%	2.41%	4.32%					
23	. Харитонов Николай Михайлович	4497	236	274	180	277	154	54	102	20	55	58	64	45	183	30	254	14	39	117	6	12	24	6	356	54	122	85	26	37	43	40	320	11	311	20	42	27	466	23	11	63	162	58	16					
		21.05%	16.79%	16.80%	14.89%	14.06%	17.74%	12.24%	13.13%	14.49%	11.07%	24.47%	19.88%	18.60%	22.18%	22.90%	32.11%	9.15%	13.83%	18.43%	5.50%	4.94%	14.81%	8.33%	32.87%	19.29%	45.19%	42.50%	12.50%	17.45%	20.57%	24.69%	38.60%	11.46%	28.61%	13.33%	31.11%	21.60%	28.45%	22.55%	12.64%	28.25%	20.28%	34.94%	9.88%					
																																																		
24	Против всех	443	45	42	27	68	20	10	14	3	5	3	7	3	5	0	11	2	2	6	1	0	0	0	28	1	4	3	6	1	3	5	18	3	14	3	2	0	38	0	0	1	28	3	8					
		2.07%	3.20%	2.58%	2.23%	3.45%	2.30%	2.27%	1.80%	2.17%	1.01%	1.27%	2.17%	1.24%	0.61%	0.00%	1.39%	1.31%	0.71%	0.94%	0.92%	0.00%	0.00%	0.00%	2.59%	0.36%	1.48%	1.50%	2.88%	0.47%	1.44%	3.09%	2.17%	3.12%	1.29%	2.00%	1.48%	0.00%	2.32%	0.00%	0.00%	0.45%	3.50%	1.81%	4.94%					
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
