Выборы Президента Российской Федерации																																																						
																																																						
Наименование Избирательной комиссии:    Лаишевская																																																						
																																																						
Итоги голосования 																																																						
																																																						
		Сумма	УИК  112	УИК №113	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799					
1	"Число избирателей, внесенных в список"	24763	824	70	97	1093	660	1055	1055	1075	966	1116	232	466	286	612	133	530	336	304	554	336	164	121	665	554	186	478	305	418	628	1140	692	883	883	1307	128	620	129	503	124	1225	107	74	534	143	175	296	481					
2	Число полученных избирательных бюллетеней	24980	813	70	101	1142	655	1053	1036	1111	999	1133	237	468	286	621	133	538	342	304	568	344	163	116	666	547	186	474	305	421	642	1104	728	896	868	1301	128	632	131	530	126	1244	108	79	538	143	175	296	479					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	22816	797	58	65	1038	581	935	972	1019	750	1110	171	437	209	592	111	426	329	287	518	321	148	81	582	528	135	438	271	406	579	1059	585	815	868	1193	81	593	129	503	124	1193	107	74	534	143	175	296	450					
5	"Число избирательных бюллетеней, выданных вне помещения"	1639	1	12	32	46	39	77	57	56	216	6	61	29	77	20	22	104	7	17	35	14	15	35	81	15	50	33	34	12	30	45	87	50	0	99	47	27	0	0	0	22	0	0	0	0	0	0	29					
6	Число погашенных избирательных бюллетеней	525	15	0	4	58	35	41	7	36	33	17	5	2	0	9	0	8	6	0	15	9	0	0	3	4	1	3	0	3	33	0	56	31	0	9	0	12	2	27	2	29	1	5	4	0	0	0	0					
7	Число избирательных бюллетеней в переносных ящиках	1639	1	12	32	46	39	77	57	56	216	6	61	29	77	20	22	104	7	17	35	14	15	35	81	15	50	33	34	12	30	45	87	50	0	99	47	27	0	0	0	22	0	0	0	0	0	0	29					
8	Число бюллетеней в стационарных ящиках для голосования	22814	797	58	65	1038	581	935	972	1019	750	1110	171	437	209	592	111	426	329	287	516	321	148	81	582	528	135	438	271	406	579	1059	585	815	868	1193	81	593	129	503	124	1193	107	74	534	143	175	296	450					
9	Число недействительных избирательных бюллетеней	310	6	9	0	11	13	8	21	122	36	0	0	0	0	1	0	0	15	0	0	2	0	0	0	0	0	3	0	0	3	5	4	25	9	0	0	11	0	0	0	0	0	0	0	0	4	0	2					
10	Число действительных избирательных бюллетеней	24143	792	61	97	1073	607	1004	1008	953	930	1116	232	466	286	611	133	530	321	304	551	333	163	116	663	543	185	468	305	418	606	1099	668	840	859	1292	128	609	129	503	124	1215	107	74	534	143	171	296	477					
11	Число полученных открепительных  удостоверений	1800	43	0	13	68	35	73	102	88	58	68	19	30	25	43	6	39	20	25	37	43	25	4	73	43	10	50	10	28	83	93	85	57	53	63	4	73	11	38	6	75	4	4	28	10	6	6	23					
12	Число выданных открепительных удостоверений	808	14	0	9	63	16	48	28	43	27	26	6	5	6	22	0	16	9	6	27	17	5	3	43	11	2	5	7	11	36	29	35	45	8	35	2	60	0	34	0	39	0	2	6	0	1	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	608	11	26	7	5	10	10	40	16	8	7	3	5	6	12	4	10	5	8	17	7	9	5	18	7	2	107	9	9	10	44	8	30	7	24	35	28	0	9	0	11	1	0	8	1	3	1	5					
14	Число неиспользованных открепительных удостоверений	992	29	0	4	5	19	25	74	45	31	42	13	25	19	21	6	23	11	19	10	26	20	1	30	32	8	45	3	17	47	64	50	12	45	28	2	13	11	4	6	36	4	2	22	10	5	6	22					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
