Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Гагаринская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87					
1	"Число избирателей, внесенных в список"	37838	2677	1192	1403	2023	2645	2937	2847	2544	2764	2648	676	432	431	299	665	498	601	287	392	2110	164	251	279	419	227	1372	200	268	800	187	738	285	657	805	461	418	236					
2	Число полученных избирательных бюллетеней	36659	2600	1150	1350	1950	2600	2800	2800	2500	2700	2600	660	410	410	280	630	470	590	270	380	2000	158	240	260	400	210	1330	199	240	780	182	720	270	650	800	440	400	230					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18064	1272	550	665	884	1262	1510	1432	1233	1259	1323	329	236	213	125	350	179	198	135	163	1187	83	144	152	177	50	656	87	172	353	72	329	155	295	376	177	118	163					
5	"Число избирательных бюллетеней, выданных вне помещения"	2563	45	20	45	85	34	89	21	16	75	29	10	48	90	106	100	121	236	68	59	105	21	22	62	114	107	107	34	45	70	79	62	16	43	113	138	101	27					
6	Число погашенных избирательных бюллетеней	16032	1283	580	640	981	1304	1201	1347	1251	1366	1248	321	126	107	49	180	170	156	67	158	708	54	74	46	109	53	567	78	23	357	31	329	99	312	311	125	181	40					
7	Число избирательных бюллетеней в переносных ящиках	2563	45	20	45	85	34	89	21	16	75	29	10	48	90	106	100	121	236	68	59	105	21	22	62	114	107	107	34	45	70	79	62	16	43	113	138	101	27					
8	Число бюллетеней в стационарных ящиках для голосования	18062	1272	550	665	884	1262	1508	1432	1233	1259	1323	329	236	213	125	350	179	198	135	163	1187	83	144	152	177	50	656	87	172	353	72	329	155	295	376	177	118	163					
9	Число недействительных избирательных бюллетеней	140	7	6	4	4	5	14	13	9	8	7	2	2	0	0	1	4	0	2	1	16	2	0	4	2	1	5	1	1	1	0	6	3	5	0	1	0	3					
10	Число действительных избирательных бюллетеней	20485	1310	564	706	965	1291	1583	1440	1240	1326	1345	337	282	303	231	449	296	434	201	221	1276	102	166	210	289	156	758	120	216	422	151	385	168	333	489	314	219	187					
11	Число полученных открепительных  удостоверений	675	30	15	15	30	30	30	30	30	30	30	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15					
12	Число выданных открепительных удостоверений	218	19	11	15	15	19	24	14	15	12	22	1	1	3	1	1	4	3	3	4	8	0	0	0	2	0	5	0	0	2	1	1	2	0	6	3	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	175	7	6	1	9	13	13	7	4	15	6	6	6	2	1	7	7	1	1	5	16	2	2	1	2	0	4	4	1	0	6	3	0	9	2	4	1	1					
14	Число неиспользованных открепительных удостоверений	457	11	4	0	15	11	6	16	15	18	8	14	14	12	14	14	11	12	12	11	7	15	15	15	13	15	10	15	15	13	14	14	13	15	9	12	15	14					
15	"Число открепительных удостоверений, выданных в ТИК"	5	1	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																												
18	. Глазьев Сергей Юрьевич	871	83	20	41	39	49	87	91	78	86	83	14	16	1	0	10	9	8	6	3	55	1	0	1	2	0	33	1	3	10	2	4	4	10	7	8	6	0					
		4.22%	6.30%	3.51%	5.77%	4.02%	3.78%	5.45%	6.26%	6.24%	6.45%	6.14%	4.13%	5.63%	0.33%	0.00%	2.22%	3.00%	1.84%	2.96%	1.35%	4.26%	0.96%	0.00%	0.47%	0.69%	0.00%	4.33%	0.83%	1.38%	2.36%	1.32%	1.02%	2.34%	2.96%	1.43%	2.54%	2.74%	0.00%					
19	. Малышкин Олег Александрович	482	23	12	15	26	28	30	33	41	27	35	11	9	10	3	18	8	12	2	7	29	2	2	6	5	6	12	7	2	13	5	11	3	5	4	9	6	5					
		2.34%	1.75%	2.11%	2.11%	2.68%	2.16%	1.88%	2.27%	3.28%	2.02%	2.59%	3.24%	3.17%	3.30%	1.30%	4.00%	2.67%	2.76%	0.99%	3.15%	2.24%	1.92%	1.20%	2.80%	1.72%	3.82%	1.57%	5.79%	0.92%	3.07%	3.31%	2.81%	1.75%	1.48%	0.82%	2.86%	2.74%	2.63%					
20	. Миронов Сергей Михайлович	145	2	7	9	6	6	12	10	8	7	3	1	0	2	0	6	5	2	3	1	11	1	2	1	1	3	4	3	3	1	4	1	0	4	6	6	1	3					
		0.70%	0.15%	1.23%	1.27%	0.62%	0.46%	0.75%	0.69%	0.64%	0.52%	0.22%	0.29%	0.00%	0.66%	0.00%	1.33%	1.67%	0.46%	1.48%	0.45%	0.85%	0.96%	1.20%	0.47%	0.34%	1.91%	0.52%	2.48%	1.38%	0.24%	2.65%	0.26%	0.00%	1.18%	1.23%	1.90%	0.46%	1.58%					
21	. Путин Владимир Владимирович	14519	880	377	481	664	821	1029	887	834	946	906	246	159	246	202	354	224	314	165	174	880	83	131	175	220	119	623	93	182	338	113	288	140	237	420	238	173	157					
		70.40%	66.82%	66.14%	67.75%	68.52%	63.35%	64.43%	61.05%	66.77%	70.91%	67.01%	72.57%	55.99%	81.19%	87.45%	78.67%	74.67%	72.35%	81.28%	78.38%	68.11%	79.81%	78.92%	81.78%	75.60%	75.80%	81.65%	76.86%	83.87%	79.91%	74.83%	73.66%	81.87%	70.12%	85.89%	75.56%	79.00%	82.63%					
22	. Хакамада Ирина Муцуовна	540	42	24	19	24	39	60	56	55	38	47	8	2	3	2	6	5	3	5	4	42	2	2	2	3	1	10	1	1	9	2	7	0	4	3	5	3	1					
		2.62%	3.19%	4.21%	2.68%	2.48%	3.01%	3.76%	3.85%	4.40%	2.85%	3.48%	2.36%	0.70%	0.99%	0.87%	1.33%	1.67%	0.69%	2.46%	1.80%	3.25%	1.92%	1.20%	0.93%	1.03%	0.64%	1.31%	0.83%	0.46%	2.13%	1.32%	1.79%	0.00%	1.18%	0.61%	1.59%	1.37%	0.53%					
23	. Харитонов Николай Михайлович	3320	212	104	124	165	286	316	298	179	167	211	51	82	40	22	55	33	94	17	28	224	12	29	21	58	26	69	14	23	47	21	72	21	66	43	43	29	18					
		16.10%	16.10%	18.25%	17.46%	17.03%	22.07%	19.79%	20.51%	14.33%	12.52%	15.61%	15.04%	28.87%	13.20%	9.52%	12.22%	11.00%	21.66%	8.37%	12.61%	17.34%	11.54%	17.47%	9.81%	19.93%	16.56%	9.04%	11.57%	10.60%	11.11%	13.91%	18.41%	12.28%	19.53%	8.79%	13.65%	13.24%	9.47%					
																																												
24	Против всех	608	68	20	17	41	62	49	65	45	55	60	6	14	1	2	0	12	1	3	4	35	1	0	4	0	1	7	1	2	4	4	2	0	7	6	5	1	3					
