Выборы Президента Российской Федерации																								
																								
Наименование Избирательной комиссии:    Мегионская городская																								
																								
Итоги голосования 																								
																								
		Сумма	УИК  87	УИК  88	УИК  89	УИК  90	УИК  91	УИК  92	УИК  93	УИК  94	УИК  95	УИК  96	УИК  97	УИК  98	УИК  99	УИК  100	УИК  101	УИК  102	УИК  103					
1	"Число избирателей, внесенных в список"	34141	2466	2536	2351	2052	2014	2238	2289	2698	2000	1992	1652	2532	2602	724	731	2579	685					
2	Число полученных избирательных бюллетеней	33690	2540	2400	2600	2050	1870	2130	2010	2540	2120	2110	2030	2370	2520	730	670	2370	630					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	23264	1897	1627	1883	1407	1176	1436	1453	1745	1453	1510	1124	1733	1567	531	504	1747	471					
5	"Число избирательных бюллетеней, выданных вне помещения"	488	23	14	18	26	105	142	16	27	13	12	18	15	5	8	2	18	26					
6	Число погашенных избирательных бюллетеней	9938	620	759	699	617	589	552	541	768	654	588	888	622	948	191	164	605	133					
7	Число избирательных бюллетеней в переносных ящиках	488	23	14	18	26	105	142	16	27	13	12	18	15	5	8	2	18	26					
8	Число бюллетеней в стационарных ящиках для голосования	23264	1897	1627	1883	1407	1176	1436	1453	1745	1453	1510	1124	1733	1567	531	504	1747	471					
9	Число недействительных избирательных бюллетеней	182	11	13	17	7	10	6	18	3	13	14	7	8	16	4	8	23	4					
10	Число действительных избирательных бюллетеней	23570	1909	1628	1884	1426	1271	1572	1451	1769	1453	1508	1135	1740	1556	535	498	1742	493					
11	Число полученных открепительных  удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	114	5	10	2	15	2	6	5	16	5	10	8	16	7	1	1	2	3					
14	Число неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	188	17	12	16	6	11	17	9	15	19	19	8	13	12	4	4	5	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																								
18	. Глазьев Сергей Юрьевич	1139	107	88	114	76	64	75	49	68	85	96	44	85	87	24	19	41	17					
		4.80%	5.57%	5.36%	6.00%	5.30%	5.00%	4.75%	3.34%	3.84%	5.80%	6.31%	3.85%	4.86%	5.53%	4.45%	3.75%	2.32%	3.42%					
19	. Малышкин Олег Александрович	755	59	58	47	43	55	53	62	47	34	52	41	47	37	22	21	61	16					
		3.18%	3.07%	3.53%	2.47%	3.00%	4.29%	3.36%	4.22%	2.65%	2.32%	3.42%	3.59%	2.69%	2.35%	4.08%	4.15%	3.46%	3.22%					
20	. Миронов Сергей Михайлович	212	22	13	18	16	12	10	12	15	11	19	9	11	12	4	5	20	3					
		0.89%	1.15%	0.79%	0.95%	1.12%	0.94%	0.63%	0.82%	0.85%	0.75%	1.25%	0.79%	0.63%	0.76%	0.74%	0.99%	1.13%	0.60%					
21	. Путин Владимир Владимирович	16959	1361	1176	1336	992	919	1116	1080	1292	1048	1049	850	1288	1063	385	342	1298	364					
		71.40%	70.89%	71.66%	70.28%	69.23%	71.74%	70.72%	73.52%	72.91%	71.49%	68.92%	74.43%	73.68%	67.62%	71.43%	67.59%	73.54%	73.24%					
22	. Хакамада Ирина Муцуовна	828	62	58	83	51	50	54	48	55	58	56	25	66	57	13	15	59	18					
		3.49%	3.23%	3.53%	4.37%	3.56%	3.90%	3.42%	3.27%	3.10%	3.96%	3.68%	2.19%	3.78%	3.63%	2.41%	2.96%	3.34%	3.62%					
23	. Харитонов Николай Михайлович	2393	192	145	166	173	123	167	120	180	136	152	96	146	217	70	75	190	45					
		10.07%	10.00%	8.84%	8.73%	12.07%	9.60%	10.58%	8.17%	10.16%	9.28%	9.99%	8.41%	8.35%	13.80%	12.99%	14.82%	10.76%	9.05%					
																								
24	Против всех	1284	106	90	120	75	48	97	80	112	81	84	70	97	83	17	21	73	30					
		5.41%	5.52%	5.48%	6.31%	5.23%	3.75%	6.15%	5.45%	6.32%	5.53%	5.52%	6.13%	5.55%	5.28%	3.15%	4.15%	4.14%	6.04%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
