Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Табунская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501					
1	"Число избирателей, внесенных в список"	8153	2958	212	149	192	1131	136	194	285	155	756	97	164	144	158	633	101	52	394	118	30	43	51					
2	Число полученных избирательных бюллетеней	8230	2960	212	147	191	1150	140	200	300	160	750	100	170	150	160	630	110	50	400	125	30	45	50					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5983	1955	173	130	157	795	99	141	232	106	580	67	128	128	105	516	96	45	317	103	30	42	38					
5	"Число избирательных бюллетеней, выданных вне помещения"	175	95	0	0	0	26	7	7	4	3	0	0	0	0	1	32	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	2072	910	39	17	34	329	34	52	64	51	170	33	42	22	54	82	14	5	83	22	0	3	12					
7	Число избирательных бюллетеней в переносных ящиках	175	95	0	0	0	26	7	7	4	3	0	0	0	0	1	32	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	5981	1953	173	130	157	795	99	141	232	106	580	67	128	128	105	516	96	45	317	103	30	42	38					
9	Число недействительных избирательных бюллетеней	49	13	2	1	1	4	0	4	2	0	5	1	0	3	3	4	1	0	4	0	0	0	1					
10	Число действительных избирательных бюллетеней	6107	2035	171	129	156	817	106	144	234	109	575	66	128	125	103	544	95	45	313	103	30	42	37					
11	Число полученных открепительных  удостоверений	99	10	4	4	4	10	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4					
12	Число выданных открепительных удостоверений	18	10	0	0	0	1	0	0	0	0	0	0	0	2	0	4	0	0	0	1	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	20	4	0	2	1	2	1	2	0	0	1	2	1	0	0	3	0	0	0	0	0	1	0					
14	Число неиспользованных открепительных удостоверений	81	0	4	4	4	9	4	4	4	4	4	4	4	2	4	0	4	3	4	3	4	4	4					
15	"Число открепительных удостоверений, выданных в ТИК"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	117	45	1	0	4	14	0	4	2	1	11	4	0	4	4	8	0	2	8	1	1	3	0					
		1.90%	2.20%	0.58%	0.00%	2.55%	1.71%	0.00%	2.70%	0.85%	0.92%	1.90%	5.97%	0.00%	3.12%	3.77%	1.46%	0.00%	4.44%	2.52%	0.97%	3.33%	7.14%	0.00%					
19	. Малышкин Олег Александрович	194	59	10	7	5	21	6	7	17	3	20	1	0	3	2	16	1	4	6	2	1	1	2					
		3.15%	2.88%	5.78%	5.38%	3.18%	2.56%	5.66%	4.73%	7.20%	2.75%	3.45%	1.49%	0.00%	2.34%	1.89%	2.92%	1.04%	8.89%	1.89%	1.94%	3.33%	2.38%	5.26%					
20	. Миронов Сергей Михайлович	43	16	1	0	0	4	1	4	3	0	4	0	0	0	0	2	0	0	2	2	4	0	0					
		0.70%	0.78%	0.58%	0.00%	0.00%	0.49%	0.94%	2.70%	1.27%	0.00%	0.69%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.63%	1.94%	13.33%	0.00%	0.00%					
21	. Путин Владимир Владимирович	4786	1558	144	104	137	616	81	94	188	83	464	57	113	102	88	424	81	28	251	87	22	35	29					
		77.75%	76.07%	83.24%	80.00%	87.26%	75.03%	76.42%	63.51%	79.66%	76.15%	80.00%	85.07%	88.28%	79.69%	83.02%	77.37%	84.38%	62.22%	79.18%	84.47%	73.33%	83.33%	76.32%					
22	. Хакамада Ирина Муцуовна	96	33	2	1	1	16	1	2	3	3	5	0	2	3	2	7	1	4	4	2	0	2	2					
		1.56%	1.61%	1.16%	0.77%	0.64%	1.95%	0.94%	1.35%	1.27%	2.75%	0.86%	0.00%	1.56%	2.34%	1.89%	1.28%	1.04%	8.89%	1.26%	1.94%	0.00%	4.76%	5.26%					
23	. Харитонов Николай Михайлович	759	302	12	7	7	129	14	29	17	15	59	1	11	12	7	78	9	4	36	6	0	0	4					
		12.33%	14.75%	6.94%	5.38%	4.46%	15.71%	13.21%	19.59%	7.20%	13.76%	10.17%	1.49%	8.59%	9.38%	6.60%	14.23%	9.38%	8.89%	11.36%	5.83%	0.00%	0.00%	10.53%					
																													
24	Против всех	112	22	1	10	2	17	3	4	4	4	12	3	2	1	0	9	3	3	6	3	2	1	0					
		1.82%	1.07%	0.58%	7.69%	1.27%	2.07%	2.83%	2.70%	1.69%	3.67%	2.07%	4.48%	1.56%	0.78%	0.00%	1.64%	3.12%	6.67%	1.89%	2.91%	6.67%	2.38%	0.00%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
