Выборы Президента Российской Федерации																																																																																												
Дата голосования: 02.03.2008																																																																																												
																																																																																												
Наименование Избирательной комиссии:    Учалинская																																																																																												
																																																																																												
Сводная таблица результатов выборов																																																																																												
																																																																																												
	Число участковых избирательных комиссий	85																																																																																										
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	85																																																																																										
																																																																																												
		Сумма	УИК №3156	УИК №3157	УИК №3158	УИК №3159	УИК №3160	УИК №3161	УИК №3162	УИК №3163	УИК №3164	УИК №3165	УИК №3166	УИК №3167	УИК №3168	УИК №3169	УИК №3170	УИК №3171	УИК №3172	УИК №3173	УИК №3174	УИК №3175	УИК №3176	УИК №3177	УИК №3178	УИК №3179	УИК №3180	УИК №3181	УИК №3182	УИК №3183	УИК №3184	УИК №3185	УИК №3186	УИК №3187	УИК №3188	УИК №3189	УИК №3190	УИК №3191	УИК №3192	УИК №3193	УИК №3194	УИК №3195	УИК №3196	УИК №3197	УИК №3198	УИК №3199	УИК №3200	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223	УИК №3224	УИК №3225	УИК №3226	УИК №3227	УИК №3228	УИК №3229	УИК №3230	УИК №3231	УИК №3232	УИК №3233	УИК №3234	УИК №3235	УИК №3236	УИК №3237	УИК №3562	УИК №3563	УИК №3564					
1	"Число избирателей, включенных в списки избирателей"	51462	520	426	314	1148	824	539	527	215	90	850	383	542	250	193	108	131	240	369	390	541	495	663	393	1388	364	345	516	214	234	118	275	478	147	1001	80	257	132	84	173	107	370	405	179	423	191	149	169	812	224	184	184	1313	209	234	425	550	505	489	553	475	720	583	1437	1351	200	941	505	1377	1193	1254	1297	1224	1215	1293	1387	1250	1226	1264	1205	1218	1289	206	1227	1282	1211					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	50932	520	428	316	1150	824	530	522	215	90	850	375	545	245	195	109	130	245	365	390	533	500	665	400	1400	360	355	540	220	235	115	275	480	140	995	80	258	134	83	171	113	370	420	177	420	193	150	176	805	230	184	190	1200	230	234	430	550	500	480	552	500	720	600	1400	1340	195	900	500	1350	1100	1300	1350	1150	1200	1280	1250	1300	1200	1200	1250	1200	1250	210	1200	1200	1200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	45221	444	407	300	1104	753	500	418	181	81	783	357	513	239	193	100	110	217	329	350	500	457	630	323	1230	349	325	500	197	222	110	218	429	133	837	75	251	121	83	152	107	353	392	147	367	183	140	156	738	220	184	183	1075	203	230	407	475	482	386	482	428	647	522	1269	1011	165	853	429	1204	1000	1030	1155	1029	1143	1125	1084	1069	1025	1094	1108	1083	1191	1	1029	1086	1010					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	2532	61	19	9	30	42	20	38	34	9	28	18	14	6	0	8	20	20	35	27	29	34	11	57	107	7	20	11	17	9	5	37	20	7	60	5	0	10	0	6	0	17	13	21	33	7	4	13	34	0	0	1	65	6	4	14	32	18	72	45	39	47	36	32	109	30	6	9	24	33	30	53	56	42	20	65	57	90	27	45	23	27	205	63	30	45					
6	Число погашенных избирательных бюллетеней	3178	15	2	7	16	29	10	66	0	0	39	0	18	0	2	1	0	8	1	13	4	9	24	20	63	4	10	29	6	4	0	20	31	0	98	0	7	3	0	13	6	0	15	9	20	3	6	7	33	10	0	6	60	21	0	9	43	0	22	25	33	26	42	99	220	0	41	62	122	67	240	142	65	15	134	101	174	85	79	97	94	32	4	108	84	145					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2532	61	19	9	30	42	20	38	34	9	28	18	14	6	0	8	20	20	35	27	29	34	11	57	107	7	20	11	17	9	5	37	20	7	60	5	0	10	0	6	0	17	13	21	33	7	4	13	34	0	0	1	65	6	4	14	32	18	72	45	39	47	36	32	109	30	6	9	24	33	30	53	56	42	20	65	57	90	27	45	23	27	205	63	30	45					
8	Число бюллетеней в стационарных ящиках для голосования	45191	444	407	300	1104	753	500	417	181	81	783	357	513	239	193	100	110	217	329	350	500	457	630	323	1230	349	325	500	197	222	110	218	429	133	837	75	251	121	83	152	107	353	392	147	367	183	140	156	738	220	184	183	1075	203	230	407	475	482	386	482	428	647	522	1269	1011	165	852	429	1180	1000	1030	1154	1029	1143	1124	1084	1069	1025	1094	1108	1081	1191	1	1029	1086	1010					
9	Число недействительных избирательных бюллетеней	1763	12	7	48	6	13	7	8	16	0	5	3	0	19	17	0	14	19	4	36	12	92	23	2	55	29	5	0	0	0	0	1	5	15	126	5	15	0	11	8	7	4	1	6	6	8	15	3	17	0	9	0	11	29	0	44	4	20	4	49	7	12	57	0	11	17	127	4	53	15	21	123	43	16	19	45	25	14	41	19	15	146	4	27	18	9					
