Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Неверкинская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК  996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	238	10	4	17	6	3	12	9	1	0	4	4	3	16	5	0	79	18	0	13	15	6	9	4					
		2.17%	1.12%	1.56%	3.92%	1.97%	0.73%	2.78%	1.19%	0.43%	0.00%	0.82%	1.39%	1.10%	3.09%	3.82%	0.00%	4.60%	2.51%	0.00%	1.09%	3.66%	1.13%	3.05%	4.49%					
19	. Малышкин Олег Александрович	130	7	8	3	2	0	3	4	2	0	7	4	2	3	2	1	27	14	5	8	7	14	2	5					
		1.19%	0.79%	3.11%	0.69%	0.66%	0.00%	0.70%	0.53%	0.85%	0.00%	1.44%	1.39%	0.73%	0.58%	1.53%	0.35%	1.57%	1.95%	2.78%	0.67%	1.71%	2.65%	0.68%	5.62%					
20	. Миронов Сергей Михайлович	70	7	3	2	2	1	2	3	1	3	2	3	2	2	2	0	14	9	3	2	1	3	1	2					
		0.64%	0.79%	1.17%	0.46%	0.66%	0.24%	0.46%	0.40%	0.43%	2.24%	0.41%	1.04%	0.73%	0.39%	1.53%	0.00%	0.82%	1.26%	1.67%	0.17%	0.24%	0.57%	0.34%	2.25%					
21	. Путин Владимир Владимирович	7402	571	152	333	183	329	280	568	192	103	278	145	205	293	99	191	1034	492	135	968	250	325	234	42					
		67.54%	64.09%	59.14%	76.73%	60.00%	80.05%	64.97%	75.33%	82.05%	76.87%	57.32%	50.35%	75.09%	56.56%	75.57%	67.02%	60.22%	68.62%	75.00%	81.28%	60.98%	61.44%	79.32%	47.19%					
22	. Хакамада Ирина Муцуовна	107	0	3	2	5	2	6	11	0	1	8	1	2	6	1	1	33	6	1	9	2	6	1	0					
		0.98%	0.00%	1.17%	0.46%	1.64%	0.49%	1.39%	1.46%	0.00%	0.75%	1.65%	0.35%	0.73%	1.16%	0.76%	0.35%	1.92%	0.84%	0.56%	0.76%	0.49%	1.13%	0.34%	0.00%					
23	. Харитонов Николай Михайлович	2699	235	79	74	100	72	120	141	34	27	140	127	47	193	19	87	468	159	34	178	128	160	45	32					
		24.63%	26.37%	30.74%	17.05%	32.79%	17.52%	27.84%	18.70%	14.53%	20.15%	28.87%	44.10%	17.22%	37.26%	14.50%	30.53%	27.26%	22.18%	18.89%	14.95%	31.22%	30.25%	15.25%	35.96%					
																														
24	Против всех	115	5	6	1	4	0	2	2	2	0	9	2	2	5	1	3	40	8	1	6	3	8	3	2					
		1.05%	0.56%	2.33%	0.23%	1.31%	0.00%	0.46%	0.27%	0.85%	0.00%	1.86%	0.69%	0.73%	0.97%	0.76%	1.05%	2.33%	1.12%	0.56%	0.50%	0.73%	1.51%	1.02%	2.25%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
