Выборы Президента Российской Федерации																									
																									
"Наименование Избирательной комиссии:    Кемерово, Кировская"																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253					
1	"Число избирателей, внесенных в список"	44533	2695	2088	2307	2271	2599	2647	2515	2748	2794	2438	2110	2432	2527	2720	2586	2489	2301	2266					
2	Число полученных избирательных бюллетеней	45650	2750	2100	2400	2300	2700	2700	2600	2750	2850	2500	2150	2500	2650	2800	2650	2550	2350	2350					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	29442	1859	1099	1563	1610	1738	1624	1642	1783	1987	1482	1358	1575	1579	1895	1811	1652	1718	1467					
5	"Число избирательных бюллетеней, выданных вне помещения"	3136	117	203	148	93	140	226	140	196	150	351	178	201	269	91	172	131	184	146					
6	Число погашенных избирательных бюллетеней	13072	774	798	689	597	822	850	818	771	713	667	614	724	802	814	667	767	448	737					
7	Число избирательных бюллетеней в переносных ящиках	3136	117	203	148	93	140	226	140	196	150	351	178	201	269	91	172	131	184	146					
8	Число бюллетеней в стационарных ящиках для голосования	29259	1859	1098	1563	1610	1738	1624	1640	1783	1987	1482	1180	1575	1579	1893	1811	1652	1718	1467					
9	Число недействительных избирательных бюллетеней	229	8	9	16	15	20	6	9	15	13	19	13	15	11	15	8	12	12	13					
10	Число действительных избирательных бюллетеней	32166	1968	1292	1695	1688	1858	1844	1771	1964	2124	1814	1345	1761	1837	1969	1975	1771	1890	1600					
11	Число полученных открепительных  удостоверений	982	55	55	55	55	55	54	56	56	55	55	51	55	55	60	53	53	52	52					
12	Число выданных открепительных удостоверений	887	39	32	55	34	55	54	56	41	47	54	49	55	53	60	53	50	50	50					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	332	30	30	17	11	8	45	15	41	24	10	10	12	7	10	20	19	12	11					
14	Число неиспользованных открепительных удостоверений	95	16	23	0	21	0	0	0	15	8	1	2	0	2	0	0	3	2	2					
15	"Число открепительных удостоверений, выданных в ТИК"	18	5	0	1	1	0	1	0	1	0	0	0	0	4	0	1	0	2	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	1293	79	73	77	83	102	87	79	58	92	48	36	63	44	53	70	93	91	65					
		3.99%	4.00%	5.61%	4.50%	4.87%	5.43%	4.70%	4.44%	2.93%	4.31%	2.62%	2.65%	3.55%	2.38%	2.67%	3.53%	5.22%	4.78%	4.03%					
19	. Малышкин Олег Александрович	930	58	32	51	38	58	55	52	64	47	47	45	45	79	68	40	51	39	61					
		2.87%	2.94%	2.46%	2.98%	2.23%	3.09%	2.97%	2.92%	3.23%	2.20%	2.56%	3.31%	2.53%	4.27%	3.43%	2.02%	2.86%	2.05%	3.78%					
20	. Миронов Сергей Михайлович	442	31	20	28	14	29	26	33	28	27	20	15	19	10	46	13	18	30	35					
		1.36%	1.57%	1.54%	1.64%	0.82%	1.54%	1.41%	1.85%	1.41%	1.26%	1.09%	1.10%	1.07%	0.54%	2.32%	0.66%	1.01%	1.58%	2.17%					
21	. Путин Владимир Владимирович	22642	1362	851	1195	1154	1282	1304	1112	1393	1491	1378	1010	1318	1401	1405	1479	1198	1261	1048					
		69.89%	68.93%	65.41%	69.84%	67.76%	68.26%	70.49%	62.47%	70.39%	69.77%	75.18%	74.37%	74.21%	75.81%	70.82%	74.58%	67.19%	66.30%	64.97%					
22	. Хакамада Ирина Муцуовна	1307	85	59	23	86	102	84	94	100	77	45	40	57	60	98	67	74	87	69					
		4.03%	4.30%	4.53%	1.34%	5.05%	5.43%	4.54%	5.28%	5.05%	3.60%	2.45%	2.95%	3.21%	3.25%	4.94%	3.38%	4.15%	4.57%	4.28%					
23	. Харитонов Николай Михайлович	4322	274	209	262	251	193	214	320	233	325	237	162	208	187	194	244	261	305	243					
		13.34%	13.87%	16.06%	15.31%	14.74%	10.28%	11.57%	17.98%	11.77%	15.21%	12.93%	11.93%	11.71%	10.12%	9.78%	12.30%	14.64%	16.04%	15.07%					
																									
24	Против всех	1230	79	48	59	62	92	74	81	88	65	39	37	51	56	105	62	76	77	79					
		3.80%	4.00%	3.69%	3.45%	3.64%	4.90%	4.00%	4.55%	4.45%	3.04%	2.13%	2.72%	2.87%	3.03%	5.29%	3.13%	4.26%	4.05%	4.90%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
