Выборы Президента Российской Федерации																																																								
																																																								
"Наименование Избирательной комиссии:    Кемерово, Заводская"																																																								
																																																								
Итоги голосования 																																																								
																																																								
		Сумма	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235					
1	"Число избирателей, внесенных в список"	93910	417	1728	1231	1768	1665	2326	2211	2993	2430	2334	2186	2665	2679	1755	1643	2422	2632	1780	1766	2220	2277	2152	2548	2405	2386	2338	2187	2351	2561	2590	2810	2552	381	955	111	1568	739	1931	2140	1144	2408	2117	1796	983	1251	1619	1715	1877	1167					
2	Число полученных избирательных бюллетеней	93000	430	1800	1350	1800	1600	2350	2150	2700	2200	2250	2100	2650	2600	1700	1650	2300	2500	1850	1800	2350	2350	2150	2500	2350	2600	2150	2250	2250	2500	2600	2850	2500	400	1000	120	1450	750	2000	2100	1100	2500	2200	1750	1000	1250	1600	1650	1800	1150					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	65409	417	1135	859	1188	1297	1483	1332	2119	1635	1734	1618	2105	2103	1069	1002	1697	1801	1290	1282	1358	1369	1571	1833	1476	1642	1845	1733	1911	1828	1817	2265	1854	309	955	73	1299	575	1427	1604	678	1445	1107	1143	588	726	924	1134	1151	603					
5	"Число избирательных бюллетеней, выданных вне помещения"	5854	0	228	88	154	111	189	63	116	96	58	88	45	53	71	84	104	76	59	75	212	205	86	93	238	243	79	65	60	45	90	47	63	27	0	38	38	75	232	149	112	265	455	139	147	158	222	108	93	312					
6	Число погашенных избирательных бюллетеней	21737	13	437	403	458	192	678	755	465	469	458	394	500	444	560	564	499	623	501	443	780	776	493	574	636	715	226	452	279	627	693	538	583	64	45	9	113	100	341	347	310	790	638	468	265	366	454	408	556	235					
7	Число избирательных бюллетеней в переносных ящиках	5854	0	228	88	154	111	189	63	116	96	58	88	45	53	71	84	104	76	59	75	212	205	86	93	238	243	79	65	60	45	90	47	63	27	0	38	38	75	232	149	112	265	455	139	147	158	222	108	93	312					
8	Число бюллетеней в стационарных ящиках для голосования	65394	417	1133	859	1188	1297	1483	1332	2119	1634	1734	1618	2105	2103	1069	1002	1697	1801	1290	1282	1358	1369	1571	1833	1476	1642	1845	1733	1911	1826	1817	2263	1854	309	955	73	1299	575	1427	1604	678	1445	1107	1143	588	726	916	1134	1151	603					
9	Число недействительных избирательных бюллетеней	549	0	12	5	0	10	5	17	12	13	2	15	37	6	5	6	51	17	7	13	13	8	16	16	3	11	0	0	60	10	25	15	3	4	8	1	6	5	14	19	11	8	4	6	7	10	1	11	16	5					
10	Число действительных избирательных бюллетеней	70699	417	1349	942	1342	1398	1667	1378	2223	1717	1790	1691	2113	2150	1135	1080	1750	1860	1342	1344	1557	1566	1641	1910	1711	1874	1924	1798	1911	1861	1882	2295	1914	332	947	110	1331	645	1645	1734	779	1702	1558	1276	728	874	1137	1231	1228	910					
