Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Район Строгино																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №2778	УИК №2779	УИК №2780	УИК №2781	УИК №2782	УИК №2783	УИК №2784	УИК №2785	УИК №2786	УИК №2787	УИК №2788	УИК №2789	УИК №2790	УИК №2791	УИК №2792	УИК №2793	УИК №2794	УИК №2795	УИК №2796	УИК №2797	УИК №2798	УИК №2799	УИК №2800	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818					
1	"Число избирателей, внесенных в список"	90911	2201	2683	2383	1967	2254	2562	2780	2593	2315	2220	2217	2597	2519	2387	2182	2736	2205	2402	2830	1536	2146	2368	2100	2434	1680	1848	2596	2107	1947	2310	1635	1288	2427	2796	2642	2539	772	1987	2543	2758	419					
2	Число полученных избирательных бюллетеней	79900	2000	2500	2000	1500	2000	2000	2500	2000	2000	2000	2000	2000	2000	2000	2000	2500	2000	2000	2500	1500	2000	2000	2000	2000	1500	1500	2000	2000	2000	2000	1500	1000	2000	2500	2500	2500	500	2000	2500	2500	400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	49072	1142	1482	1252	1060	1278	1271	1464	1413	1254	1224	1194	1388	1273	1290	1294	1404	1117	1141	1416	830	1198	1283	1112	1292	898	948	1432	1040	982	1202	930	806	1275	1536	1663	1482	445	1158	1413	1541	249					
5	"Число избирательных бюллетеней, выданных вне помещения"	1204	22	16	35	27	14	25	38	41	39	22	32	26	15	43	27	42	19	22	56	11	19	30	10	7	31	42	22	31	38	22	18	14	64	56	40	17	5	35	38	64	29					
6	Число погашенных избирательных бюллетеней	29624	836	1002	713	413	708	704	998	546	707	754	774	586	712	667	679	1054	864	837	1028	659	783	687	878	701	571	510	546	929	980	776	552	180	661	908	797	1001	50	807	1049	895	122					
7	Число избирательных бюллетеней в переносных ящиках	1203	22	16	35	27	14	25	38	41	39	22	32	26	15	43	27	42	19	22	56	11	19	30	10	7	31	42	21	31	38	22	18	14	64	56	40	17	5	35	38	64	29					
8	Число бюллетеней в стационарных ящиках для голосования	48803	1142	1482	1239	1058	1278	1257	1464	1413	1251	1222	1187	1388	1267	1232	1294	1399	1117	1141	1411	830	1190	1283	1112	1292	898	944	1424	1040	944	1170	930	806	1275	1536	1623	1482	445	1142	1413	1533	249					
9	Число недействительных избирательных бюллетеней	258	1	6	4	7	7	5	21	18	7	7	6	4	9	10	2	4	0	6	2	1	3	6	6	11	8	2	8	3	0	0	0	0	5	13	6	13	0	12	8	25	2					
10	Число действительных избирательных бюллетеней	49748	1163	1492	1270	1078	1285	1277	1481	1436	1283	1237	1213	1410	1273	1265	1319	1437	1136	1157	1465	840	1206	1307	1116	1288	921	984	1437	1068	982	1192	948	820	1334	1579	1657	1486	450	1165	1443	1572	276					
11	Число полученных открепительных  удостоверений	2010	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	10					
12	Число выданных открепительных удостоверений	991	19	24	22	17	34	26	15	17	32	26	33	24	20	17	33	32	28	27	30	14	36	37	43	21	23	12	27	26	25	26	20	4	29	27	22	30	15	30	20	26	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	645	10	18	16	11	22	12	6	25	20	16	23	17	26	10	20	23	12	15	9	5	14	13	4	4	10	17	12	8	12	32	6	10	12	24	24	27	41	23	5	18	13					
14	Число неиспользованных открепительных удостоверений	1019	31	26	28	33	16	24	35	33	18	24	17	26	30	33	17	18	22	23	20	36	14	13	7	29	27	38	23	24	25	24	30	46	21	23	28	20	35	20	30	24	8					
