Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Тарумовская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280					
1	"Число избирателей, внесенных в список"	17392	769	434	230	673	1410	184	720	1031	500	1471	1485	1259	624	930	926	264	566	2123	1088	705					
2	Число полученных избирательных бюллетеней	16318	707	400	211	600	1310	184	700	1000	460	1360	1345	1200	600	900	900	243	529	2000	1020	649					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15793	700	386	200	595	1307	151	642	923	374	1356	1333	1192	573	850	890	240	496	1952	999	634					
5	"Число избирательных бюллетеней, выданных вне помещения"	247	0	7	8	0	0	0	52	40	73	0	7	0	13	6	0	0	21	7	0	13					
6	Число погашенных избирательных бюллетеней	278	7	7	3	5	3	33	6	37	13	4	5	8	14	44	10	3	12	41	21	2					
7	Число избирательных бюллетеней в переносных ящиках	247	0	7	8	0	0	0	52	40	73	0	7	0	13	6	0	0	21	7	0	13					
8	Число бюллетеней в стационарных ящиках для голосования	15793	700	386	200	595	1307	151	642	923	374	1356	1333	1192	573	850	890	240	496	1952	999	634					
9	Число недействительных избирательных бюллетеней	111	2	3	6	0	8	0	4	4	0	3	2	52	2	4	5	0	1	8	3	4					
10	Число действительных избирательных бюллетеней	15929	698	390	202	595	1299	151	690	959	447	1353	1338	1140	584	852	885	240	516	1951	996	643					
11	Число полученных открепительных  удостоверений	300	10	10	10	10	10	10	10	10	10	30	30	10	10	10	10	10	10	30	30	30					
12	Число выданных открепительных удостоверений	32	0	0	1	0	4	0	0	10	0	5	1	4	0	0	1	1	0	2	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	5	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0					
14	Число неиспользованных открепительных удостоверений	268	10	10	9	10	6	10	10	0	10	25	29	6	10	10	9	9	10	28	28	29					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	86	2	4	0	4	0	3	5	8	6	2	5	4	4	3	1	2	7	14	10	2					
		0.54%	0.29%	1.02%	0.00%	0.67%	0.00%	1.99%	0.72%	0.83%	1.34%	0.15%	0.37%	0.34%	0.68%	0.35%	0.11%	0.83%	1.35%	0.71%	1.00%	0.31%					
19	. Малышкин Олег Александрович	41	3	3	0	3	4	2	2	0	0	2	3	2	0	2	1	0	0	7	7	0					
		0.26%	0.43%	0.76%	0.00%	0.50%	0.31%	1.32%	0.29%	0.00%	0.00%	0.15%	0.22%	0.17%	0.00%	0.23%	0.11%	0.00%	0.00%	0.36%	0.70%	0.00%					
20	. Миронов Сергей Михайлович	32	1	0	0	2	3	0	2	3	0	2	1	4	4	5	0	0	0	4	0	1					
		0.20%	0.14%	0.00%	0.00%	0.34%	0.23%	0.00%	0.29%	0.31%	0.00%	0.15%	0.07%	0.34%	0.68%	0.58%	0.00%	0.00%	0.00%	0.20%	0.00%	0.15%					
21	. Путин Владимир Владимирович	14983	664	367	194	549	1218	141	656	903	425	1251	1276	1059	551	807	834	226	485	1823	945	609					
		93.41%	94.86%	93.38%	93.27%	92.27%	93.19%	93.38%	94.52%	93.77%	95.08%	92.26%	95.22%	88.84%	94.03%	94.28%	93.71%	94.17%	93.81%	93.06%	94.59%	94.13%					
22	. Хакамада Ирина Муцуовна	70	3	0	0	3	11	1	3	5	0	8	3	12	2	5	4	0	0	10	0	0					
		0.44%	0.43%	0.00%	0.00%	0.50%	0.84%	0.66%	0.43%	0.52%	0.00%	0.59%	0.22%	1.01%	0.34%	0.58%	0.45%	0.00%	0.00%	0.51%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	632	15	9	8	32	53	3	16	40	7	85	46	50	21	23	40	12	24	88	30	30					
		3.94%	2.14%	2.29%	3.85%	5.38%	4.06%	1.99%	2.31%	4.15%	1.57%	6.27%	3.43%	4.19%	3.58%	2.69%	4.49%	5.00%	4.64%	4.49%	3.00%	4.64%					
																											
24	Против всех	85	10	7	0	2	10	1	6	0	9	3	4	9	2	7	5	0	0	5	4	1					
		0.53%	1.43%	1.78%	0.00%	0.34%	0.77%	0.66%	0.86%	0.00%	2.01%	0.22%	0.30%	0.76%	0.34%	0.82%	0.56%	0.00%	0.00%	0.26%	0.40%	0.15%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
