Выборы Президента Российской Федерации																																																							
																																																							
Наименование Избирательной комиссии:    Агрызская																																																							
																																																							
Итоги голосования 																																																							
																																																							
		Сумма	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510					
1	"Число избирателей, внесенных в список"	25846	988	1028	1031	1053	1015	1092	1007	1046	938	951	941	1006	1024	483	137	136	247	755	601	495	184	188	179	386	556	253	583	141	513	138	313	332	237	199	223	433	295	163	335	1199	285	443	697	468	276	246	163	444					
2	Число полученных избирательных бюллетеней	25690	983	1020	1018	1053	999	1076	983	992	965	930	911	976	1014	478	141	137	247	728	609	498	191	190	182	395	558	261	581	143	513	140	308	337	240	190	223	433	289	164	345	1184	287	445	718	473	279	247	163	453					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	22731	920	872	717	885	930	926	808	857	763	780	776	839	838	436	130	127	200	718	564	471	173	180	156	364	549	249	546	133	507	134	245	295	194	190	208	425	227	155	294	1055	266	439	691	438	257	234	149	421					
5	"Число избирательных бюллетеней, выданных вне помещения"	1506	53	54	67	55	69	35	68	90	39	21	85	80	76	20	7	6	47	5	33	16	11	5	21	22	4	3	27	0	6	4	49	34	41	0	15	6	62	7	38	105	16	0	6	30	19	12	14	23					
6	Число погашенных избирательных бюллетеней	1453	10	94	234	113	0	115	107	45	163	129	50	57	100	22	4	4	0	5	12	11	7	5	5	9	5	9	8	10	0	2	14	8	5	0	0	2	0	2	13	24	5	6	21	5	3	1	0	9					
7	Число избирательных бюллетеней в переносных ящиках	1506	53	54	67	55	69	35	68	90	39	21	85	80	76	20	7	6	47	5	33	16	11	5	21	22	4	3	27	0	6	4	49	34	41	0	15	6	62	7	38	105	16	0	6	30	19	12	14	23					
8	Число бюллетеней в стационарных ящиках для голосования	22729	920	872	717	885	930	926	808	857	763	780	776	839	838	436	130	127	200	718	564	471	173	180	156	364	549	249	546	133	507	132	245	295	194	190	208	425	227	155	294	1055	266	439	691	438	257	234	149	421					
9	Число недействительных избирательных бюллетеней	292	2	0	11	6	18	13	1	7	22	8	0	9	12	13	1	2	0	0	4	2	6	4	0	0	27	0	43	2	12	11	0	0	0	1	12	15	0	1	4	8	1	5	3	0	0	0	1	5					
10	Число действительных избирательных бюллетеней	23943	971	926	773	934	981	948	875	940	780	793	861	910	902	443	136	131	247	723	593	485	178	181	177	386	526	252	530	131	501	125	294	329	235	189	211	416	289	161	328	1152	281	434	694	468	276	246	162	439					
11	Число полученных открепительных  удостоверений	498	20	20	20	20	20	20	20	20	25	20	20	20	10	8	3	3	5	12	12	8	5	5	5	7	5	10	10	8	7	5	7	12	5	4	4	8	5	4	12	10	5	8	12	8	5	5	3	8					
12	Число выданных открепительных удостоверений	251	9	8	4	7	7	8	15	12	25	4	10	3	9	8	1	3	0	10	10	3	4	2	1	7	2	10	6	8	3	0	7	11	0	0	0	0	1	0	11	9	0	0	10	1	1	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	183	1	3	5	3	3	7	3	23	2	3	2	1	2	3	0	4	5	9	2	4	1	3	0	4	3	3	3	0	7	2	5	3	0	17	2	1	2	2	3	21	1	2	1	2	0	3	5	2					
14	Число неиспользованных открепительных удостоверений	247	11	12	16	13	13	12	5	8	0	16	10	17	1	0	2	0	5	2	2	5	1	3	4	0	3	0	4	0	4	5	0	1	5	4	4	8	4	4	1	1	5	8	2	7	4	5	3	7					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																							
