Выборы Президента Российской Федерации														
														
Наименование Избирательной комиссии:    Район Марфино														
														
Итоги голосования 														
														
		Сумма	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669					
1	"Число избирателей, внесенных в список"	15971	2240	2431	2271	2430	2220	2165	2214					
2	Число полученных избирательных бюллетеней	14650	2100	2250	2100	2050	2050	2050	2050					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9035	1229	1338	1423	1343	1347	1111	1244					
5	"Число избирательных бюллетеней, выданных вне помещения"	663	54	81	63	129	120	77	139					
6	Число погашенных избирательных бюллетеней	4952	817	831	614	578	583	862	667					
7	Число избирательных бюллетеней в переносных ящиках	663	54	81	63	129	120	77	139					
8	Число бюллетеней в стационарных ящиках для голосования	8917	1208	1330	1423	1338	1347	1110	1161					
9	Число недействительных избирательных бюллетеней	77	15	13	16	7	7	8	11					
10	Число действительных избирательных бюллетеней	9503	1247	1398	1470	1460	1460	1179	1289					
11	Число полученных открепительных  удостоверений	350	50	50	50	50	50	50	50					
12	Число выданных открепительных удостоверений	209	35	33	26	29	29	28	29					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	265	23	29	29	44	43	48	49					
14	Число неиспользованных открепительных удостоверений	141	15	17	24	21	21	22	21					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	1	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"														
18	. Глазьев Сергей Юрьевич	626	83	94	132	88	75	74	80					
		6.53%	6.58%	6.66%	8.88%	6.00%	5.11%	6.23%	6.15%					
19	. Малышкин Олег Александрович	117	13	13	15	20	23	19	14					
		1.22%	1.03%	0.92%	1.01%	1.36%	1.57%	1.60%	1.08%					
20	. Миронов Сергей Михайлович	52	9	9	4	5	5	7	13					
		0.54%	0.71%	0.64%	0.27%	0.34%	0.34%	0.59%	1.00%					
21	. Путин Владимир Владимирович	6705	875	962	973	1030	1086	800	979					
		69.99%	69.33%	68.18%	65.48%	70.21%	74.03%	67.40%	75.31%					
22	. Хакамада Ирина Муцуовна	712	78	110	127	122	97	94	84					
		7.43%	6.18%	7.80%	8.55%	8.32%	6.61%	7.92%	6.46%					
23	. Харитонов Николай Михайлович	702	112	144	96	98	91	104	57					
		7.33%	8.87%	10.21%	6.46%	6.68%	6.20%	8.76%	4.38%					
														
24	Против всех	589	77	66	123	97	83	81	62					
		6.15%	6.10%	4.68%	8.28%	6.61%	5.66%	6.82%	4.77%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
