Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																					
Дата голосования: 04.12.2011																																					
																																					
Наименование Избирательной комиссии:    Якшур-Бодьинская																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №3301	УИК №3302	УИК №3303	УИК №3304	УИК №3305	УИК №3306	УИК №3307	УИК №3308	УИК №3309	УИК №3310	УИК №3311	УИК №3312	УИК №3313	УИК №3314	УИК №3315	УИК №3316	УИК №3317	УИК №3318	УИК №3319	УИК №3320	УИК №3321	УИК №3322	УИК №3323	УИК №3324	УИК №3325	УИК №3326	УИК №3327	УИК №3328	УИК №3329	УИК №3330					
		16.99%	17.79%	20.16%	18.13%	12.06%	12.46%	16.92%	11.66%	12.30%	22.00%	5.21%	14.09%	21.29%	16.46%	20.19%	12.33%	16.54%	18.36%	15.73%	10.50%	14.75%	15.56%	14.14%	18.52%	20.65%	25.44%	13.25%	26.09%	13.30%	19.19%	19.14%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	102	7	3	3	3	7	1	1	3	4	1	0	1	4	0	7	5	11	3	5	4	2	2	7	4	0	1	1	3	3	6					
		0.90%	0.92%	0.40%	0.61%	0.75%	1.06%	0.77%	0.35%	1.23%	0.50%	1.04%	0.00%	0.40%	0.63%	0.00%	1.92%	1.31%	1.58%	1.12%	2.76%	1.44%	0.44%	1.01%	0.81%	1.62%	0.00%	0.60%	1.45%	1.48%	0.49%	1.23%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1677	121	118	93	47	135	13	39	18	83	10	31	54	118	13	52	36	135	19	21	21	44	27	186	18	15	27	10	9	91	73					
		14.80%	15.94%	15.65%	18.94%	11.81%	20.52%	10.00%	13.78%	7.38%	10.38%	10.42%	20.81%	21.69%	18.67%	12.50%	14.25%	9.45%	19.37%	7.12%	11.60%	7.55%	9.78%	13.64%	21.53%	7.29%	13.16%	16.27%	14.49%	4.43%	14.80%	15.02%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	93	8	9	7	3	1	3	3	1	8	1	0	1	4	1	4	3	8	1	2	0	0	0	10	1	0	2	0	0	8	4					
		0.82%	1.05%	1.19%	1.43%	0.75%	0.15%	2.31%	1.06%	0.41%	1.00%	1.04%	0.00%	0.40%	0.63%	0.96%	1.10%	0.79%	1.15%	0.37%	1.10%	0.00%	0.00%	0.00%	1.16%	0.40%	0.00%	1.20%	0.00%	0.00%	1.30%	0.82%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6306	382	381	221	249	364	75	177	167	476	73	86	113	340	59	224	221	348	168	118	196	310	118	377	131	64	94	34	151	339	250					
		55.67%	50.33%	50.53%	45.01%	62.56%	55.32%	57.69%	62.54%	68.44%	59.50%	76.04%	57.72%	45.38%	53.80%	56.73%	61.37%	58.01%	49.93%	62.92%	65.19%	70.50%	68.89%	59.60%	43.63%	53.04%	56.14%	56.63%	49.28%	74.38%	55.12%	51.44%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	36	5	0	1	0	2	2	0	1	2	0	0	1	1	0	3	1	1	2	1	0	0	1	3	1	0	0	0	1	1	6					
		0.32%	0.66%	0.00%	0.20%	0.00%	0.30%	1.54%	0.00%	0.41%	0.25%	0.00%	0.00%	0.40%	0.16%	0.00%	0.82%	0.26%	0.14%	0.75%	0.55%	0.00%	0.00%	0.51%	0.35%	0.40%	0.00%	0.00%	0.00%	0.49%	0.16%	1.23%					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
