Выборы Президента Российской Федерации																																																					
																																																					
Наименование Избирательной комиссии:    Междуреченская городская																																																					
																																																					
Итоги голосования 																																																					
																																																					
		Сумма	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593					
11	Число полученных открепительных  удостоверений	815	25	25	25	15	25	25	25	25	25	10	25	15	15	25	15	15	10	15	15	25	25	10	25	15	25	25	25	25	15	5	15	5	15	25	5	5	5	15	5	5	15	15	25	15	25	25					
12	Число выданных открепительных удостоверений	227	4	3	6	1	6	8	5	4	8	4	8	2	4	4	12	6	4	4	9	5	9	3	2	2	7	9	6	7	2	1	3	0	7	21	0	0	0	6	0	1	2	0	5	3	13	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	221	5	5	4	1	6	5	4	7	4	13	7	5	6	7	9	8	7	7	5	1	1	7	1	1	1	1	3	1	1	7	4	2	7	2	0	5	19	5	11	1	4	3	4	5	6	3					
14	Число неиспользованных открепительных удостоверений	588	21	22	19	14	19	17	20	21	17	6	17	13	11	21	3	9	6	11	6	20	16	7	23	13	18	16	19	18	13	4	12	5	8	4	5	5	5	9	5	4	13	15	20	12	12	14					
15	"Число открепительных удостоверений, выданных в ТИК"	11	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																					
18	. Глазьев Сергей Юрьевич	2972	64	64	88	48	101	117	134	90	97	52	95	83	148	92	90	63	43	42	70	89	80	48	69	68	71	95	94	77	55	27	45	3	18	11	8	12	3	32	7	21	28	33	147	52	106	92					
		6.56%	5.76%	6.44%	8.14%	5.08%	7.48%	7.89%	8.56%	6.07%	6.80%	6.71%	6.77%	8.06%	9.11%	6.34%	8.31%	6.70%	6.94%	4.99%	8.66%	6.69%	7.38%	7.09%	5.52%	6.63%	6.00%	7.01%	6.86%	6.68%	7.28%	5.57%	6.04%	2.59%	4.09%	3.18%	1.79%	2.40%	1.60%	4.39%	2.40%	5.21%	3.38%	3.06%	9.02%	6.75%	6.50%	6.32%					
19	. Малышкин Олег Александрович	2303	74	67	59	56	82	83	83	82	63	35	56	47	77	84	38	42	20	36	33	55	62	41	58	47	59	68	70	68	34	22	45	6	16	11	4	28	20	37	19	23	66	49	71	30	95	82					
		5.09%	6.66%	6.74%	5.46%	5.93%	6.07%	5.60%	5.30%	5.53%	4.42%	4.52%	3.99%	4.56%	4.74%	5.79%	3.51%	4.47%	3.23%	4.28%	4.08%	4.14%	5.72%	6.06%	4.64%	4.59%	4.99%	5.01%	5.11%	5.90%	4.50%	4.54%	6.04%	5.17%	3.64%	3.18%	0.89%	5.60%	10.70%	5.08%	6.51%	5.71%	7.97%	4.54%	4.36%	3.90%	5.82%	5.64%					
20	. Миронов Сергей Михайлович	449	3	11	10	9	9	17	15	17	19	7	14	15	14	19	20	4	3	4	8	7	12	4	13	7	9	10	12	15	7	5	11	0	4	4	1	3	5	5	5	6	9	7	21	9	22	18					
		0.99%	0.27%	1.11%	0.93%	0.95%	0.67%	1.15%	0.96%	1.15%	1.33%	0.90%	1.00%	1.46%	0.86%	1.31%	1.85%	0.43%	0.48%	0.48%	0.99%	0.53%	1.11%	0.59%	1.04%	0.68%	0.76%	0.74%	0.88%	1.30%	0.93%	1.03%	1.48%	0.00%	0.91%	1.16%	0.22%	0.60%	2.67%	0.69%	1.71%	1.49%	1.09%	0.65%	1.29%	1.17%	1.35%	1.24%					
21	. Путин Владимир Владимирович	31438	754	687	720	643	906	989	1027	1073	975	529	949	720	1087	999	730	662	420	597	508	893	748	472	850	708	810	935	935	768	497	370	547	93	354	262	412	394	129	540	229	296	606	873	1067	556	1121	998					
		69.42%	67.87%	69.11%	66.60%	68.04%	67.11%	66.69%	65.58%	72.35%	68.37%	68.26%	67.59%	69.90%	66.89%	68.85%	67.41%	70.43%	67.74%	70.90%	62.87%	67.14%	69.00%	69.72%	68.00%	69.07%	68.47%	68.95%	68.20%	66.67%	65.83%	76.29%	73.42%	80.17%	80.45%	75.72%	91.96%	78.80%	68.98%	74.07%	78.42%	73.45%	73.19%	80.91%	65.46%	72.21%	68.69%	68.59%					
22	. Хакамада Ирина Муцуовна	1482	38	30	48	25	45	55	59	43	38	30	51	23	48	53	40	40	28	31	35	49	32	19	34	24	53	53	34	37	29	12	13	3	11	8	5	10	6	25	3	11	20	21	79	23	67	41					
		3.27%	3.42%	3.02%	4.44%	2.65%	3.33%	3.71%	3.77%	2.90%	2.66%	3.87%	3.63%	2.23%	2.95%	3.65%	3.69%	4.26%	4.52%	3.68%	4.33%	3.68%	2.95%	2.81%	2.72%	2.34%	4.48%	3.91%	2.48%	3.21%	3.84%	2.47%	1.74%	2.59%	2.50%	2.31%	1.12%	2.00%	3.21%	3.43%	1.03%	2.73%	2.42%	1.95%	4.85%	2.99%	4.11%	2.82%					
