Выборы Президента Российской Федерации																							
																							
Наименование Избирательной комиссии:    Велижская																							
																							
Итоги голосования 																							
																							
		Сумма	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448					
1	"Число избирателей, внесенных в список"	11912	288	540	332	341	432	880	233	316	214	180	206	295	547	2623	2431	2054					
2	Число полученных избирательных бюллетеней	11951	290	549	335	344	440	881	238	322	222	184	206	305	555	2632	2388	2060					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5700	180	209	146	225	169	352	159	202	115	113	120	175	203	1230	1163	939					
5	"Число избирательных бюллетеней, выданных вне помещения"	1311	38	127	103	31	154	157	16	22	24	42	30	53	151	109	129	125					
6	Число погашенных избирательных бюллетеней	4940	72	213	86	88	117	372	63	98	83	29	56	77	201	1293	1096	996					
7	Число избирательных бюллетеней в переносных ящиках	1311	38	127	103	31	154	157	16	22	24	42	30	53	151	109	129	125					
8	Число бюллетеней в стационарных ящиках для голосования	5700	180	209	146	225	169	352	159	202	115	113	120	175	203	1230	1163	939					
9	Число недействительных избирательных бюллетеней	46	1	3	1	2	2	4	0	3	0	0	1	1	2	13	7	6					
10	Число действительных избирательных бюллетеней	6965	217	333	248	254	321	505	175	221	139	155	149	227	352	1326	1285	1058					
11	Число полученных открепительных  удостоверений	245	15	15	15	15	15	15	15	15	15	15	15	15	15	15	20	15					
12	Число выданных открепительных удостоверений	65	2	6	1	1	3	3	3	4	1	5	1	6	2	8	14	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	38	1	3	0	0	0	2	1	1	0	6	2	2	1	5	6	8					
14	Число неиспользованных открепительных удостоверений	180	13	9	14	14	12	12	12	11	14	10	14	9	13	7	6	10					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																							
18	. Глазьев Сергей Юрьевич	159	2	3	7	4	6	7	0	5	1	1	3	7	8	40	39	26					
		2.27%	0.92%	0.89%	2.81%	1.56%	1.86%	1.38%	0.00%	2.23%	0.72%	0.65%	2.00%	3.07%	2.26%	2.99%	3.02%	2.44%					
19	. Малышкин Олег Александрович	157	7	4	8	5	6	10	3	4	3	2	2	5	13	47	27	11					
		2.24%	3.21%	1.19%	3.21%	1.95%	1.86%	1.96%	1.71%	1.79%	2.16%	1.29%	1.33%	2.19%	3.67%	3.51%	2.09%	1.03%					
20	. Миронов Сергей Михайлович	97	0	3	6	1	9	9	0	1	0	0	5	4	6	12	18	23					
		1.38%	0.00%	0.89%	2.41%	0.39%	2.79%	1.77%	0.00%	0.45%	0.00%	0.00%	3.33%	1.75%	1.69%	0.90%	1.39%	2.16%					
21	. Путин Владимир Владимирович	4756	176	258	187	203	213	306	155	163	101	89	104	138	249	850	835	729					
		67.84%	80.73%	76.79%	75.10%	79.30%	65.94%	60.12%	88.57%	72.77%	72.66%	57.42%	69.33%	60.53%	70.34%	63.48%	64.63%	68.52%					
22	. Хакамада Ирина Муцуовна	108	2	2	2	1	3	10	0	1	0	1	3	7	5	23	35	13					
		1.54%	0.92%	0.60%	0.80%	0.39%	0.93%	1.96%	0.00%	0.45%	0.00%	0.65%	2.00%	3.07%	1.41%	1.72%	2.71%	1.22%					
23	. Харитонов Николай Михайлович	1549	28	54	36	36	82	159	17	36	33	62	27	61	63	319	300	236					
		22.09%	12.84%	16.07%	14.46%	14.06%	25.39%	31.24%	9.71%	16.07%	23.74%	40.00%	18.00%	26.75%	17.80%	23.82%	23.22%	22.18%					
																							
24	Против всех	139	2	9	2	4	2	4	0	11	1	0	5	5	8	35	31	20					
		1.98%	0.92%	2.68%	0.80%	1.56%	0.62%	0.79%	0.00%	4.91%	0.72%	0.00%	3.33%	2.19%	2.26%	2.61%	2.40%	1.88%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
