Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																				
Дата голосования: 07.12.2003 0:00:00																				
																				
Наименование Избирательной комиссии:    Улуг-Хемская																				
																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																				
																				
		Сумма	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166					
1	"Число избирателей, внесенных в списки"	9659	1241	1129	1448	1023	401	1095	330	532	680	372	785	417	206					
2	"Число бюллетеней, полученных участковыми комиссиями"	9493	1236	1097	1373	1155	368	1032	341	485	660	355	737	392	262					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	82	0	0	0	0	0	33	4	0	0	45	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5028	524	379	638	455	276	618	255	312	470	201	436	270	194					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	301	35	24	28	31	21	32	13	33	11	4	48	9	12					
6	Число погашенных бюллетеней	4082	677	694	707	669	71	349	69	140	179	105	253	113	56					
7	Число бюллетеней в переносных ящиках для голосования	383	35	24	28	31	21	65	17	33	11	49	48	9	12					
8	Число бюллетеней в стационарных ящиках для голосования	4957	524	379	638	455	275	551	255	310	470	200	436	270	194					
9	Число недействительных бюллетеней	268	32	17	12	16	21	50	5	12	23	11	35	30	4					
10	Число действительных бюллетеней	5072	527	386	654	470	275	566	267	331	458	238	449	249	202					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	130	10	10	10	10	10	10	10	10	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	30	3	5	5	8	3	0	0	3	2	1	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	28	2	4	2	1	2	1	3	2	0	4	3	2	2					
14	Число погашенных открепительных удостоверений	100	7	5	5	2	7	10	10	7	8	9	10	10	10					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
18	"1. ""ЕДИНЕНИЕ"""	311	30	12	19	21	12	67	12	18	39	13	34	20	14					
		5.82%	5.36%	2.97%	2.85%	4.32%	4.05%	10.87%	4.41%	5.24%	8.10%	5.22%	7.02%	7.16%	6.79%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	50	9	2	13	7	0	10	0	3	2	0	3	1	0					
		0.93%	1.61%	0.49%	1.95%	1.44%	0.0%	1.62%	0.0%	0.87%	0.41%	0.0%	0.61%	0.35%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	126	12	15	15	16	9	18	7	5	7	6	8	5	3					
		2.35%	2.14%	3.72%	2.25%	3.29%	3.04%	2.92%	2.57%	1.45%	1.45%	2.40%	1.65%	1.79%	1.45%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	76	14	2	25	16	5	1	2	1	4	0	3	3	0					
		1.42%	2.50%	0.49%	3.75%	3.29%	1.68%	0.16%	0.73%	0.29%	0.83%	0.0%	0.61%	1.07%	0.0%					
22	"5. ""За Русь Святую"""	7	1	1	1	1	0	0	2	1	0	0	0	0	0					
		0.13%	0.17%	0.24%	0.15%	0.20%	0.0%	0.0%	0.73%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	19	6	0	2	0	2	1	1	1	0	2	2	2	0					
		0.35%	1.07%	0.0%	0.30%	0.0%	0.67%	0.16%	0.36%	0.29%	0.0%	0.80%	0.41%	0.71%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	14	3	3	1	0	0	1	1	2	1	0	2	0	0					
		0.26%	0.53%	0.74%	0.15%	0.0%	0.0%	0.16%	0.36%	0.58%	0.20%	0.0%	0.41%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	7	0	0	0	0	0	1	1	0	0	1	1	3	0					
		0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.36%	0.0%	0.0%	0.40%	0.20%	1.07%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	6	0	0	0	0	0	1	0	1	0	1	0	2	1					
		0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.29%	0.0%	0.40%	0.0%	0.71%	0.48%					
27	"10. ""Аграрная партия России"""	50	2	3	11	3	1	5	2	5	6	4	2	0	6					
		0.93%	0.35%	0.74%	1.65%	0.61%	0.33%	0.81%	0.73%	1.45%	1.24%	1.60%	0.41%	0.0%	2.91%					
28	"11. ""Истинные патриоты России"""	9	0	0	1	1	0	0	2	1	0	4	0	0	0					
		0.16%	0.0%	0.0%	0.15%	0.20%	0.0%	0.0%	0.73%	0.29%	0.0%	1.60%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	20	2	0	1	1	3	3	0	1	3	1	5	0	0					
		0.37%	0.35%	0.0%	0.15%	0.20%	1.01%	0.48%	0.0%	0.29%	0.62%	0.40%	1.03%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	13	0	0	3	0	0	3	2	1	0	3	1	0	0					
		0.24%	0.0%	0.0%	0.45%	0.0%	0.0%	0.48%	0.73%	0.29%	0.0%	1.20%	0.20%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	22	3	1	3	2	1	3	0	3	4	1	1	0	0					
		0.41%	0.53%	0.24%	0.45%	0.41%	0.33%	0.48%	0.0%	0.87%	0.83%	0.40%	0.20%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	13	1	0	0	1	1	2	0	0	1	1	1	4	1					
