Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Октябрьская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725					
1	"Число избирателей, внесенных в список"	25703	2661	3037	2987	487	702	188	595	972	195	643	519	400	171	768	238	613	160	1848	1789	366	161	1045	220	860	1604	2103	371					
2	Число полученных избирательных бюллетеней	25015	2545	2720	2720	480	710	190	590	930	200	740	520	410	160	780	250	670	170	1710	1710	360	160	1050	220	780	1730	2130	380					
3	"Число избирательных бюллетеней, выданных  досрочно"	412	0	0	0	0	0	0	38	0	0	242	58	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	17633	1857	1842	1939	397	453	168	372	821	169	335	381	313	106	537	198	451	127	1470	1062	245	124	880	184	513	1021	1415	253					
5	"Число избирательных бюллетеней, выданных вне помещения"	1901	105	163	143	32	70	10	78	62	15	60	41	25	49	168	12	93	17	28	183	23	5	30	24	96	167	146	56					
6	Число погашенных избирательных бюллетеней	5069	583	715	638	51	187	12	102	47	16	103	40	72	5	75	40	126	26	212	391	92	31	140	12	171	542	569	71					
7	Число избирательных бюллетеней в переносных ящиках	2313	105	163	143	32	70	10	116	62	15	302	99	25	49	168	12	93	17	28	257	23	5	30	24	96	167	146	56					
8	Число бюллетеней в стационарных ящиках для голосования	17626	1857	1842	1939	397	453	168	372	820	169	335	381	313	106	537	198	451	127	1464	1062	245	124	880	184	513	1021	1415	253					
9	Число недействительных избирательных бюллетеней	255	24	29	19	8	15	2	2	5	2	11	6	3	4	7	4	11	0	4	25	3	1	10	3	12	19	24	2					
10	Число действительных избирательных бюллетеней	19684	1938	1976	2063	421	508	176	486	877	182	626	474	335	151	698	206	533	144	1488	1294	265	128	900	205	597	1169	1537	307					
11	Число полученных открепительных  удостоверений	707	127	73	50	0	22	10	35	70	3	4	21	16	2	18	10	23	7	45	15	5	10	36	5	8	37	43	12					
12	Число выданных открепительных удостоверений	589	69	57	49	0	19	10	34	70	0	4	18	16	2	18	10	19	6	41	13	5	7	32	5	8	32	33	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	357	35	19	108	0	7	1	6	76	6	4	3	6	2	4	3	2	2	5	11	3	7	7	3	4	12	11	10					
14	Число неиспользованных открепительных удостоверений	118	58	16	1	0	3	0	1	0	3	0	3	0	0	0	0	4	1	4	2	0	3	4	0	0	5	10	0					
15	"Число открепительных удостоверений, выданных в ТИК"	13	2	1	3	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																		
18	. Глазьев Сергей Юрьевич	696	88	67	94	6	24	3	17	9	4	20	2	23	1	10	9	16	2	48	46	8	0	14	7	35	57	80	6					
		3.49%	4.49%	3.34%	4.51%	1.40%	4.59%	1.69%	3.48%	1.02%	2.17%	3.14%	0.42%	6.80%	0.65%	1.42%	4.29%	2.94%	1.39%	3.22%	3.49%	2.99%	0.00%	1.54%	3.37%	5.75%	4.80%	5.12%	1.94%					
19	. Малышкин Олег Александрович	1024	71	119	100	12	20	8	19	28	9	27	16	27	11	39	8	34	13	56	64	19	3	39	19	55	82	110	16					
		5.14%	3.62%	5.94%	4.80%	2.80%	3.82%	4.49%	3.89%	3.17%	4.89%	4.24%	3.33%	7.99%	7.10%	5.53%	3.81%	6.25%	9.03%	3.75%	4.85%	7.09%	2.33%	4.29%	9.13%	9.03%	6.90%	7.05%	5.18%					
20	. Миронов Сергей Михайлович	184	11	18	13	6	4	3	3	3	3	4	0	1	4	5	2	8	3	11	23	1	1	6	3	10	15	20	3					
		0.92%	0.56%	0.90%	0.62%	1.40%	0.76%	1.69%	0.61%	0.34%	1.63%	0.63%	0.00%	0.30%	2.58%	0.71%	0.95%	1.47%	2.08%	0.74%	1.74%	0.37%	0.78%	0.66%	1.44%	1.64%	1.26%	1.28%	0.97%					
21	. Путин Владимир Владимирович	13178	1211	1244	1399	317	340	119	368	731	143	469	368	223	73	500	116	353	104	1152	907	173	98	726	132	301	607	790	214					
		66.09%	61.72%	62.04%	67.20%	73.89%	65.01%	66.85%	75.41%	82.88%	77.72%	73.63%	76.67%	65.98%	47.10%	70.92%	55.24%	64.89%	72.22%	77.21%	68.76%	64.55%	75.97%	79.78%	63.46%	49.43%	51.09%	50.61%	69.26%					
22	. Хакамада Ирина Муцуовна	719	70	95	87	5	30	10	19	15	5	28	13	5	6	22	7	16	0	46	86	12	4	22	3	20	32	48	13					
		3.61%	3.57%	4.74%	4.18%	1.17%	5.74%	5.62%	3.89%	1.70%	2.72%	4.40%	2.71%	1.48%	3.87%	3.12%	3.33%	2.94%	0.00%	3.08%	6.52%	4.48%	3.10%	2.42%	1.44%	3.28%	2.69%	3.07%	4.21%					
23	. Харитонов Николай Михайлович	2872	346	327	252	53	71	21	43	59	16	49	53	37	46	107	43	92	20	85	113	40	13	59	36	146	305	401	39					
		14.40%	17.64%	16.31%	12.10%	12.35%	13.58%	11.80%	8.81%	6.69%	8.70%	7.69%	11.04%	10.95%	29.68%	15.18%	20.48%	16.91%	13.89%	5.70%	8.57%	14.93%	10.08%	6.48%	17.31%	23.97%	25.67%	25.69%	12.62%					
																																		
24	Против всех	1011	141	106	118	22	19	12	17	32	2	29	22	19	10	15	21	14	2	90	55	12	9	34	5	30	71	88	16					
		5.07%	7.19%	5.29%	5.67%	5.13%	3.63%	6.74%	3.48%	3.63%	1.09%	4.55%	4.58%	5.62%	6.45%	2.13%	10.00%	2.57%	1.39%	6.03%	4.17%	4.48%	6.98%	3.74%	2.40%	4.93%	5.98%	5.64%	5.18%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
