Выборы Президента Российской Федерации																	
																	
Наименование Избирательной комиссии:    Щербинская городская																	
																	
Итоги голосования 																	
																	
		Сумма	УИК №3173	УИК №3174	УИК №3175	УИК №3176	УИК №3177	УИК №3178	УИК №3179	УИК №3180	УИК №3181	УИК №3182					
1	"Число избирателей, внесенных в список"	23169	2399	2440	2212	2217	2430	2082	2364	2132	2283	2610					
2	Число полученных избирательных бюллетеней	22700	2400	2400	2200	2200	2400	2000	2300	2100	2100	2600					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13134	1336	1356	1303	1268	1395	1201	1389	982	1344	1560					
5	"Число избирательных бюллетеней, выданных вне помещения"	201	17	17	10	46	14	20	15	29	25	8					
6	Число погашенных избирательных бюллетеней	9365	1047	1027	887	886	991	779	896	1089	731	1032					
7	Число избирательных бюллетеней в переносных ящиках	201	17	17	10	46	14	20	15	29	25	8					
8	Число бюллетеней в стационарных ящиках для голосования	13111	1326	1356	1302	1262	1394	1201	1388	981	1344	1557					
9	Число недействительных избирательных бюллетеней	168	15	14	13	22	18	20	23	23	10	10					
10	Число действительных избирательных бюллетеней	13144	1328	1359	1299	1286	1390	1201	1380	987	1359	1555					
11	Число полученных открепительных  удостоверений	1000	100	100	100	100	100	100	100	100	100	100					
12	Число выданных открепительных удостоверений	213	13	18	10	20	20	14	12	12	46	48					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	142	16	15	6	11	9	12	26	17	14	16					
14	Число неиспользованных открепительных удостоверений	787	87	82	90	80	80	86	88	88	54	52					
15	"Число открепительных удостоверений, выданных в ТИК"	6	1	0	0	0	0	2	0	3	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																	
18	. Глазьев Сергей Юрьевич	979	88	105	95	92	112	97	75	89	125	101					
		7.35%	6.55%	7.65%	7.24%	7.03%	7.95%	7.94%	5.35%	8.81%	9.13%	6.45%					
19	. Малышкин Олег Александрович	162	17	21	13	18	9	19	18	8	25	14					
		1.22%	1.27%	1.53%	0.99%	1.38%	0.64%	1.56%	1.28%	0.79%	1.83%	0.89%					
20	. Миронов Сергей Михайлович	78	5	3	4	12	16	12	4	8	3	11					
		0.59%	0.37%	0.22%	0.30%	0.92%	1.14%	0.98%	0.29%	0.79%	0.22%	0.70%					
21	. Путин Владимир Владимирович	9381	994	990	945	940	949	851	1036	665	903	1108					
		70.47%	74.01%	72.10%	72.03%	71.87%	67.40%	69.70%	73.84%	65.84%	65.96%	70.80%					
22	. Хакамада Ирина Муцуовна	636	58	67	65	54	91	54	53	47	56	91					
		4.78%	4.32%	4.88%	4.95%	4.13%	6.46%	4.42%	3.78%	4.65%	4.09%	5.81%					
23	. Харитонов Николай Михайлович	1239	114	106	119	107	118	109	129	116	173	148					
		9.31%	8.49%	7.72%	9.07%	8.18%	8.38%	8.93%	9.19%	11.49%	12.64%	9.46%					
																	
24	Против всех	669	52	67	58	63	95	59	65	54	74	82					
		5.03%	3.87%	4.88%	4.42%	4.82%	6.75%	4.83%	4.63%	5.35%	5.41%	5.24%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
