Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																			
Дата голосования: 07.12.2003 0:00:00																			
																			
Наименование Избирательной комиссии:    Заречная городская																			
																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																			
																			
		Сумма	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800					
		0.16%	0.24%	0.16%	0.10%	0.0%	0.21%	0.15%	0.07%	0.15%	0.0%	0.0%	0.75%	0.41%					
35	"18. ""ЛДПР"""	1514	168	158	135	149	183	156	165	158	58	32	74	78					
		13.47%	13.51%	13.16%	13.77%	12.07%	13.33%	12.36%	11.97%	12.62%	26.36%	14.81%	18.68%	16.08%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	154	18	18	23	14	17	16	12	12	2	4	11	7					
		1.37%	1.44%	1.5%	2.34%	1.13%	1.23%	1.26%	0.87%	0.95%	0.90%	1.85%	2.77%	1.44%					
37	"20. ""Политическая партия ""Единая Россия"""	3713	417	394	309	374	404	416	447	411	73	109	160	199					
		33.04%	33.54%	32.83%	31.53%	30.30%	29.44%	32.96%	32.43%	32.85%	33.18%	50.46%	40.40%	41.03%					
38	"21. ""Российская Конституционно-демократическая партия"""	13	1	3	0	1	1	1	0	2	1	1	1	1					
		0.11%	0.08%	0.25%	0.0%	0.08%	0.07%	0.07%	0.0%	0.15%	0.45%	0.46%	0.25%	0.20%					
39	"22. ""Развитие предпринимательства"""	36	5	3	5	4	6	4	4	2	1	0	1	1					
		0.32%	0.40%	0.25%	0.51%	0.32%	0.43%	0.31%	0.29%	0.15%	0.45%	0.0%	0.25%	0.20%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	657	87	75	61	62	67	70	83	74	3	10	33	32					
		5.84%	6.99%	6.25%	6.22%	5.02%	4.88%	5.54%	6.02%	5.91%	1.36%	4.62%	8.33%	6.59%					
																			
41	Против всех	523	61	53	34	47	68	64	72	81	16	6	7	14					
		4.65%	4.90%	4.41%	3.46%	3.80%	4.95%	5.07%	5.22%	6.47%	7.27%	2.77%	1.76%	2.88%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
