Выборы Президента Российской Федерации																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Ишимбайская городская																																																																																	
																																																																																	
Итоги голосования 																																																																																	
																																																																																	
		Сумма	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928					
15	"Число открепительных удостоверений, выданных в ТИК"	26	0	2	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	1	1	1	2	0	1	2	1	1	1	1	0	2	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																	
18	. Глазьев Сергей Юрьевич	630	13	13	4	13	33	14	10	16	13	16	14	5	10	28	5	5	16	36	13	19	2	16	3	12	12	6	18	23	19	7	13	14	21	8	8	23	16	31	6	6	10	7	1	3	2	2	4	3	9	2	0	2	1	0	1	0	0	1	0	2	1	0	1	1	0	0	2	1	1	4	1	0	0	8					
		1.11%	1.39%	1.09%	0.35%	1.34%	3.26%	1.43%	1.46%	1.25%	1.33%	1.38%	1.30%	0.62%	0.88%	3.84%	0.47%	0.39%	1.73%	2.26%	1.60%	2.48%	1.27%	1.37%	0.32%	0.86%	1.17%	0.46%	1.26%	1.94%	1.56%	0.56%	1.40%	1.17%	2.13%	0.84%	0.70%	3.02%	2.19%	3.15%	0.73%	1.61%	2.51%	4.22%	0.19%	0.47%	0.33%	0.66%	0.50%	0.65%	0.91%	0.59%	0.00%	0.83%	0.20%	0.00%	0.17%	0.00%	0.00%	0.34%	0.00%	0.30%	0.20%	0.00%	0.09%	0.34%	0.00%	0.00%	0.36%	0.53%	0.23%	0.59%	0.25%	0.00%	0.00%	1.27%					
19	. Малышкин Олег Александрович	446	5	6	5	5	25	10	2	13	8	15	17	4	7	7	8	3	9	19	6	13	0	18	12	8	4	6	13	18	9	17	11	13	15	11	7	3	6	22	3	5	5	1	2	0	4	2	2	2	8	0	1	2	1	2	0	0	0	1	0	1	11	0	0	0	0	2	2	1	0	0	1	0	0	7					
		0.79%	0.53%	0.50%	0.43%	0.52%	2.47%	1.02%	0.29%	1.02%	0.82%	1.30%	1.58%	0.49%	0.61%	0.96%	0.75%	0.23%	0.97%	1.19%	0.74%	1.70%	0.00%	1.54%	1.27%	0.57%	0.39%	0.46%	0.91%	1.52%	0.74%	1.37%	1.19%	1.09%	1.52%	1.15%	0.61%	0.39%	0.82%	2.24%	0.36%	1.34%	1.26%	0.60%	0.38%	0.00%	0.66%	0.66%	0.25%	0.43%	0.81%	0.00%	0.46%	0.83%	0.20%	0.58%	0.00%	0.00%	0.00%	0.34%	0.00%	0.15%	2.22%	0.00%	0.00%	0.00%	0.00%	0.48%	0.36%	0.53%	0.00%	0.00%	0.25%	0.00%	0.00%	1.11%					
20	. Миронов Сергей Михайлович	232	6	7	6	5	2	3	3	6	9	8	1	3	4	4	11	2	1	12	4	4	0	3	10	3	3	6	3	5	10	7	3	17	8	2	5	4	5	6	3	1	4	2	1	0	5	1	1	2	2	0	0	0	0	1	1	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	1					
		0.41%	0.64%	0.59%	0.52%	0.52%	0.20%	0.31%	0.44%	0.47%	0.92%	0.69%	0.09%	0.37%	0.35%	0.55%	1.03%	0.16%	0.11%	0.75%	0.49%	0.52%	0.00%	0.26%	1.06%	0.22%	0.29%	0.46%	0.21%	0.42%	0.82%	0.56%	0.32%	1.43%	0.81%	0.21%	0.44%	0.52%	0.68%	0.61%	0.36%	0.27%	1.01%	1.20%	0.19%	0.00%	0.82%	0.33%	0.13%	0.43%	0.20%	0.00%	0.00%	0.00%	0.00%	0.29%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%					
21	. Путин Владимир Владимирович	51198	870	1024	1066	889	797	897	624	1158	891	1064	987	730	967	555	1004	1161	846	1445	735	568	143	1063	852	1283	927	1169	1302	912	1124	1136	743	1078	727	877	1049	693	566	719	751	346	344	151	496	610	583	298	764	416	906	309	204	229	474	324	593	274	680	292	930	638	457	198	1057	290	141	405	530	183	424	639	384	330	324	583					
		90.32%	92.75%	85.91%	92.45%	91.74%	78.68%	91.34%	90.96%	90.47%	91.20%	91.88%	91.73%	90.12%	84.68%	76.03%	93.83%	90.00%	91.26%	90.65%	90.52%	74.15%	91.08%	91.01%	90.06%	91.97%	90.70%	90.06%	91.05%	76.90%	92.21%	91.54%	80.06%	90.44%	73.81%	91.74%	91.38%	90.94%	77.32%	73.14%	90.92%	93.01%	86.43%	90.96%	93.06%	95.31%	96.05%	97.70%	96.10%	90.43%	91.70%	91.15%	94.44%	95.42%	96.73%	94.46%	98.02%	94.81%	98.98%	98.32%	98.94%	94.94%	92.14%	100.00%	99.62%	97.64%	96.58%	96.89%	95.50%	96.83%	97.47%	94.67%	96.00%	97.92%	99.39%	92.25%					
22	. Хакамада Ирина Муцуовна	493	8	15	6	10	14	7	5	15	7	13	2	2	9	24	0	5	21	12	4	12	4	4	16	12	5	4	20	28	13	8	4	11	32	9	6	4	15	26	9	0	14	0	4	4	3	0	3	3	11	2	1	0	1	2	0	0	0	0	0	4	5	0	1	1	1	0	1	2	0	4	1	0	0	4					
		0.87%	0.85%	1.26%	0.52%	1.03%	1.38%	0.71%	0.73%	1.17%	0.72%	1.12%	0.19%	0.25%	0.79%	3.29%	0.00%	0.39%	2.27%	0.75%	0.49%	1.57%	2.55%	0.34%	1.69%	0.86%	0.49%	0.31%	1.40%	2.36%	1.07%	0.64%	0.43%	0.92%	3.25%	0.94%	0.52%	0.52%	2.05%	2.64%	1.09%	0.00%	3.52%	0.00%	0.75%	0.62%	0.49%	0.00%	0.38%	0.65%	1.11%	0.59%	0.46%	0.00%	0.20%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%	1.01%	0.00%	0.09%	0.34%	0.68%	0.00%	0.18%	1.06%	0.00%	0.59%	0.25%	0.00%	0.00%	0.63%					
23	. Харитонов Николай Михайлович	3018	28	124	58	40	114	41	33	47	31	27	37	59	128	90	18	108	26	43	44	126	6	52	47	63	65	90	46	159	27	51	138	42	156	41	65	29	107	150	43	13	15	2	24	23	8	2	11	27	39	20	9	6	13	14	7	14	7	3	6	27	12	0	2	5	4	11	16	2	10	28	10	7	2	20					
