Выборы Президента Российской Федерации																	
																	
Наименование Избирательной комиссии:    Пыщугская																	
																	
Итоги голосования 																	
																	
		Сумма	УИК  545	УИК  546	УИК  547	УИК  548	УИК  549	УИК  550	УИК  551	УИК  552	УИК  553	УИК  554					
1	"Число избирателей, внесенных в список"	4626	2699	134	249	190	147	154	346	317	165	225					
2	Число полученных избирательных бюллетеней	4427	2574	127	239	179	142	151	332	305	158	220					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	2559	1346	73	141	137	84	103	181	204	112	178					
5	"Число избирательных бюллетеней, выданных вне помещения"	314	92	12	29	40	26	6	29	44	11	25					
6	Число погашенных избирательных бюллетеней	1554	1136	42	69	2	32	42	122	57	35	17					
7	Число избирательных бюллетеней в переносных ящиках	314	92	12	29	40	26	6	29	44	11	25					
8	Число бюллетеней в стационарных ящиках для голосования	2559	1346	73	141	137	84	103	181	204	112	178					
9	Число недействительных избирательных бюллетеней	18	12	0	1	0	0	0	0	4	0	1					
10	Число действительных избирательных бюллетеней	2855	1426	85	169	177	110	109	210	244	123	202					
11	Число полученных открепительных  удостоверений	62	24	2	4	3	4	2	5	7	4	7					
12	Число выданных открепительных удостоверений	52	17	2	3	3	4	2	5	7	3	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	20	10	0	0	4	1	2	0	2	0	1					
14	Число неиспользованных открепительных удостоверений	10	7	0	1	0	0	0	0	0	1	1					
15	"Число открепительных удостоверений, выданных в ТИК"	8	7	0	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																	
18	. Глазьев Сергей Юрьевич	58	38	0	5	1	5	3	1	3	1	1					
		2.02%	2.64%	0.00%	2.94%	0.56%	4.55%	2.75%	0.48%	1.21%	0.81%	0.49%					
19	. Малышкин Олег Александрович	71	35	2	8	1	4	1	4	4	2	10					
		2.47%	2.43%	2.35%	4.71%	0.56%	3.64%	0.92%	1.90%	1.61%	1.63%	4.93%					
20	. Миронов Сергей Михайлович	27	18	0	0	1	2	1	2	0	1	2					
		0.94%	1.25%	0.00%	0.00%	0.56%	1.82%	0.92%	0.95%	0.00%	0.81%	0.99%					
21	. Путин Владимир Владимирович	2095	1032	70	107	142	62	76	149	194	100	163					
		72.92%	71.77%	82.35%	62.94%	80.23%	56.36%	69.72%	70.95%	78.23%	81.30%	80.30%					
22	. Хакамада Ирина Муцуовна	40	25	0	4	1	1	2	1	2	2	2					
		1.39%	1.74%	0.00%	2.35%	0.56%	0.91%	1.83%	0.48%	0.81%	1.63%	0.99%					
23	. Харитонов Николай Михайлович	512	248	13	41	30	33	23	47	39	16	22					
		17.82%	17.25%	15.29%	24.12%	16.95%	30.00%	21.10%	22.38%	15.73%	13.01%	10.84%					
																	
24	Против всех	52	30	0	4	1	3	3	6	2	1	2					
		1.81%	2.09%	0.00%	2.35%	0.56%	2.73%	2.75%	2.86%	0.81%	0.81%	0.99%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
