Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Енисейская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190					
1	"Число избирателей, внесенных в список"	22133	1901	2422	501	542	273	1040	323	356	1036	1007	167	743	1022	1576	139	1477	368	222	304	271	918	334	124	259	109	879	191	70	262	153	68	1622	469	608	89	80	108	100					
2	Число полученных избирательных бюллетеней	22180	1930	2430	500	530	280	1020	345	355	1040	975	170	750	1020	1565	140	1500	370	225	305	270	920	330	125	255	110	885	185	80	265	150	70	1630	470	610	90	80	105	100					
3	"Число избирательных бюллетеней, выданных  досрочно"	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	45	0	33	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11747	1134	1351	321	403	155	476	212	216	580	483	100	362	369	580	85	715	233	112	186	178	480	208	96	149	87	512	136	48	205	82	36	644	197	417	40	41	71	47					
5	"Число избирательных бюллетеней, выданных вне помещения"	933	49	67	30	0	69	25	23	16	101	43	9	18	38	26	8	44	18	22	9	6	28	25	6	11	0	85	14	2	0	0	0	68	19	43	0	0	0	11					
6	Число погашенных избирательных бюллетеней	9411	747	1012	149	127	56	519	110	123	359	449	61	370	613	959	47	741	119	91	110	75	412	97	23	95	23	288	35	30	60	23	34	885	254	150	50	39	34	42					
7	Число избирательных бюллетеней в переносных ящиках	1022	49	67	30	0	69	25	23	16	101	43	9	18	38	26	8	44	18	22	9	17	28	25	6	11	0	85	14	2	0	45	0	101	19	43	0	0	0	11					
8	Число бюллетеней в стационарных ящиках для голосования	11746	1134	1351	321	403	155	476	212	216	580	483	100	362	368	580	85	715	233	112	186	178	480	208	96	149	87	512	136	48	205	82	36	644	197	417	40	41	71	47					
9	Число недействительных избирательных бюллетеней	108	14	12	7	4	1	8	0	5	4	0	0	2	0	0	0	7	1	0	3	0	12	2	1	2	0	3	0	3	0	2	0	9	0	3	1	0	1	1					
10	Число действительных избирательных бюллетеней	12660	1169	1406	344	399	223	493	235	227	677	526	109	378	406	606	93	752	250	134	192	195	496	231	101	158	87	594	150	47	205	125	36	736	216	457	39	41	70	57					
11	Число полученных открепительных  удостоверений	305	20	20	10	10	10	10	35	10	10	10	5	10	20	20	5	20	10	5	5	5	20	5	5	0	0	10	0	0	0	0	0	10	0	5	0	0	0	0					
12	Число выданных открепительных удостоверений	72	3	8	1	1	0	4	30	10	1	3	0	0	0	1	0	2	1	0	0	1	3	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	42	5	5	0	2	1	3	1	1	1	4	1	1	1	4	2	3	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	233	17	12	9	9	10	6	5	0	9	7	5	10	20	19	5	18	9	5	5	4	17	5	5	0	0	9	0	0	0	0	0	8	0	5	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	13	2	4	0	0	0	1	0	0	1	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																													
18	. Глазьев Сергей Юрьевич	1739	194	218	50	45	18	73	67	29	100	101	17	58	69	96	21	169	32	13	20	4	54	39	3	13	4	66	24	5	8	0	0	90	3	20	3	2	7	4					
		13.62%	16.40%	15.37%	14.25%	11.17%	8.04%	14.57%	28.51%	12.50%	14.68%	19.20%	15.60%	15.26%	17.00%	15.84%	22.58%	22.27%	12.75%	9.70%	10.26%	2.05%	10.63%	16.74%	2.94%	8.12%	4.60%	11.06%	16.00%	10.00%	3.90%	0.00%	0.00%	12.08%	1.39%	4.35%	7.50%	4.88%	9.86%	6.90%					
19	. Малышкин Олег Александрович	288	19	45	4	8	1	22	7	8	15	17	2	13	6	14	3	10	5	3	3	1	11	8	1	4	1	17	6	0	4	3	0	13	9	4	1	0	0	0					
