Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Красноборская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485					
1	"Число избирателей, внесенных в список"	11865	2158	1633	464	114	430	132	99	485	234	447	680	433	271	319	900	377	202	269	271	1247	158	127	278	137					
2	Число полученных избирательных бюллетеней	11000	1900	1500	440	100	410	120	100	450	220	420	640	400	260	300	860	350	190	250	250	1200	140	120	250	130					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7493	1333	989	285	63	274	85	80	331	128	259	454	289	183	243	555	258	136	180	170	753	72	80	206	87					
5	"Число избирательных бюллетеней, выданных вне помещения"	1027	89	101	25	28	29	14	8	44	74	110	3	27	11	23	107	36	18	17	36	143	43	11	9	21					
6	Число погашенных избирательных бюллетеней	2480	478	410	130	9	107	21	12	75	18	51	183	84	66	34	198	56	36	53	44	304	25	29	35	22					
7	Число избирательных бюллетеней в переносных ящиках	1027	89	101	25	28	29	14	8	44	74	110	3	27	11	23	107	36	18	17	36	143	43	11	9	21					
8	Число бюллетеней в стационарных ящиках для голосования	7491	1331	989	285	63	274	85	80	331	128	259	454	289	183	243	555	258	136	180	170	753	72	80	206	87					
9	Число недействительных избирательных бюллетеней	50	10	8	3	0	0	2	0	3	1	0	6	2	2	3	2	4	2	1	1	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	8468	1410	1082	307	91	303	97	88	372	201	369	451	314	192	263	660	290	152	196	205	896	115	91	215	108					
11	Число полученных открепительных  удостоверений	194	20	20	10	7	10	2	2	10	4	5	5	5	5	15	20	15	5	5	5	15	2	2	3	2					
