Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Дебесская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625					
1	"Число избирателей, внесенных в список"	10202	339	261	1058	1060	776	759	713	169	197	161	167	484	192	169	291	327	216	109	688	334	286	749	209	453	35					
2	Число полученных избирательных бюллетеней	10000	340	270	1000	1000	780	780	700	160	200	160	160	480	180	170	300	320	220	100	660	330	280	700	200	430	80					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7603	257	175	724	777	539	545	500	125	161	98	124	392	173	147	258	256	154	95	499	282	197	541	185	370	29					
5	"Число избирательных бюллетеней, выданных вне помещения"	662	31	43	31	19	12	40	27	13	5	23	10	38	7	9	19	30	11	5	102	18	34	69	10	50	6					
6	Число погашенных избирательных бюллетеней	1735	52	52	245	204	229	195	173	22	34	39	26	50	0	14	23	34	55	0	59	30	49	90	5	10	45					
7	Число избирательных бюллетеней в переносных ящиках	662	31	43	31	19	12	40	27	13	5	23	10	38	7	9	19	30	11	5	102	18	34	69	10	50	6					
8	Число бюллетеней в стационарных ящиках для голосования	7602	256	175	724	777	539	545	500	125	161	98	124	392	173	147	258	256	154	95	499	282	197	541	185	370	29					
9	Число недействительных избирательных бюллетеней	72	1	5	9	11	3	0	4	1	0	0	1	3	1	2	3	2	1	3	2	3	4	8	4	1	0					
10	Число действительных избирательных бюллетеней	8192	286	213	746	785	548	585	523	137	166	121	133	427	179	154	274	284	164	97	599	297	227	602	191	419	35					
11	Число полученных открепительных  удостоверений	291	18	16	20	30	18	20	18	5	5	5	5	15	5	5	19	21	5	5	10	9	10	10	7	10	0					
12	Число выданных открепительных удостоверений	243	15	16	15	23	13	18	14	5	5	5	2	13	1	4	18	21	5	0	7	8	10	10	7	8	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	118	4	3	6	6	1	10	2	4	1	1	4	4	3	2	8	1	4	2	5	2	2	4	2	5	32					
14	Число неиспользованных открепительных удостоверений	48	3	0	5	7	5	2	4	0	0	0	3	2	4	1	1	0	0	5	3	1	0	0	0	2	0					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
