Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																						
Дата голосования: 04.12.2011																						
																						
Наименование Избирательной комиссии:    Дзун-Хемчикская																						
																						
Сводная таблица результатов выборов																						
																						
		Сумма	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70					
1	"Число избирателей, внесенных в список избирателей"	10817	1242	1241	1339	1201	400	432	662	668	535	323	759	878	392	631	114					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11594	1199	1337	1354	1238	449	446	796	750	567	327	890	957	468	701	115					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7841	793	689	915	647	352	363	619	603	455	235	657	581	364	455	113					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	709	44	90	29	44	45	50	43	65	37	38	101	64	28	31	0					
6	Число погашенных избирательных бюллетеней	3042	362	558	410	547	52	31	134	82	75	54	132	312	76	215	2					
7	Число избирательных бюллетеней в переносных ящиках для голосования	711	44	90	29	44	45	52	43	65	37	38	101	64	28	31	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7832	793	680	915	647	352	363	619	603	455	235	657	581	364	455	113					
9	Число недействительных избирательных бюллетеней	72	10	0	16	8	1	1	9	4	4	0	4	8	5	0	2					
10	Число действительных избирательных бюллетеней	8471	827	770	928	683	396	414	653	664	488	273	754	637	387	486	111					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	125	13	13	13	13	6	5	8	12	6	3	9	10	5	7	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	87	8	9	13	9	6	1	4	11	6	0	2	9	1	7	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	30	20	0	1	0	1	0	1	0	2	1	3	1	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	38	5	4	0	4	0	4	4	1	0	3	7	1	4	0	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	348	37	41	62	37	4	2	2	51	16	8	0	81	3	4	0					
		4.07%	4.42%	5.32%	6.57%	5.35%	1.01%	0.48%	0.30%	7.63%	3.25%	2.93%	0.00%	12.56%	0.77%	0.82%	0.00%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	29	7	4	6	1	0	0	1	0	2	3	0	3	0	2	0					
		0.34%	0.84%	0.52%	0.64%	0.14%	0.00%	0.00%	0.15%	0.00%	0.41%	1.10%	0.00%	0.47%	0.00%	0.41%	0.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	25	1	3	6	5	0	0	1	0	4	0	0	3	0	2	0					
		0.29%	0.12%	0.39%	0.64%	0.72%	0.00%	0.00%	0.15%	0.00%	0.81%	0.00%	0.00%	0.47%	0.00%	0.41%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	252	41	39	24	33	8	2	6	23	9	25	9	18	3	12	0					
		2.95%	4.90%	5.06%	2.54%	4.78%	2.02%	0.48%	0.91%	3.44%	1.83%	9.16%	1.19%	2.79%	0.77%	2.47%	0.00%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	19	5	3	3	4	0	0	0	0	1	2	0	0	0	1	0					
		0.22%	0.60%	0.39%	0.32%	0.58%	0.00%	0.00%	0.00%	0.00%	0.20%	0.73%	0.00%	0.00%	0.00%	0.21%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7788	733	678	826	602	384	410	643	590	454	234	745	532	381	465	111					
		91.16%	87.57%	88.05%	87.50%	87.12%	96.73%	98.80%	97.13%	88.32%	92.28%	85.71%	98.28%	82.48%	97.19%	95.68%	98.23%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	10	3	2	1	1	0	0	0	0	2	1	0	0	0	0	0					
		0.12%	0.36%	0.26%	0.11%	0.14%	0.00%	0.00%	0.00%	0.00%	0.41%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
