Выборы Президента Российской Федерации																
																
Наименование Избирательной комиссии:    Арамильская городская																
																
Итоги голосования 																
																
		Сумма	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108					
1	"Число избирателей, внесенных в список"	12573	1350	1166	2402	2442	2574	402	721	758	758					
2	Число полученных избирательных бюллетеней	12300	1330	1030	2400	2400	2550	350	720	770	750					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6492	620	611	1184	1226	1411	177	399	437	427					
5	"Число избирательных бюллетеней, выданных вне помещения"	212	51	13	34	23	32	27	21	4	7					
6	Число погашенных избирательных бюллетеней	5596	659	406	1182	1151	1107	146	300	329	316					
7	Число избирательных бюллетеней в переносных ящиках	211	50	13	34	23	32	27	21	4	7					
8	Число бюллетеней в стационарных ящиках для голосования	6491	619	611	1184	1226	1411	177	399	437	427					
9	Число недействительных избирательных бюллетеней	144	26	13	29	7	34	5	9	9	12					
10	Число действительных избирательных бюллетеней	6558	643	611	1189	1242	1409	199	411	432	422					
11	Число полученных открепительных  удостоверений	250	25	25	45	45	55	10	15	15	15					
12	Число выданных открепительных удостоверений	40	14	3	5	3	3	2	1	2	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	40	5	2	6	9	7	1	3	4	3					
14	Число неиспользованных открепительных удостоверений	210	11	22	40	42	52	8	14	13	8					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																
18	. Глазьев Сергей Юрьевич	184	17	18	39	48	35	3	5	14	5					
		2.75%	2.54%	2.88%	3.20%	3.84%	2.43%	1.47%	1.19%	3.17%	1.15%					
19	. Малышкин Олег Александрович	132	15	16	32	17	23	3	11	9	6					
		1.97%	2.24%	2.56%	2.63%	1.36%	1.59%	1.47%	2.62%	2.04%	1.38%					
20	. Миронов Сергей Михайлович	40	8	5	7	4	7	3	6	0	0					
		0.60%	1.20%	0.80%	0.57%	0.32%	0.49%	1.47%	1.43%	0.00%	0.00%					
21	. Путин Владимир Владимирович	5509	519	524	987	1041	1181	171	346	363	377					
		82.20%	77.58%	83.97%	81.03%	83.35%	81.84%	83.82%	82.38%	82.31%	86.87%					
22	. Хакамада Ирина Муцуовна	235	33	22	33	51	49	5	15	16	11					
		3.51%	4.93%	3.53%	2.71%	4.08%	3.40%	2.45%	3.57%	3.63%	2.53%					
23	. Харитонов Николай Михайлович	332	36	15	76	50	85	10	18	23	19					
		4.95%	5.38%	2.40%	6.24%	4.00%	5.89%	4.90%	4.29%	5.22%	4.38%					
																
24	Против всех	126	15	11	15	31	29	4	10	7	4					
		1.88%	2.24%	1.76%	1.23%	2.48%	2.01%	1.96%	2.38%	1.59%	0.92%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
