Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Воскресенская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628					
1	"Число избирателей, внесенных в список"	18768	1340	946	1214	1472	1092	199	605	508	150	142	359	230	176	598	351	252	269	316	157	152	168	371	214	530	167	416	669	420	193	372	254	440	281	267	689	399	430	174	645	469	453	219					
2	Число полученных избирательных бюллетеней	18320	1300	820	1210	1470	1100	195	600	500	145	135	355	220	170	570	340	230	260	305	150	150	170	360	210	530	160	400	660	410	190	370	240	430	280	260	660	400	430	165	640	470	450	210					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9465	740	419	624	780	559	116	299	228	83	79	212	81	107	273	137	115	103	144	82	114	79	158	64	256	104	179	319	256	61	142	112	272	145	172	428	249	192	119	274	238	230	121					
5	"Число избирательных бюллетеней, выданных вне помещения"	3539	30	166	38	20	64	21	89	70	39	21	86	105	40	88	118	82	102	81	62	19	55	127	99	150	43	156	79	72	89	164	103	58	81	41	83	76	183	18	209	122	124	66					
6	Число погашенных избирательных бюллетеней	5316	530	235	548	670	477	58	212	202	23	35	57	34	23	209	85	33	55	80	6	17	36	75	47	124	13	65	262	82	40	64	25	100	54	47	149	75	55	28	157	110	96	23					
7	Число избирательных бюллетеней в переносных ящиках	3539	30	166	38	20	64	21	89	70	39	21	86	105	40	88	118	82	102	81	62	19	55	127	99	150	43	156	79	72	89	164	103	58	81	41	83	76	183	18	209	122	124	66					
8	Число бюллетеней в стационарных ящиках для голосования	9463	738	419	624	780	559	116	299	228	83	79	212	81	107	273	137	115	103	144	82	114	79	158	64	256	104	179	319	256	61	142	112	272	145	172	428	249	192	119	274	238	230	121					
9	Число недействительных избирательных бюллетеней	89	8	1	7	4	3	4	2	1	1	1	0	2	0	0	4	1	0	1	1	0	3	2	0	2	2	2	1	8	0	4	0	0	3	1	6	4	0	0	3	0	4	3					
10	Число действительных избирательных бюллетеней	12913	760	584	655	796	620	133	386	297	121	99	298	184	147	361	251	196	205	224	143	133	131	283	163	404	145	333	397	320	150	302	215	330	223	212	505	321	375	137	480	360	350	184					
