Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Ермекеевская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №2257	УИК №2258	УИК №2259	УИК №2260	УИК №2261	УИК №2262	УИК №2263	УИК №2264	УИК №2265	УИК №2266	УИК №2267	УИК №2268	УИК №2269	УИК №2270	УИК №2271	УИК №2272	УИК №2273	УИК №2274	УИК №2275	УИК №2276	УИК №2277	УИК №2278	УИК №2279	УИК №2280	УИК №2281	УИК №2282	УИК №2283	УИК №2284	УИК №2285	УИК №2286	УИК №2287	УИК №2288	УИК №2289	УИК №2290	УИК №2291					
1	"Число избирателей, внесенных в список"	12477	363	195	98	426	126	591	316	1662	1129	129	401	58	255	300	65	62	285	284	58	231	221	182	128	358	610	237	628	249	134	267	468	283	686	617	375					
2	Число полученных избирательных бюллетеней	12506	365	200	100	418	130	590	320	1632	1120	131	405	58	257	302	65	66	288	286	60	234	222	183	128	372	610	235	637	250	136	267	470	283	685	625	376					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11399	321	188	98	373	121	549	297	1555	981	126	367	58	237	274	65	59	275	262	53	214	185	182	126	346	506	215	564	234	134	243	426	254	589	589	333					
5	"Число избирательных бюллетеней, выданных вне помещения"	770	31	7	0	40	0	24	12	20	104	0	27	0	18	18	0	3	10	11	5	13	30	0	2	12	80	14	55	13	0	24	38	29	71	17	42					
6	Число погашенных избирательных бюллетеней	337	13	5	2	5	9	17	11	57	35	5	11	0	2	10	0	4	3	13	2	7	7	1	0	14	24	6	18	3	2	0	6	0	25	19	1					
7	Число избирательных бюллетеней в переносных ящиках	770	31	7	0	40	0	24	12	20	104	0	27	0	18	18	0	3	10	11	5	13	30	0	2	12	80	14	55	13	0	24	38	29	71	17	42					
8	Число бюллетеней в стационарных ящиках для голосования	11399	321	188	98	373	121	549	297	1555	981	126	367	58	237	274	65	59	275	262	53	214	185	182	126	346	506	215	564	234	134	243	426	254	589	589	333					
9	Число недействительных избирательных бюллетеней	18	0	0	0	0	0	5	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	2	3					
10	Число действительных избирательных бюллетеней	12151	352	195	98	413	121	568	309	1572	1084	126	394	58	255	292	65	62	285	273	58	227	215	182	128	358	586	229	619	245	134	267	464	283	658	604	372					
11	Число полученных открепительных  удостоверений	98	2	2	2	6	3	4	2	9	3	2	2	2	2	2	2	2	2	2	2	2	2	2	1	4	4	2	6	2	2	2	4	2	4	4	2					
12	Число выданных открепительных удостоверений	47	0	0	0	4	3	4	2	8	0	2	2	0	0	0	0	1	0	1	0	1	0	0	0	1	2	2	4	2	0	0	1	1	0	4	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	28	0	0	0	3	0	2	1	3	1	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	2	2	0	2	0	1	2	1	0	0	4					
14	Число неиспользованных открепительных удостоверений	51	2	2	2	2	0	0	0	1	3	0	0	2	2	2	2	1	2	1	2	1	2	2	1	3	2	0	2	0	2	2	3	1	4	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
