Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Сосновоборская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163					
1	"Число избирателей, внесенных в список"	15747	173	115	39	34	469	118	132	269	281	326	1680	1552	22	114	165	255	124	225	370	352	406	156	101	216	197	54	1675	1776	2357	195	65	665	320	227	396	126					
2	Число полученных избирательных бюллетеней	15796	175	116	42	34	475	120	134	275	281	326	1685	1555	25	127	168	308	126	220	370	358	388	158	99	215	200	54	1670	1780	2315	197	68	655	325	227	396	129					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10452	122	99	35	28	339	86	112	219	214	177	1158	1108	17	69	129	224	90	154	287	274	292	121	75	157	133	31	1034	903	1437	119	50	421	221	165	263	89					
5	"Число избирательных бюллетеней, выданных вне помещения"	1126	21	0	0	0	12	16	0	28	36	71	47	43	5	30	11	31	14	26	4	27	50	0	8	29	27	15	134	141	99	17	10	56	41	24	31	22					
6	Число погашенных избирательных бюллетеней	4218	32	17	7	6	124	18	22	28	31	78	480	404	3	28	28	53	22	40	79	57	46	37	16	29	40	8	502	736	779	61	8	178	63	38	102	18					
7	Число избирательных бюллетеней в переносных ящиках	1126	21	0	0	0	12	16	0	28	36	71	47	43	5	30	11	31	14	26	4	27	50	0	8	29	27	15	134	141	99	17	10	56	41	24	31	22					
8	Число бюллетеней в стационарных ящиках для голосования	10448	122	99	35	28	339	86	112	219	214	177	1158	1108	17	69	129	224	90	154	287	274	292	121	75	157	133	31	1034	899	1437	119	50	421	221	165	263	89					
9	Число недействительных избирательных бюллетеней	196	4	1	0	0	15	0	0	0	2	3	9	27	0	9	0	3	0	1	19	4	4	0	0	4	0	0	14	10	16	0	0	4	0	18	28	1					
10	Число действительных избирательных бюллетеней	11378	139	98	35	28	336	102	112	247	248	245	1196	1124	22	90	140	252	104	179	272	297	338	121	83	182	160	46	1154	1030	1520	136	60	473	262	171	266	110					
11	Число полученных открепительных  удостоверений	280	5	5	5	5	5	5	5	10	5	10	10	10	2	10	5	5	5	5	5	8	5	10	5	5	5	5	20	15	35	10	5	5	5	10	10	5					
12	Число выданных открепительных удостоверений	98	0	0	0	0	2	0	0	1	0	1	2	4	0	1	0	2	0	1	0	8	2	0	1	1	3	0	16	7	35	5	0	1	5	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	43	1	0	0	1	0	0	0	2	0	2	0	1	0	0	0	0	0	4	2	0	2	0	0	1	1	0	3	3	13	1	0	3	3	0	0	0					
14	Число неиспользованных открепительных удостоверений	182	5	5	5	5	3	5	5	9	5	9	8	6	2	9	5	3	5	4	5	0	3	10	4	4	2	5	4	8	0	5	5	4	0	10	10	5					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																											
18	. Глазьев Сергей Юрьевич	273	1	0	0	0	6	0	1	8	1	6	38	30	0	0	5	1	0	1	3	5	3	2	0	3	3	0	31	22	53	2	1	30	5	0	12	0					
		2.36%	0.70%	0.00%	0.00%	0.00%	1.71%	0.00%	0.89%	3.24%	0.40%	2.42%	3.15%	2.61%	0.00%	0.00%	3.57%	0.39%	0.00%	0.56%	1.03%	1.66%	0.88%	1.65%	0.00%	1.61%	1.88%	0.00%	2.65%	2.12%	3.45%	1.47%	1.67%	6.29%	1.91%	0.00%	4.08%	0.00%					
19	. Малышкин Олег Александрович	210	3	2	0	0	10	0	1	4	2	3	3	17	0	1	1	4	0	3	6	14	9	1	3	3	2	0	10	34	35	4	0	12	7	7	6	3					
		1.81%	2.10%	2.02%	0.00%	0.00%	2.85%	0.00%	0.89%	1.62%	0.80%	1.21%	0.25%	1.48%	0.00%	1.01%	0.71%	1.57%	0.00%	1.67%	2.06%	4.65%	2.63%	0.83%	3.61%	1.61%	1.25%	0.00%	0.86%	3.27%	2.28%	2.94%	0.00%	2.52%	2.67%	3.70%	2.04%	2.70%					
20	. Миронов Сергей Михайлович	83	0	0	1	0	5	0	6	1	5	0	2	6	0	2	1	0	2	6	3	2	3	0	0	0	3	0	5	4	13	2	0	9	2	0	0	0					
		0.72%	0.00%	0.00%	2.86%	0.00%	1.42%	0.00%	5.36%	0.40%	2.00%	0.00%	0.17%	0.52%	0.00%	2.02%	0.71%	0.00%	1.92%	3.33%	1.03%	0.66%	0.88%	0.00%	0.00%	0.00%	1.88%	0.00%	0.43%	0.38%	0.85%	1.47%	0.00%	1.89%	0.76%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	8176	95	74	33	27	206	82	82	135	179	106	950	840	20	61	108	191	90	125	199	180	217	60	57	131	130	45	919	785	1056	105	55	315	177	115	161	65					
		70.64%	66.43%	74.75%	94.29%	96.43%	58.69%	80.39%	73.21%	54.66%	71.60%	42.74%	78.84%	72.98%	90.91%	61.62%	77.14%	74.90%	86.54%	69.44%	68.38%	59.80%	63.45%	49.59%	68.67%	70.43%	81.25%	97.83%	78.68%	75.48%	68.75%	77.21%	91.67%	66.04%	67.56%	60.85%	54.76%	58.56%					
22	. Хакамада Ирина Муцуовна	293	1	0	0	0	7	0	2	6	1	2	191	8	0	0	0	1	2	2	6	4	3	3	0	2	1	0	16	14	18	0	0	2	1	0	0	0					
		2.53%	0.70%	0.00%	0.00%	0.00%	1.99%	0.00%	1.79%	2.43%	0.40%	0.81%	15.85%	0.70%	0.00%	0.00%	0.00%	0.39%	1.92%	1.11%	2.06%	1.33%	0.88%	2.48%	0.00%	1.08%	0.62%	0.00%	1.37%	1.35%	1.17%	0.00%	0.00%	0.42%	0.38%	0.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	2236	37	22	1	1	98	19	20	91	58	127	5	203	2	26	21	55	10	40	49	91	102	55	23	42	20	0	166	162	319	23	4	104	67	49	83	41					
		19.32%	25.87%	22.22%	2.86%	3.57%	27.92%	18.63%	17.86%	36.84%	23.20%	51.21%	0.41%	17.64%	9.09%	26.26%	15.00%	21.57%	9.62%	22.22%	16.84%	30.23%	29.82%	45.45%	27.71%	22.58%	12.50%	0.00%	14.21%	15.58%	20.77%	16.91%	6.67%	21.80%	25.57%	25.93%	28.23%	36.94%					
																																											
24	Против всех	107	2	0	0	0	4	1	0	2	2	1	7	20	0	0	4	0	0	2	6	1	1	0	0	1	1	1	7	9	26	0	0	1	3	0	4	1					
		0.92%	1.40%	0.00%	0.00%	0.00%	1.14%	0.98%	0.00%	0.81%	0.80%	0.40%	0.58%	1.74%	0.00%	0.00%	2.86%	0.00%	0.00%	1.11%	2.06%	0.33%	0.29%	0.00%	0.00%	0.54%	0.62%	2.17%	0.60%	0.87%	1.69%	0.00%	0.00%	0.21%	1.15%	0.00%	1.36%	0.90%					
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
