Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Серпуховская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624	УИК №2625	УИК №2626	УИК №2627	УИК №2628	УИК №2629	УИК №2630	УИК №2631	УИК №2632	УИК №2633	УИК №2634	УИК №2635	УИК №2636	УИК №2637	УИК №2638	УИК №2639	УИК №2640	УИК №2641	УИК №2642	УИК №2643	УИК №2644	УИК №2645	УИК №2646	УИК №2647					
21	. Путин Владимир Владимирович	13986	184	403	135	84	279	134	314	352	404	454	220	91	250	97	153	899	870	67	98	52	343	750	90	113	332	147	93	242	115	127	75	390	81	466	796	360	880	1283	830	933					
		72.53%	82.88%	68.31%	78.95%	75.68%	67.55%	73.22%	69.93%	77.70%	73.19%	71.72%	67.28%	72.22%	64.77%	70.29%	68.92%	72.04%	72.14%	72.04%	79.67%	83.87%	79.77%	65.16%	67.16%	79.02%	75.97%	69.01%	72.66%	65.23%	79.86%	71.75%	74.26%	76.62%	82.65%	78.45%	64.66%	69.63%	70.23%	82.67%	80.50%	68.60%					
22	. Хакамада Ирина Муцуовна	507	2	9	0	1	8	2	7	8	14	18	5	2	16	2	3	37	35	2	3	0	11	20	5	4	11	3	3	9	2	4	4	10	0	6	22	7	68	53	32	59					
		2.63%	0.90%	1.53%	0.00%	0.90%	1.94%	1.09%	1.56%	1.77%	2.54%	2.84%	1.53%	1.59%	4.15%	1.45%	1.35%	2.96%	2.90%	2.15%	2.44%	0.00%	2.56%	1.74%	3.73%	2.80%	2.52%	1.41%	2.34%	2.43%	1.39%	2.26%	3.96%	1.96%	0.00%	1.01%	1.79%	1.35%	5.43%	3.41%	3.10%	4.34%					
23	. Харитонов Николай Михайлович	2312	20	104	17	10	74	30	77	48	43	81	62	22	64	27	37	158	144	20	9	3	45	254	23	7	54	37	21	46	15	21	15	50	2	71	174	89	89	93	36	120					
		11.99%	9.01%	17.63%	9.94%	9.01%	17.92%	16.39%	17.15%	10.60%	7.79%	12.80%	18.96%	17.46%	16.58%	19.57%	16.67%	12.66%	11.94%	21.51%	7.32%	4.84%	10.47%	22.07%	17.16%	4.90%	12.36%	17.37%	16.41%	12.40%	10.42%	11.86%	14.85%	9.82%	2.04%	11.95%	14.13%	17.21%	7.10%	5.99%	3.49%	8.82%					
																																															
24	Против всех	852	7	19	6	4	15	2	8	15	44	25	6	1	12	1	11	45	48	0	2	2	9	39	8	11	8	4	4	22	3	4	5	14	5	6	141	22	80	43	51	100					
		4.42%	3.15%	3.22%	3.51%	3.60%	3.63%	1.09%	1.78%	3.31%	7.97%	3.95%	1.83%	0.79%	3.11%	0.72%	4.95%	3.61%	3.98%	0.00%	1.63%	3.23%	2.09%	3.39%	5.97%	7.69%	1.83%	1.88%	3.12%	5.93%	2.08%	2.26%	4.95%	2.75%	5.10%	1.01%	11.45%	4.26%	6.38%	2.77%	4.95%	7.35%					
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
