Выборы Президента Российской Федерации																																																																																																										
Дата голосования: 02.03.2008																																																																																																										
																																																																																																										
"Наименование Избирательной комиссии:    Воронеж, Коминтерновская"																																																																																																										
																																																																																																										
Сводная таблица результатов выборов																																																																																																										
																																																																																																										
	Число участковых избирательных комиссий	99																																																																																																								
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	99																																																																																																								
																																																																																																										
		Сумма	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099					
1	"Число избирателей, включенных в списки избирателей"	225449	2373	1102	2369	2263	2261	2129	2294	2900	1442	1840	1332	2172	2714	2523	2969	2461	2353	2139	2227	2930	2259	2405	2194	2211	2784	2894	1466	1732	2041	2155	2398	2066	2210	2588	2763	2183	2209	2329	1279	1456	1584	2030	1370	1681	2305	2689	2798	2972	1944	2061	2101	2587	2429	1711	2482	2284	2475	2348	2011	2162	2234	2234	1423	1866	2134	2079	2368	2255	2796	2280	2473	2385	2376	2241	2711	1810	2256	2549	2769	2564	2663	2455	2488	2651	2899	2890	2562	2879	2437	2461	2863	2668	2690	2817	1242	2570	2242	2539	1191					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	163830	1700	800	1700	1600	1600	1600	1700	2100	1000	1300	1000	1600	2000	1800	2000	1800	1700	1500	1600	2100	1600	1700	1600	1600	2000	2100	1000	1200	1400	1500	1700	1500	1600	2000	2000	1600	1600	1700	900	1100	1100	1500	1000	1200	1600	2000	2000	2100	1400	1500	1500	1800	1700	1200	1800	1700	1800	1700	1500	1600	1600	1600	1100	1400	1500	1500	1700	1600	2000	1600	1800	1700	1700	1600	2000	1300	1600	2000	2000	2500	2000	1700	1800	2000	2100	2100	1800	2100	1700	1700	2000	2000	2000	2000	1130	2000	1600	1800	1200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	131156	1138	548	1246	1239	1280	1265	1187	1499	788	906	729	1063	1587	1375	1752	1359	1237	1257	1329	1733	1385	1427	1336	1294	1468	1575	816	921	1091	1098	1473	1229	1328	1406	1489	1301	1190	1308	720	938	839	1193	788	897	1238	1408	1674	1752	1147	1257	1174	1525	1549	1034	1423	1426	1530	1527	1167	1340	1381	1324	764	1089	1214	1254	1446	1356	1612	1408	1419	1483	1427	1303	1557	1010	1303	1570	1675	1600	1665	1556	1499	1653	1736	1734	1582	1715	1440	1445	1648	1647	1583	1626	937	1376	1374	1498	1049					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	3405	78	15	40	49	36	38	38	35	16	96	14	42	16	20	54	16	23	18	12	20	11	15	32	24	55	64	40	56	70	49	32	37	29	73	34	27	40	40	70	47	39	45	51	34	63	47	41	50	30	30	44	31	8	15	10	37	56	15	17	31	32	39	12	32	33	31	40	21	29	19	12	15	20	10	30	15	23	19	30	35	21	28	35	29	19	22	25	20	12	14	16	15	27	9	10	147	53	50	141					
6	Число погашенных избирательных бюллетеней	29265	484	237	414	312	284	297	475	566	196	298	257	495	397	405	194	425	440	225	259	347	204	258	232	282	477	461	144	223	239	353	195	234	243	521	477	272	370	352	110	115	220	261	161	269	299	545	285	298	223	213	282	244	143	151	367	237	214	158	316	229	187	237	324	279	253	215	214	223	359	173	369	202	253	287	413	275	274	411	295	865	314	116	266	318	345	344	193	364	248	241	336	338	390	365	183	477	173	252	10					
