Выборы Президента Российской Федерации															
															
Наименование Избирательной комиссии:    Красноармейская городская															
															
Итоги голосования 															
															
		Сумма	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009					
1	"Число избирателей, внесенных в список"	20915	2861	2937	2927	2668	2842	1485	2559	2636					
2	Число полученных избирательных бюллетеней	19100	2600	2650	2650	2500	2600	1350	2350	2400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13034	1914	1789	1954	1827	1905	919	1298	1428					
5	"Число избирательных бюллетеней, выданных вне помещения"	188	21	22	19	22	21	16	26	41					
6	Число погашенных избирательных бюллетеней	5878	665	839	677	651	674	415	1026	931					
7	Число избирательных бюллетеней в переносных ящиках	188	21	22	19	22	21	16	26	41					
8	Число бюллетеней в стационарных ящиках для голосования	13005	1913	1789	1954	1823	1884	919	1295	1428					
9	Число недействительных избирательных бюллетеней	148	14	30	22	9	11	16	15	31					
10	Число действительных избирательных бюллетеней	13045	1920	1781	1951	1836	1894	919	1306	1438					
11	Число полученных открепительных  удостоверений	1500	200	200	200	200	200	100	200	200					
12	Число выданных открепительных удостоверений	73	11	4	15	13	10	0	10	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	64	9	11	10	5	10	3	6	10					
14	Число неиспользованных открепительных удостоверений	1427	189	196	185	187	190	100	190	190					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"															
18	. Глазьев Сергей Юрьевич	896	133	104	122	151	161	67	57	101					
		6.79%	6.88%	5.74%	6.18%	8.18%	8.45%	7.17%	4.31%	6.88%					
19	. Малышкин Олег Александрович	186	24	34	20	19	28	15	20	26					
		1.41%	1.24%	1.88%	1.01%	1.03%	1.47%	1.60%	1.51%	1.77%					
20	. Миронов Сергей Михайлович	61	11	12	9	7	10	2	0	10					
		0.46%	0.57%	0.66%	0.46%	0.38%	0.52%	0.21%	0.00%	0.68%					
21	. Путин Владимир Владимирович	9521	1342	1314	1420	1246	1334	665	1095	1105					
		72.17%	69.39%	72.56%	71.97%	67.53%	70.03%	71.12%	82.89%	75.22%					
22	. Хакамада Ирина Муцуовна	616	118	77	100	114	110	46	17	34					
		4.67%	6.10%	4.25%	5.07%	6.18%	5.77%	4.92%	1.29%	2.31%					
23	. Харитонов Николай Михайлович	1255	220	169	196	205	167	81	88	129					
		9.51%	11.38%	9.33%	9.93%	11.11%	8.77%	8.66%	6.66%	8.78%					
															
24	Против всех	510	72	71	84	94	84	43	29	33					
		3.87%	3.72%	3.92%	4.26%	5.09%	4.41%	4.60%	2.20%	2.25%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
