Выборы Президента Российской Федерации																																																					
																																																					
Наименование Избирательной комиссии:    Шилкинская																																																					
																																																					
Итоги голосования 																																																					
																																																					
		Сумма	УИК  854	УИК  855	УИК  856	УИК  857	УИК  858	УИК  859	УИК  860	УИК  861	УИК  862	УИК  863	УИК  864	УИК  865	УИК  866	УИК  867	УИК  868	УИК  869	УИК  870	УИК  871	УИК  872	УИК  873	УИК  874	УИК  875	УИК  876	УИК  877	УИК  878	УИК  879	УИК  880	УИК  881	УИК  882	УИК  883	УИК  884	УИК  885	УИК  886	УИК  887	УИК  888	УИК  889	УИК  890	УИК  891	УИК  892	УИК  893	УИК  894	УИК  895	УИК  896	УИК  897	УИК  898	УИК  899					
1	"Число избирателей, внесенных в список"	34590	1986	2130	1485	1371	1353	1626	190	1928	523	2392	2217	1957	2327	2116	247	163	205	1709	596	154	396	112	340	226	78	462	86	792	215	448	675	206	95	393	148	185	329	136	108	158	686	106	160	966	269	140					
2	Число полученных избирательных бюллетеней	34464	1949	2093	1476	1380	1308	1590	187	1911	517	2537	2293	2008	2246	2024	245	160	197	1706	600	153	394	113	336	224	74	464	88	791	219	453	634	204	95	405	148	183	324	131	108	158	670	107	167	954	298	142					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16532	784	880	675	624	585	682	113	854	296	1055	970	924	897	825	186	109	103	778	255	86	256	93	182	187	59	324	62	358	139	326	395	104	81	204	91	106	260	102	76	111	412	82	154	472	115	100					
5	"Число избирательных бюллетеней, выданных вне помещения"	1265	53	22	26	37	16	57	0	57	5	78	133	37	64	34	19	6	7	92	48	12	10	0	21	0	3	26	10	43	9	41	75	45	5	51	16	14	0	0	0	0	29	9	6	19	23	7					
6	Число погашенных избирательных бюллетеней	16667	1112	1191	775	719	707	851	74	1000	216	1404	1190	1047	1285	1165	40	45	87	836	297	55	128	20	133	37	12	114	16	390	71	86	164	55	9	150	41	63	64	29	32	47	229	16	7	463	160	35					
7	Число избирательных бюллетеней в переносных ящиках	1265	53	22	26	37	16	57	0	57	5	78	133	37	64	34	19	6	7	92	48	12	10	0	21	0	3	26	10	43	9	41	75	45	5	51	16	14	0	0	0	0	29	9	6	19	23	7					
8	Число бюллетеней в стационарных ящиках для голосования	16529	784	880	675	624	585	682	113	854	296	1055	970	922	897	825	186	109	103	778	255	86	256	93	182	187	59	324	62	358	139	326	395	104	81	204	90	106	260	102	76	111	412	82	154	472	115	100					
9	Число недействительных избирательных бюллетеней	212	13	9	6	8	4	9	0	10	8	7	13	8	0	15	3	1	0	3	1	0	3	0	4	2	3	2	0	6	3	8	11	3	0	2	0	0	8	0	6	0	6	0	0	18	3	6					
10	Число действительных избирательных бюллетеней	17582	824	893	695	653	597	730	113	901	293	1126	1090	951	961	844	202	114	110	867	302	98	263	93	199	185	59	348	72	395	145	359	459	146	86	253	106	120	252	102	70	111	435	91	160	473	135	101					
11	Число полученных открепительных  удостоверений	301	15	15	15	15	15	15	2	10	3	15	15	15	15	15	2	9	2	10	5	3	5	3	5	3	2	5	2	5	3	5	5	3	2	5	3	3	5	2	2	2	5	2	2	5	3	3					
12	Число выданных открепительных удостоверений	144	6	14	14	7	11	5	2	3	1	13	15	15	8	7	0	3	0	2	1	0	4	1	2	0	0	3	0	1	0	0	0	0	0	1	0	2	2	0	0	0	1	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	107	3	6	5	5	3	2	0	3	3	9	5	5	1	1	18	0	2	1	3	1	1	1	0	1	1	0	0	5	0	1	3	0	0	2	0	1	3	2	0	3	5	1	1	0	0	0					
14	Число неиспользованных открепительных удостоверений	157	9	1	1	8	4	10	0	7	2	2	0	0	7	8	2	6	2	8	4	3	1	2	3	3	2	2	2	4	3	5	5	3	2	4	3	1	3	2	2	2	4	2	2	5	3	3					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																					
18	. Глазьев Сергей Юрьевич	596	37	27	19	11	23	20	2	32	5	64	66	57	51	53	12	1	0	21	10	6	2	1	2	1	0	5	0	12	1	3	12	0	0	4	2	2	1	3	2	4	2	1	2	13	4	0					
		3.35%	4.42%	2.99%	2.71%	1.66%	3.83%	2.71%	1.77%	3.51%	1.66%	5.65%	5.98%	5.94%	5.31%	6.17%	5.85%	0.87%	0.00%	2.41%	3.30%	6.12%	0.75%	1.08%	0.99%	0.53%	0.00%	1.43%	0.00%	2.99%	0.68%	0.82%	2.55%	0.00%	0.00%	1.57%	1.89%	1.67%	0.38%	2.94%	2.63%	3.60%	0.45%	1.10%	1.25%	2.65%	2.90%	0.00%					
19	. Малышкин Олег Александрович	479	23	32	14	14	12	19	5	36	12	29	23	21	26	23	8	2	2	34	8	8	1	3	0	12	2	4	1	17	4	12	21	2	4	4	3	3	1	3	1	2	9	1	1	12	4	1					
