Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Каратузская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431					
1	"Число избирателей, внесенных в список"	14044	1192	1732	1097	2220	604	53	983	49	605	1010	105	125	401	528	529	228	551	328	635	126	79	186	105	221	352					
2	Число полученных избирательных бюллетеней	13479	1147	1637	1073	2201	578	50	936	44	580	963	103	121	378	494	504	225	532	308	594	119	74	171	98	213	336					
3	"Число избирательных бюллетеней, выданных  досрочно"	26	0	0	0	0	22	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7022	570	794	465	1033	331	35	503	40	335	490	47	82	239	268	252	146	271	199	299	82	55	122	64	104	196					
5	"Число избирательных бюллетеней, выданных вне помещения"	753	61	108	77	98	11	0	102	0	5	75	16	6	16	22	34	11	26	5	43	0	5	0	0	25	7					
6	Число погашенных избирательных бюллетеней	5678	516	735	531	1070	214	15	331	4	240	398	40	33	123	200	218	68	235	104	252	37	14	49	34	84	133					
7	Число избирательных бюллетеней в переносных ящиках	779	61	108	77	98	33	0	102	0	5	75	16	6	16	26	34	11	26	5	43	0	5	0	0	25	7					
8	Число бюллетеней в стационарных ящиках для голосования	7022	570	794	465	1033	331	35	503	40	335	490	47	82	239	268	252	146	271	199	299	82	55	122	64	104	196					
9	Число недействительных избирательных бюллетеней	88	7	5	7	4	4	0	17	1	3	9	0	3	4	2	5	1	5	5	2	0	0	0	0	2	2					
10	Число действительных избирательных бюллетеней	7713	624	897	535	1127	360	35	588	39	337	556	63	85	251	292	281	156	292	199	340	82	60	122	64	127	201					
11	Число полученных открепительных  удостоверений	133	14	14	14	13	4	2	4	2	4	14	3	3	3	4	4	3	4	3	4	3	2	3	3	3	3					
12	Число выданных открепительных удостоверений	29	3	6	5	6	2	0	2	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	26	2	2	3	1	0	0	0	4	1	2	1	1	3	1	0	0	0	1	1	0	0	1	0	1	1					
14	Число неиспользованных открепительных удостоверений	104	11	8	9	7	2	2	2	2	3	14	3	3	2	4	4	3	4	3	2	3	2	3	3	3	2					
