Выборы Президента Российской Федерации																																																																										
																																																																										
Наименование Избирательной комиссии:    Армавирская городская																																																																										
																																																																										
Итоги голосования 																																																																										
																																																																										
		Сумма	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №498	УИК №499					
1	"Число избирателей, внесенных в список"	128155	1935	1436	1707	1446	2190	1414	1707	2070	1520	2279	1734	1449	1981	657	1138	1927	2095	2192	1852	2023	2845	2602	1334	2210	1934	2014	2565	1867	2171	2119	2048	2564	2800	2509	2146	1972	2315	2651	2499	2819	2499	2757	2446	2184	1980	1983	2184	1891	1914	1667	1799	2380	1924	2472	1716	2036	2382	1511	1436	1126	2662	440	1384	594	1419	585	48					
2	Число полученных избирательных бюллетеней	126861	2000	1400	1750	1400	2200	1350	1650	2050	1550	2350	1700	1600	1900	600	1100	1900	2150	2200	1850	2000	2700	2650	1400	2200	1900	1900	2500	1800	2100	2200	2250	2600	2800	2400	2100	1900	2200	2550	2450	2800	2500	2700	2400	2100	1900	1950	2150	1900	1900	1600	1800	2450	1900	2400	1650	2025	2300	1356	1485	1285	2500	460	1350	500	1400	750	50					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	71840	1020	861	809	773	1371	914	953	1199	915	1435	1033	922	1139	282	596	832	1241	1045	1054	1108	1287	1409	826	1214	911	773	1646	858	1122	1205	1207	1257	1281	1326	1122	1135	1324	1446	1451	1619	1408	1489	1271	1265	1015	1159	1281	917	1195	958	1201	1364	1086	1554	1036	1256	1366	856	824	745	1620	336	912	454	731	572	48					
5	"Число избирательных бюллетеней, выданных вне помещения"	6309	72	67	282	118	89	56	44	51	96	51	106	110	96	78	59	146	128	240	57	110	284	141	48	127	137	245	42	92	104	91	62	237	163	123	68	35	47	77	68	95	112	126	76	51	63	83	116	148	64	74	81	210	59	54	62	74	58	40	125	42	69	38	48	0	81	13	0					
6	Число погашенных избирательных бюллетеней	48712	908	472	659	509	740	380	653	800	539	864	561	568	665	240	445	922	781	915	739	782	1129	1100	526	859	852	882	812	850	874	904	981	1106	1356	951	910	730	829	1027	931	1086	980	1085	1053	784	822	708	753	835	641	568	518	876	755	792	552	695	876	460	536	498	811	86	390	46	588	165	2					
7	Число избирательных бюллетеней в переносных ящиках	6308	72	67	282	117	89	56	44	51	96	51	106	110	96	78	59	146	128	240	57	110	284	141	48	127	137	245	42	92	104	91	62	237	163	123	68	35	47	77	68	95	112	126	76	51	63	83	116	148	64	74	81	210	59	54	62	74	58	40	125	42	69	38	48	0	81	13	0					
8	Число бюллетеней в стационарных ящиках для голосования	71814	1020	861	807	773	1371	914	953	1199	915	1435	1032	922	1139	282	596	827	1241	1045	1054	1107	1285	1409	825	1214	911	773	1646	853	1118	1205	1207	1257	1281	1326	1122	1135	1324	1446	1451	1616	1406	1489	1271	1265	1015	1159	1281	917	1195	958	1201	1364	1086	1554	1036	1256	1366	856	824	745	1620	336	912	454	731	572	48					
9	Число недействительных избирательных бюллетеней	636	4	13	5	7	40	5	7	6	10	4	14	6	16	0	3	7	2	5	5	22	15	10	11	5	19	6	8	11	11	4	11	12	22	5	12	14	6	21	10	7	11	5	10	9	9	10	12	12	4	5	7	17	6	9	14	21	15	18	6	8	15	2	3	1	4	2	0					
10	Число действительных избирательных бюллетеней	77486	1088	915	1084	883	1420	965	990	1244	1001	1482	1124	1026	1219	360	652	966	1367	1280	1106	1195	1554	1540	862	1336	1029	1012	1680	934	1211	1292	1258	1482	1422	1444	1178	1156	1365	1502	1509	1704	1507	1610	1337	1307	1069	1232	1385	1053	1255	1027	1275	1557	1139	1599	1084	1309	1409	878	943	779	1674	372	957	453	808	583	48					
11	Число полученных открепительных  удостоверений	1695	25	20	25	20	25	20	80	25	20	25	25	20	25	15	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	40	20	20	20	25	10	110	10	20	0	0					
12	Число выданных открепительных удостоверений	800	11	5	6	7	17	10	24	6	11	22	13	7	7	10	4	11	18	9	20	7	6	11	11	11	2	6	22	4	18	12	15	19	13	10	15	12	14	14	8	14	12	14	9	18	12	16	5	5	8	10	10	18	9	10	1	20	8	4	13	3	13	10	103	0	7	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	745	2	3	18	4	29	25	13	21	14	12	5	8	15	3	2	9	15	5	6	5	6	7	6	11	4	5	6	9	5	5	3	11	11	17	5	4	8	10	7	6	6	10	8	2	1	5	11	1	3	5	4	7	6	5	1	8	0	4	3	4	10	7	7	1	2	216	48					
14	Число неиспользованных открепительных удостоверений	895	14	15	19	13	8	10	56	19	9	3	12	13	18	5	21	14	7	16	5	18	19	14	14	14	23	19	3	21	7	13	10	6	12	15	10	13	11	11	17	11	13	11	16	7	13	9	20	20	17	15	15	7	16	15	24	5	32	16	7	17	12	0	7	10	13	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	89	1	2	2	3	3	3	0	1	0	2	2	0	3	0	2	3	2	1	0	2	0	2	0	1	3	2	3	0	1	5	1	1	0	1	1	0	3	2	0	3	1	0	2	0	3	1	2	1	2	3	1	2	0	2	1	0	4	1	0	0	1	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																										
18	. Глазьев Сергей Юрьевич	3174	41	29	33	38	71	63	52	70	48	63	49	27	65	24	20	39	51	46	34	47	49	35	23	41	51	39	99	31	50	40	53	70	41	73	69	61	53	77	57	89	69	82	40	63	33	67	63	35	87	52	37	70	44	68	35	33	51	30	32	27	44	15	40	7	34	3	2					
		4.06%	3.75%	3.12%	3.03%	4.27%	4.86%	6.49%	5.22%	5.60%	4.75%	4.24%	4.31%	2.62%	5.26%	6.67%	3.05%	4.01%	3.73%	3.58%	3.06%	3.86%	3.12%	2.26%	2.63%	3.06%	4.87%	3.83%	5.86%	3.28%	4.09%	3.09%	4.18%	4.69%	2.84%	5.04%	5.80%	5.21%	3.87%	5.06%	3.75%	5.20%	4.55%	5.08%	2.97%	4.79%	3.06%	5.39%	4.51%	3.29%	6.91%	5.04%	2.89%	4.45%	3.84%	4.23%	3.19%	2.48%	3.58%	3.35%	3.37%	3.43%	2.61%	4.01%	4.17%	1.54%	4.19%	0.51%	4.17%					
