Выборы Президента Российской Федерации																																																																	
																																																																	
"Наименование Избирательной комиссии:    Тверь, Московская"																																																																	
																																																																	
Итоги голосования 																																																																	
																																																																	
		Сумма	УИК  1092	УИК  1093	УИК  1094	УИК  1095	УИК  1096	УИК  1097	УИК  1098	УИК  1099	УИК  1100	УИК  1101	УИК  1102	УИК  1103	УИК  1104	УИК  1105	УИК  1106	УИК  1107	УИК  1108	УИК  1109	УИК  1110	УИК  1111	УИК  1112	УИК  1113	УИК  1114	УИК  1115	УИК  1116	УИК  1117	УИК  1118	УИК  1119	УИК  1120	УИК  1121	УИК  1122	УИК  1123	УИК  1124	УИК  1125	УИК  1126	УИК  1127	УИК  1128	УИК  1129	УИК  1130	УИК  1131	УИК  1132	УИК  1133	УИК  1134	УИК  1135	УИК  1136	УИК  1137	УИК  1138	УИК  1139	УИК  1140	УИК  1141	УИК  1142	УИК  1143	УИК  1144	УИК  1145	УИК  1146	УИК  1147	УИК  1148	УИК  1149					
11	Число полученных открепительных  удостоверений	2240	40	40	40	40	40	40	40	40	40	40	80	40	40	40	40	40	120	40	40	40	40	40	40	40	40	40	40	40	40	40	80	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	911	14	12	4	10	13	19	14	6	27	17	58	15	3	2	8	26	93	5	8	17	27	11	4	14	11	14	9	21	10	20	68	24	16	10	6	11	16	18	10	22	23	17	19	23	8	19	13	19	13	16	11	17	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1097	22	14	7	8	2	16	4	16	13	5	13	21	7	6	4	20	25	17	8	8	2	3	7	6	3	4	10	8	3	7	22	6	17	3	7	11	4	7	3	8	14	9	12	9	2	20	16	8	8	5	7	6	2	15	37	4	36	510					
14	Число неиспользованных открепительных удостоверений	1329	26	28	36	30	27	21	26	34	13	23	22	25	37	38	32	14	27	35	32	23	13	29	36	26	29	26	31	19	30	20	12	16	24	30	34	29	24	22	30	18	17	23	21	17	32	21	27	21	27	24	29	23	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	118	4	5	2	4	4	1	1	2	1	1	0	2	1	3	0	1	0	3	1	1	5	1	2	2	4	1	3	3	1	4	1	4	4	0	2	2	1	2	2	2	5	2	3	5	3	3	5	1	1	2	2	3	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																	
18	. Глазьев Сергей Юрьевич	2909	90	50	16	47	105	90	82	31	30	39	64	42	20	16	42	55	75	31	33	39	42	47	27	53	54	37	78	64	26	75	76	48	81	67	38	36	61	76	83	64	53	67	64	63	84	85	62	72	59	53	35	58	3	3	3	0	6	9					
		5.76%	6.82%	6.39%	5.11%	4.63%	7.16%	6.39%	6.46%	5.42%	3.55%	4.29%	6.13%	6.89%	3.86%	3.05%	6.14%	5.41%	5.78%	4.85%	4.63%	6.14%	3.89%	7.57%	5.65%	5.87%	6.94%	5.41%	5.94%	6.07%	3.65%	5.67%	6.74%	4.78%	6.61%	6.96%	6.44%	4.75%	6.01%	6.04%	8.11%	5.21%	4.85%	6.27%	5.57%	6.25%	6.74%	6.08%	6.03%	6.17%	5.56%	6.38%	6.62%	6.65%	13.64%	2.94%	1.95%	0.00%	6.12%	0.99%					
19	. Малышкин Олег Александрович	763	19	14	2	23	14	21	17	6	20	8	20	15	7	8	9	25	13	9	12	9	18	5	10	15	8	12	17	11	7	24	13	11	21	14	8	8	27	13	13	19	21	25	12	15	19	20	14	19	18	11	7	16	0	2	1	1	2	15					
		1.51%	1.44%	1.79%	0.64%	2.26%	0.95%	1.49%	1.34%	1.05%	2.37%	0.88%	1.92%	2.46%	1.35%	1.52%	1.32%	2.46%	1.00%	1.41%	1.68%	1.42%	1.67%	0.81%	2.09%	1.66%	1.03%	1.75%	1.29%	1.04%	0.98%	1.81%	1.15%	1.09%	1.71%	1.45%	1.36%	1.06%	2.66%	1.03%	1.27%	1.55%	1.92%	2.34%	1.04%	1.49%	1.52%	1.43%	1.36%	1.63%	1.69%	1.32%	1.32%	1.83%	0.00%	1.96%	0.65%	6.25%	2.04%	1.64%					
20	. Миронов Сергей Михайлович	283	2	2	0	1	13	9	9	2	3	6	8	3	4	1	3	3	9	3	4	3	6	6	4	8	5	7	8	5	5	9	4	5	1	4	2	6	6	9	5	4	8	14	10	2	7	5	10	10	4	6	1	3	0	0	3	0	1	2					
