Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Ломоносовский район																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №2144	УИК №2145	УИК №2146	УИК №2147	УИК №2148	УИК №2149	УИК №2150	УИК №2151	УИК №2152	УИК №2153	УИК №2154	УИК №2155	УИК №2156	УИК №2157	УИК №2158	УИК №2159	УИК №2160	УИК №2161	УИК №2162	УИК №2163	УИК №2164	УИК №2165					
1	"Число избирателей, внесенных в список"	52959	2105	2438	2843	2898	2733	2233	2533	2688	2481	2200	2427	2454	2473	2589	2736	2099	1980	2469	2160	2170	1999	2251					
2	Число полученных избирательных бюллетеней	53500	2200	2400	2700	2700	2700	2400	2500	2700	2600	2300	2500	2500	2500	2500	2700	2100	2200	2500	2200	2300	2000	2300					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	29200	1346	1296	1440	1406	1579	1348	1286	1444	1316	1216	1287	1337	1393	1448	1552	1195	1233	1396	1135	1238	1093	1216					
5	"Число избирательных бюллетеней, выданных вне помещения"	855	49	38	36	82	74	32	34	74	34	52	44	34	11	20	40	31	30	28	40	17	24	31					
6	Число погашенных избирательных бюллетеней	23445	805	1066	1224	1212	1047	1020	1180	1182	1250	1032	1169	1129	1096	1032	1108	874	937	1076	1025	1045	883	1053					
7	Число избирательных бюллетеней в переносных ящиках	855	49	38	36	82	74	32	34	74	34	52	44	34	11	20	40	31	30	28	40	17	24	31					
8	Число бюллетеней в стационарных ящиках для голосования	28924	1258	1296	1433	1401	1572	1316	1286	1440	1272	1216	1285	1327	1390	1444	1542	1183	1226	1368	1128	1238	1087	1216					
9	Число недействительных избирательных бюллетеней	171	8	4	10	10	5	10	8	11	0	9	5	5	7	11	5	12	3	21	9	7	7	4					
10	Число действительных избирательных бюллетеней	29608	1299	1330	1459	1473	1641	1338	1312	1503	1306	1259	1324	1356	1394	1453	1577	1202	1253	1375	1159	1248	1104	1243					
11	Число полученных открепительных  удостоверений	1200	50	50	50	50	70	50	50	70	70	50	50	50	70	50	70	50	50	50	50	50	50	50					
12	Число выданных открепительных удостоверений	850	42	43	37	45	48	31	36	49	55	34	40	29	50	40	50	29	35	47	22	26	30	32					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	751	22	62	48	52	47	21	24	23	35	12	49	12	35	62	23	40	28	22	23	30	33	48					
14	Число неиспользованных открепительных удостоверений	350	8	7	13	5	22	19	14	21	15	16	10	21	20	10	20	21	15	3	28	24	20	18					
15	"Число открепительных удостоверений, выданных в ТИК"	8	0	0	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	2	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	2533	122	121	112	110	167	114	113	124	93	90	111	113	107	141	136	114	129	111	110	99	80	116					
		8.51%	9.33%	9.07%	7.62%	7.42%	10.15%	8.46%	8.56%	8.19%	7.12%	7.10%	8.35%	8.30%	7.64%	9.63%	8.60%	9.39%	10.27%	7.95%	9.42%	7.89%	7.20%	9.30%					
19	. Малышкин Олег Александрович	270	15	11	12	20	12	10	18	12	19	7	8	8	11	7	14	9	14	13	17	8	16	9					
		0.91%	1.15%	0.82%	0.82%	1.35%	0.73%	0.74%	1.36%	0.79%	1.45%	0.55%	0.60%	0.59%	0.79%	0.48%	0.88%	0.74%	1.11%	0.93%	1.46%	0.64%	1.44%	0.72%					
20	. Миронов Сергей Михайлович	195	8	11	7	12	13	8	10	10	7	5	10	12	8	11	13	3	9	14	4	10	7	3					
		0.65%	0.61%	0.82%	0.48%	0.81%	0.79%	0.59%	0.76%	0.66%	0.54%	0.39%	0.75%	0.88%	0.57%	0.75%	0.82%	0.25%	0.72%	1.00%	0.34%	0.80%	0.63%	0.24%					
21	. Путин Владимир Владимирович	17778	790	753	942	975	927	778	773	930	828	837	799	825	817	755	981	671	692	871	679	747	679	729					
		59.70%	60.44%	56.45%	64.13%	65.75%	56.32%	57.72%	58.56%	61.43%	63.40%	66.01%	60.12%	60.62%	58.32%	51.57%	62.01%	55.27%	55.10%	62.39%	58.13%	59.52%	61.12%	58.46%					
22	. Хакамада Ирина Муцуовна	3626	169	176	172	133	273	174	177	196	160	140	152	183	191	112	156	170	170	118	144	154	144	162					
		12.18%	12.93%	13.19%	11.71%	8.97%	16.59%	12.91%	13.41%	12.95%	12.25%	11.04%	11.44%	13.45%	13.63%	7.65%	9.86%	14.00%	13.54%	8.45%	12.33%	12.27%	12.96%	12.99%					
23	. Харитонов Николай Михайлович	2698	107	129	107	125	128	108	119	122	101	98	144	103	112	253	144	129	121	134	104	121	88	101					
		9.06%	8.19%	9.67%	7.28%	8.43%	7.78%	8.01%	9.02%	8.06%	7.73%	7.73%	10.84%	7.57%	7.99%	17.28%	9.10%	10.63%	9.63%	9.60%	8.90%	9.64%	7.92%	8.10%					
																													
24	Против всех	2508	88	129	107	98	121	146	102	109	98	82	100	112	148	174	133	106	118	114	101	109	90	123					
		8.42%	6.73%	9.67%	7.28%	6.61%	7.35%	10.83%	7.73%	7.20%	7.50%	6.47%	7.52%	8.23%	10.56%	11.89%	8.41%	8.73%	9.39%	8.17%	8.65%	8.69%	8.10%	9.86%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
