Выборы Президента Российской Федерации																	
																	
Наименование Избирательной комиссии:    Октябрьская																	
																	
Итоги голосования 																	
																	
		Сумма	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157					
1	"Число избирателей, внесенных в список"	5720	537	682	809	794	957	336	298	479	605	223					
2	Число полученных избирательных бюллетеней	5874	541	673	803	810	970	346	312	529	643	247					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3838	431	400	513	496	626	221	225	335	420	171					
5	"Число избирательных бюллетеней, выданных вне помещения"	634	50	38	25	44	56	106	49	123	120	23					
6	Число погашенных избирательных бюллетеней	1402	60	235	265	270	288	19	38	71	103	53					
7	Число избирательных бюллетеней в переносных ящиках	634	50	38	25	44	56	106	49	123	120	23					
8	Число бюллетеней в стационарных ящиках для голосования	3838	431	400	513	496	626	221	225	335	420	171					
9	Число недействительных избирательных бюллетеней	43	1	0	11	5	8	5	3	6	4	0					
10	Число действительных избирательных бюллетеней	4429	480	438	527	535	674	322	271	452	536	194					
11	Число полученных открепительных  удостоверений	200	10	10	13	20	17	20	20	40	30	20					
12	Число выданных открепительных удостоверений	171	10	5	13	9	14	17	15	38	30	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	32	2	2	0	4	5	4	4	2	6	3					
14	Число неиспользованных открепительных удостоверений	29	0	5	0	11	3	3	5	2	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																	
18	. Глазьев Сергей Юрьевич	91	11	7	14	17	26	3	4	5	2	2					
		2.03%	2.29%	1.60%	2.60%	3.15%	3.81%	0.92%	1.46%	1.09%	0.37%	1.03%					
19	. Малышкин Олег Александрович	33	1	4	9	4	2	3	3	0	7	0					
		0.74%	0.21%	0.91%	1.67%	0.74%	0.29%	0.92%	1.09%	0.00%	1.30%	0.00%					
20	. Миронов Сергей Михайлович	9	0	1	0	2	1	3	0	1	1	0					
		0.20%	0.00%	0.23%	0.00%	0.37%	0.15%	0.92%	0.00%	0.22%	0.19%	0.00%					
21	. Путин Владимир Владимирович	3620	356	341	421	420	537	281	236	398	450	180					
		80.95%	74.01%	77.85%	78.25%	77.78%	78.74%	85.93%	86.13%	86.90%	83.33%	92.78%					
22	. Хакамада Ирина Муцуовна	145	21	22	18	23	23	9	13	6	7	3					
		3.24%	4.37%	5.02%	3.35%	4.26%	3.37%	2.75%	4.74%	1.31%	1.30%	1.55%					
23	. Харитонов Николай Михайлович	489	86	60	53	62	77	23	12	42	66	8					
		10.93%	17.88%	13.70%	9.85%	11.48%	11.29%	7.03%	4.38%	9.17%	12.22%	4.12%					
																	
24	Против всех	42	5	3	12	7	8	0	3	0	3	1					
		0.94%	1.04%	0.68%	2.23%	1.30%	1.17%	0.00%	1.09%	0.00%	0.56%	0.52%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
