Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Шаблыкинская																										
																										
Итоги голосования 																										
																										
		Сумма	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767					
1	"Число избирателей, внесенных в список"	7025	1002	1112	905	188	253	641	320	107	166	265	305	596	326	66	169	233	258	49	64					
2	Число полученных избирательных бюллетеней	6981	990	1040	890	191	260	635	315	112	180	270	310	600	330	71	171	240	260	50	66					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5024	647	839	698	130	136	380	182	90	139	173	183	486	247	59	133	174	238	39	51					
5	"Число избирательных бюллетеней, выданных вне помещения"	1283	170	104	98	45	101	194	105	12	12	80	102	52	76	6	32	59	14	8	13					
6	Число погашенных избирательных бюллетеней	674	173	97	94	16	23	61	28	10	29	17	25	62	7	6	6	7	8	3	2					
7	Число избирательных бюллетеней в переносных ящиках	1283	170	104	98	45	101	194	105	12	12	80	102	52	76	6	32	59	14	8	13					
8	Число бюллетеней в стационарных ящиках для голосования	5023	646	839	698	130	136	380	182	90	139	173	183	486	247	59	133	174	238	39	51					
9	Число недействительных избирательных бюллетеней	55	6	15	6	0	0	0	3	0	1	4	3	6	4	0	0	1	6	0	0					
10	Число действительных избирательных бюллетеней	6251	810	928	790	175	237	574	284	102	150	249	282	532	319	65	165	232	246	47	64					
11	Число полученных открепительных  удостоверений	133	17	15	15	5	5	5	5	5	5	5	10	10	5	5	5	5	5	3	3					
12	Число выданных открепительных удостоверений	44	7	7	6	0	0	5	0	0	3	0	5	5	5	0	0	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	33	2	6	3	1	2	0	4	1	2	2	1	5	1	0	1	0	0	1	1					
14	Число неиспользованных открепительных удостоверений	89	10	8	9	5	5	0	5	5	2	5	5	5	0	5	5	5	4	3	3					
15	"Число открепительных удостоверений, выданных в ТИК"	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	116	19	18	13	3	3	12	2	4	0	4	0	15	6	4	4	4	5	0	0					
		1.84%	2.33%	1.91%	1.63%	1.71%	1.27%	2.09%	0.70%	3.92%	0.00%	1.58%	0.00%	2.79%	1.86%	6.15%	2.42%	1.72%	1.98%	0.00%	0.00%					
19	. Малышкин Олег Александрович	147	12	16	18	2	10	18	9	2	4	5	5	11	9	3	6	8	5	3	1					
		2.33%	1.47%	1.70%	2.26%	1.14%	4.22%	3.14%	3.14%	1.96%	2.65%	1.98%	1.75%	2.04%	2.79%	4.62%	3.64%	3.43%	1.98%	6.38%	1.56%					
20	. Миронов Сергей Михайлович	45	1	11	8	3	1	4	0	1	4	4	2	3	0	0	1	1	1	0	0					
		0.71%	0.12%	1.17%	1.01%	1.71%	0.42%	0.70%	0.00%	0.98%	2.65%	1.58%	0.70%	0.56%	0.00%	0.00%	0.61%	0.43%	0.40%	0.00%	0.00%					
21	. Путин Владимир Владимирович	3111	381	455	377	97	118	186	83	75	86	113	191	338	175	40	66	116	141	29	44					
		49.33%	46.69%	48.25%	47.36%	55.43%	49.79%	32.40%	28.92%	73.53%	56.95%	44.66%	67.02%	62.83%	54.18%	61.54%	40.00%	49.79%	55.95%	61.70%	68.75%					
22	. Хакамада Ирина Муцуовна	104	14	18	17	3	3	6	6	1	1	5	4	8	5	1	3	4	5	0	0					
		1.65%	1.72%	1.91%	2.14%	1.71%	1.27%	1.05%	2.09%	0.98%	0.66%	1.98%	1.40%	1.49%	1.55%	1.54%	1.82%	1.72%	1.98%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	2545	350	383	335	64	100	331	174	18	49	106	76	137	110	15	80	97	88	15	17					
		40.36%	42.89%	40.62%	42.09%	36.57%	42.19%	57.67%	60.63%	17.65%	32.45%	41.90%	26.67%	25.46%	34.06%	23.08%	48.48%	41.63%	34.92%	31.91%	26.56%					
																										
24	Против всех	183	33	27	22	3	2	17	10	1	6	12	4	20	14	2	5	2	1	0	2					
		2.90%	4.04%	2.86%	2.76%	1.71%	0.84%	2.96%	3.48%	0.98%	3.97%	4.74%	1.40%	3.72%	4.33%	3.08%	3.03%	0.86%	0.40%	0.00%	3.12%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
