Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Нанайская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669					
1	"Число избирателей, внесенных в список"	13300	1376	594	1021	223	614	626	473	134	145	260	594	1143	798	773	822	64	1143	1129	1010	300	58					
2	Число полученных избирательных бюллетеней	13028	1373	605	1020	240	630	620	460	134	142	250	585	1090	785	734	800	57	1120	1065	965	297	56					
3	"Число избирательных бюллетеней, выданных  досрочно"	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9391	977	408	735	179	451	454	373	116	120	194	396	783	575	551	598	44	834	711	606	243	43					
5	"Число избирательных бюллетеней, выданных вне помещения"	1424	125	97	96	25	51	72	57	16	19	42	56	151	74	81	79	2	65	126	144	34	12					
6	Число погашенных избирательных бюллетеней	2210	271	100	189	36	128	94	30	2	3	14	133	156	133	102	123	11	221	228	215	20	1					
7	Число избирательных бюллетеней в переносных ящиках	1427	125	97	96	25	51	72	57	16	19	42	56	151	77	81	79	2	65	126	144	34	12					
8	Число бюллетеней в стационарных ящиках для голосования	9387	977	408	735	179	451	454	373	116	120	194	396	783	575	551	598	44	834	707	606	243	43					
9	Число недействительных избирательных бюллетеней	101	12	5	9	0	4	4	3	3	1	2	5	2	14	6	7	2	4	7	7	4	0					
10	Число действительных избирательных бюллетеней	10713	1090	500	822	204	498	522	427	129	138	234	447	932	638	626	670	44	895	826	743	273	55					
11	Число полученных открепительных  удостоверений	498	46	52	43	17	24	40	17	1	5	28	15	34	25	18	22	2	45	29	14	18	3					
12	Число выданных открепительных удостоверений	438	46	52	38	16	22	35	16	1	2	23	11	29	22	10	22	2	37	24	14	16	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	191	14	10	10	2	7	9	4	5	2	10	4	18	14	19	6	3	22	20	9	1	2					
14	Число неиспользованных открепительных удостоверений	60	0	0	5	1	2	5	1	0	3	5	4	5	3	8	0	0	8	5	0	2	3					
15	"Число открепительных удостоверений, выданных в ТИК"	19	0	1	2	0	0	0	0	0	0	1	3	3	4	1	2	0	0	1	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	453	32	17	33	6	20	23	29	1	7	1	22	52	40	28	38	1	43	36	18	1	5					
		4.19%	2.90%	3.37%	3.97%	2.94%	3.98%	4.37%	6.74%	0.76%	5.04%	0.42%	4.87%	5.57%	6.13%	4.43%	5.61%	2.17%	4.78%	4.32%	2.40%	0.36%	9.09%					
19	. Малышкин Олег Александрович	373	44	11	26	5	12	19	12	3	3	6	11	30	34	18	27	0	23	40	42	4	3					
		3.45%	3.99%	2.18%	3.13%	2.45%	2.39%	3.61%	2.79%	2.27%	2.16%	2.54%	2.43%	3.21%	5.21%	2.85%	3.99%	0.00%	2.56%	4.80%	5.60%	1.44%	5.45%					
20	. Миронов Сергей Михайлович	164	13	6	20	3	6	10	12	0	0	3	5	12	18	6	6	1	12	11	16	1	3					
		1.52%	1.18%	1.19%	2.41%	1.47%	1.20%	1.90%	2.79%	0.00%	0.00%	1.27%	1.11%	1.28%	2.76%	0.95%	0.89%	2.17%	1.33%	1.32%	2.13%	0.36%	5.45%					
21	. Путин Владимир Владимирович	7350	738	365	536	155	358	360	296	105	107	184	315	624	381	400	446	32	604	573	514	239	18					
		67.97%	66.97%	72.28%	64.50%	75.98%	71.31%	68.44%	68.84%	79.55%	76.98%	77.97%	69.69%	66.81%	58.44%	63.29%	65.88%	69.57%	67.19%	68.79%	68.53%	86.28%	32.73%					
22	. Хакамада Ирина Муцуовна	490	56	40	24	14	21	39	33	1	6	3	17	48	36	29	21	1	34	28	23	15	1					
		4.53%	5.08%	7.92%	2.89%	6.86%	4.18%	7.41%	7.67%	0.76%	4.32%	1.27%	3.76%	5.14%	5.52%	4.59%	3.10%	2.17%	3.78%	3.36%	3.07%	5.42%	1.82%					
23	. Харитонов Николай Михайлович	1506	171	50	161	16	67	53	35	11	8	14	56	130	100	111	103	9	149	124	105	11	22					
		13.93%	15.52%	9.90%	19.37%	7.84%	13.35%	10.08%	8.14%	8.33%	5.76%	5.93%	12.39%	13.92%	15.34%	17.56%	15.21%	19.57%	16.57%	14.89%	14.00%	3.97%	40.00%					
																												
24	Против всех	377	36	11	22	5	14	18	10	8	7	23	21	36	29	34	29	0	30	14	25	2	3					
		3.49%	3.27%	2.18%	2.65%	2.45%	2.79%	3.42%	2.33%	6.06%	5.04%	9.75%	4.65%	3.85%	4.45%	5.38%	4.28%	0.00%	3.34%	1.68%	3.33%	0.72%	5.45%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
