Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва									
Дата голосования: 04.12.2011									
									
"Наименование Избирательной комиссии:    Новороссийск, Судовая"									
									
Сводная таблица результатов выборов									
									
		Сумма	УИК №3698	УИК №3699					
1	"Число избирателей, внесенных в список избирателей"	54	38	16					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	54	38	16					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	50	34	16					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	0	0	0					
6	Число погашенных избирательных бюллетеней	4	4	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	50	34	16					
9	Число недействительных избирательных бюллетеней	0	0	0					
10	Число действительных избирательных бюллетеней	50	34	16					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0					
									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2	2	0					
		4.00%	5.88%	0.00%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	5	3	2					
		10.00%	8.82%	12.50%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1	1	0					
		2.00%	2.94%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	16	8	8					
		32.00%	23.53%	50.00%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1	1	0					
		2.00%	2.94%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	25	19	6					
		50.00%	55.88%	37.50%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	0	0	0					
		0.00%	0.00%	0.00%					
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
