Выборы Президента Российской Федерации																																									
																																									
Наименование Избирательной комиссии:    район Орехово-Борисово Северное																																									
																																									
Итоги голосования 																																									
																																									
		Сумма	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №3155					
1	"Число избирателей, внесенных в список"	73621	2549	2551	2560	2077	1980	2019	2367	1960	2424	2245	2402	2178	2585	2609	2194	2012	2217	1631	1888	1704	2609	2441	2385	2318	1685	2167	2081	2308	2160	2126	2088	2410	2533	158					
2	Число полученных избирательных бюллетеней	75070	2700	2550	2700	2100	1700	2100	2500	2250	2500	2350	2450	2250	2700	2700	2150	2100	2250	1650	1900	1700	2500	2400	2350	2300	1700	2300	2150	2450	2250	2150	2100	2400	2550	170					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	56960	2175	1584	1572	1618	1537	1423	1826	1360	2064	1889	2029	1687	2280	2193	1765	1624	1754	1300	1507	1359	2063	2070	1842	1766	1273	1694	1535	1236	1638	1633	1589	1904	2013	158					
5	"Число избирательных бюллетеней, выданных вне помещения"	1156	37	27	29	65	44	31	25	48	28	21	17	39	41	15	28	23	20	30	31	27	27	29	23	48	44	18	36	72	52	37	46	53	45	0					
6	Число погашенных избирательных бюллетеней	16954	488	939	1099	417	119	646	649	842	408	440	404	524	379	492	357	453	476	320	362	314	410	301	485	486	383	588	579	1142	560	480	465	443	492	12					
7	Число избирательных бюллетеней в переносных ящиках	1156	37	27	29	65	44	31	25	48	28	21	17	39	41	15	28	23	20	30	31	27	27	29	23	48	44	18	36	72	52	37	46	53	45	0					
8	Число бюллетеней в стационарных ящиках для голосования	56918	2175	1584	1572	1600	1537	1423	1806	1360	2064	1889	2029	1687	2280	2193	1765	1624	1754	1300	1507	1359	2063	2070	1842	1766	1273	1694	1535	1235	1638	1633	1589	1901	2013	158					
9	Число недействительных избирательных бюллетеней	458	55	4	14	3	0	19	5	7	41	13	11	4	127	3	11	9	3	10	12	4	3	15	5	6	3	0	6	8	14	12	6	11	14	0					
10	Число действительных избирательных бюллетеней	57616	2157	1607	1587	1662	1581	1435	1826	1401	2051	1897	2035	1722	2194	2205	1782	1638	1771	1320	1526	1382	2087	2084	1860	1808	1314	1712	1565	1299	1676	1658	1629	1943	2044	158					
11	Число полученных открепительных  удостоверений	1798	62	60	51	54	50	50	44	74	56	42	60	78	60	62	68	78	50	40	60	60	42	40	62	60	35	60	66	56	41	60	42	32	43	0					
12	Число выданных открепительных удостоверений	1120	45	37	33	30	37	40	32	22	43	27	36	39	31	37	38	51	30	18	35	23	34	31	29	32	33	25	36	39	33	45	29	30	40	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	576	15	14	11	20	10	15	19	11	24	19	34	16	12	23	15	19	27	16	9	16	16	40	10	8	9	12	24	18	12	17	23	13	26	3					
14	Число неиспользованных открепительных удостоверений	678	17	23	18	24	13	10	12	52	13	15	24	39	29	25	30	27	20	22	25	37	8	9	33	28	2	35	30	17	8	15	13	2	3	0					
15	"Число открепительных удостоверений, выданных в ТИК"	28	1	0	0	1	1	0	2	0	2	1	0	0	3	2	1	1	3	2	0	0	0	0	0	0	1	2	0	2	0	0	2	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																									
18	. Глазьев Сергей Юрьевич	2894	162	134	89	115	64	107	87	85	100	90	91	67	94	101	55	72	96	63	88	39	94	95	89	83	60	108	61	64	83	83	74	97	103	1					
		4.98%	7.32%	8.32%	5.56%	6.91%	4.05%	7.36%	4.75%	6.04%	4.78%	4.71%	4.45%	3.88%	4.05%	4.57%	3.07%	4.37%	5.41%	4.74%	5.72%	2.81%	4.50%	4.53%	4.77%	4.58%	4.56%	6.31%	3.88%	4.90%	4.91%	4.97%	4.53%	4.96%	5.00%	0.63%					
19	. Малышкин Олег Александрович	632	41	16	20	72	12	29	20	11	20	11	22	22	19	19	18	12	15	13	13	17	28	17	16	22	11	18	10	13	7	19	11	17	21	0					
		1.09%	1.85%	0.99%	1.25%	4.32%	0.76%	1.99%	1.09%	0.78%	0.96%	0.58%	1.08%	1.27%	0.82%	0.86%	1.00%	0.73%	0.85%	0.98%	0.85%	1.23%	1.34%	0.81%	0.86%	1.21%	0.84%	1.05%	0.64%	0.99%	0.41%	1.14%	0.67%	0.87%	1.02%	0.00%					
20	. Миронов Сергей Михайлович	375	14	6	11	57	10	29	15	14	10	6	7	13	19	13	6	6	8	7	11	4	19	11	16	10	5	7	4	6	9	4	0	9	9	0					
