Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Красноармейская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495					
1	"Число избирателей, внесенных в список"	14124	551	173	298	113	45	53	263	183	45	233	2870	140	253	71	591	3039	491	253	1124	43	627	2309	115	241					
2	Число полученных избирательных бюллетеней	14511	580	175	300	120	45	65	265	190	45	240	2800	140	257	80	641	3000	500	250	1180	45	630	2600	105	258					
3	"Число избирательных бюллетеней, выданных  досрочно"	178	12	0	0	0	0	0	0	0	0	0	0	0	5	0	6	58	10	2	11	0	65	9	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10102	440	158	256	106	45	49	231	173	38	152	1880	137	197	55	474	1834	361	206	685	33	456	1816	105	215					
5	"Число избирательных бюллетеней, выданных вне помещения"	747	15	4	19	0	0	4	19	10	7	52	132	0	17	5	31	129	23	22	110	10	32	106	0	0					
6	Число погашенных избирательных бюллетеней	3484	113	13	25	14	0	12	15	7	0	36	788	3	38	20	130	979	106	20	374	2	77	669	0	43					
7	Число избирательных бюллетеней в переносных ящиках	925	27	4	19	0	0	4	19	10	7	52	132	0	22	5	37	187	33	24	121	10	97	115	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	10100	440	158	256	106	45	49	231	173	38	152	1878	137	197	55	474	1834	361	206	685	33	456	1816	105	215					
9	Число недействительных избирательных бюллетеней	119	14	0	1	0	0	1	0	0	0	3	43	0	0	0	7	16	1	0	7	1	9	16	0	0					
10	Число действительных избирательных бюллетеней	10906	453	162	274	106	45	52	250	183	45	201	1967	137	219	60	504	2005	393	230	799	42	544	1915	105	215					
11	Число полученных открепительных  удостоверений	300	10	5	10	0	0	5	5	5	5	2	49	5	6	5	15	34	6	5	23	1	15	74	5	10					
12	Число выданных открепительных удостоверений	230	8	0	3	0	0	4	4	4	2	2	40	0	6	0	7	34	6	1	21	1	11	72	0	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	79	3	0	1	0	1	0	3	1	2	2	38	1	0	1	1	10	0	0	3	0	0	11	0	1					
14	Число неиспользованных открепительных удостоверений	70	2	5	7	0	0	1	1	1	3	0	9	5	0	5	8	0	0	4	2	0	4	2	5	6					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	508	21	9	6	2	0	0	12	1	0	6	80	1	12	1	22	118	7	10	46	5	23	116	8	2					
		4.61%	4.50%	5.56%	2.18%	1.89%	0.00%	0.00%	4.80%	0.55%	0.00%	2.94%	3.98%	0.73%	5.48%	1.67%	4.31%	5.84%	1.78%	4.35%	5.71%	11.63%	4.16%	6.01%	7.62%	0.93%					
19	. Малышкин Олег Александрович	635	22	15	22	8	0	3	13	11	12	14	112	16	16	4	27	126	20	16	64	1	24	66	13	10					
		5.76%	4.71%	9.26%	8.00%	7.55%	0.00%	5.66%	5.20%	6.01%	26.67%	6.86%	5.57%	11.68%	7.31%	6.67%	5.28%	6.23%	5.08%	6.96%	7.94%	2.33%	4.34%	3.42%	12.38%	4.65%					
20	. Миронов Сергей Михайлович	113	2	1	5	6	0	2	3	1	0	2	27	3	1	0	7	20	1	1	7	0	7	16	0	1					
		1.02%	0.43%	0.62%	1.82%	5.66%	0.00%	3.77%	1.20%	0.55%	0.00%	0.98%	1.34%	2.19%	0.46%	0.00%	1.37%	0.99%	0.25%	0.43%	0.87%	0.00%	1.27%	0.83%	0.00%	0.47%					
21	. Путин Владимир Владимирович	6213	311	108	173	72	35	20	128	122	32	108	913	62	128	36	311	1022	280	141	431	20	393	1133	73	161					
		56.35%	66.60%	66.67%	62.91%	67.92%	77.78%	37.74%	51.20%	66.67%	71.11%	52.94%	45.42%	45.26%	58.45%	60.00%	60.86%	50.57%	71.07%	61.30%	53.47%	46.51%	71.07%	58.67%	69.52%	74.88%					
22	. Хакамада Ирина Муцуовна	456	18	2	9	2	1	3	23	3	1	5	103	15	8	3	18	77	8	1	29	1	17	93	2	14					
		4.14%	3.85%	1.23%	3.27%	1.89%	2.22%	5.66%	9.20%	1.64%	2.22%	2.45%	5.12%	10.95%	3.65%	5.00%	3.52%	3.81%	2.03%	0.43%	3.60%	2.33%	3.07%	4.82%	1.90%	6.51%					
23	. Харитонов Николай Михайлович	2274	56	21	29	12	8	22	61	35	0	56	555	37	46	13	92	517	62	53	184	13	36	340	6	20					
