Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Ярославская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310					
1	"Число избирателей, внесенных в список"	40529	1608	1588	2717	967	1722	1273	437	121	591	1385	1237	1350	338	183	877	1266	695	233	597	809	919	763	2754	510	2601	1349	211	1965	328	1543	2292	1323	1196	1255	520	301	705					
2	Число полученных избирательных бюллетеней	37180	1450	1450	2500	850	1500	1200	400	110	550	1250	1150	1200	320	170	800	1150	650	200	550	750	850	700	2610	500	2400	1250	200	1750	300	1440	2100	1200	1100	1150	480	300	650					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	19984	879	866	1570	417	580	650	258	46	259	675	574	627	159	82	404	731	336	115	352	368	483	374	1376	319	1399	587	68	1003	136	534	1194	614	551	648	249	187	314					
5	"Число избирательных бюллетеней, выданных вне помещения"	2988	84	57	35	135	85	102	29	20	67	88	120	40	70	34	128	40	38	39	57	140	91	48	146	29	15	161	46	131	60	226	127	90	118	116	41	15	120					
6	Число погашенных избирательных бюллетеней	14208	487	527	895	298	835	448	113	44	224	487	456	533	91	54	268	379	276	46	141	242	276	278	1088	152	986	502	86	616	104	680	779	496	431	386	190	98	216					
7	Число избирательных бюллетеней в переносных ящиках	2987	84	57	35	135	85	102	29	20	67	88	120	40	70	34	128	40	38	39	57	140	91	48	146	29	15	160	46	131	60	226	127	90	118	116	41	15	120					
8	Число бюллетеней в стационарных ящиках для голосования	19973	879	866	1568	415	580	650	258	46	259	675	574	626	159	82	403	729	336	115	352	368	483	374	1376	319	1396	587	68	1003	136	534	1194	614	551	648	249	187	314					
9	Число недействительных избирательных бюллетеней	378	19	8	13	2	20	5	3	0	11	10	9	7	2	1	15	11	14	3	8	24	12	2	24	5	26	8	2	7	13	23	15	16	13	10	6	3	8					
10	Число действительных избирательных бюллетеней	22582	944	915	1590	548	645	747	284	66	315	753	685	659	227	115	516	758	360	151	401	484	562	420	1498	343	1385	739	112	1127	183	737	1306	688	656	754	284	199	426					
11	Число полученных открепительных  удостоверений	1300	50	50	50	30	50	30	20	20	20	50	50	50	20	20	30	30	20	20	30	30	30	30	50	20	50	50	20	50	20	50	50	30	50	50	30	20	30					
