Выборы Президента Российской Федерации																																																								
																																																								
Наименование Избирательной комиссии:    район Отрадное																																																								
																																																								
Итоги голосования 																																																								
																																																								
		Сумма	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750					
1	"Число избирателей, внесенных в список"	122915	1488	1391	2786	2564	2608	2846	2722	2535	2776	2861	2861	2647	2526	2868	2176	2303	2891	2527	2531	2208	2652	2468	2752	2705	2258	2646	2587	2466	2483	2050	2573	2547	2136	2318	2800	2259	2185	2754	2411	2380	2719	2559	2835	2668	2667	2357	2622	2574	2369					
2	Число полученных избирательных бюллетеней	113700	1400	1400	2600	2300	2400	2700	2500	2300	2600	2700	2600	2400	2300	2600	2000	2100	2700	2300	2300	2000	2500	2300	2500	2500	2100	2500	2400	2300	2300	1900	2400	2400	2000	2100	2600	2100	2000	2600	2200	2100	2500	2400	2600	2500	2500	2200	2400	2400	2200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	65178	880	900	1489	1387	1398	1676	1372	1416	1444	1413	1355	1447	1334	1624	1243	1272	1496	1381	1340	1226	1399	1346	1477	1602	1223	1395	1329	1208	1261	1119	1356	1235	1120	1227	1362	1306	1198	1396	1252	1323	1404	1305	1565	1405	1322	1216	1290	1273	1171					
5	"Число избирательных бюллетеней, выданных вне помещения"	1347	4	3	52	24	27	27	28	11	20	20	25	14	21	12	35	30	16	20	53	29	51	79	30	44	27	30	32	54	37	24	23	26	11	45	18	32	26	18	23	12	18	24	18	15	26	27	22	40	44					
6	Число погашенных избирательных бюллетеней	47175	516	497	1059	889	975	997	1100	873	1136	1267	1220	939	945	964	722	798	1188	899	907	745	1050	875	993	854	850	1075	1039	1038	1002	757	1021	1139	869	828	1220	762	776	1186	925	765	1078	1071	1017	1080	1152	957	1088	1087	985					
7	Число избирательных бюллетеней в переносных ящиках	1347	4	3	52	24	27	27	28	11	20	20	25	14	21	12	35	30	16	20	53	29	51	79	30	44	27	30	32	54	37	24	23	26	11	45	18	32	26	18	23	12	18	24	18	15	26	27	22	40	44					
8	Число бюллетеней в стационарных ящиках для голосования	64504	876	900	1486	1273	1392	1673	1344	1404	1439	1408	1355	1447	1334	1614	1242	1242	1496	1378	1340	1226	1399	1343	1472	1602	1223	1391	1325	1208	1154	1119	1356	1233	1120	1222	1362	1306	1164	1395	1246	1319	1404	1255	1359	1396	1322	1215	1288	1272	1165					
9	Число недействительных избирательных бюллетеней	665	9	19	8	77	22	5	7	12	3	9	20	22	7	16	13	13	7	9	9	6	0	5	13	7	18	11	12	18	18	10	10	13	15	15	77	9	10	13	9	7	0	7	6	12	10	3	4	13	27					
10	Число действительных избирательных бюллетеней	65186	871	884	1530	1220	1397	1695	1365	1403	1456	1419	1360	1439	1348	1610	1264	1259	1505	1389	1384	1249	1450	1417	1489	1639	1232	1410	1345	1244	1173	1133	1369	1246	1116	1252	1303	1329	1180	1400	1260	1324	1422	1272	1371	1399	1338	1239	1306	1299	1182					
