Выборы Президента Российской Федерации																																																
Дата голосования: 02.03.2008																																																
																																																
Наименование Избирательной комиссии:    Железногорская городская																																																
																																																
Сводная таблица результатов выборов																																																
																																																
	Число участковых избирательных комиссий	41																																														
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	41																																														
																																																
		Сумма	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №2198					
		1.82%	1.65%	1.71%	1.67%	1.99%	1.83%	2.43%	1.60%	2.07%	1.69%	2.06%	3.23%	3.06%	1.41%	1.57%	1.80%	1.79%	1.52%	1.27%	1.82%	1.15%	1.51%	1.54%	2.26%	1.73%	1.80%	1.36%	1.79%	2.92%	1.82%	2.03%	2.73%	1.26%	2.31%	1.64%	0.63%	1.38%	1.01%	2.32%	0.34%	0.57%	1.89%					
19	Жириновский Владимир Вольфович	8430	265	312	256	189	238	178	301	175	187	170	156	214	223	281	171	168	222	188	221	184	205	175	219	245	218	289	289	286	306	310	43	242	227	42	68	249	246	200	62	26	184					
		16.28%	19.82%	18.44%	17.06%	12.52%	14.02%	13.10%	17.87%	15.77%	12.64%	14.03%	13.27%	17.67%	18.46%	17.61%	17.08%	16.68%	16.92%	15.93%	16.06%	15.14%	17.24%	14.96%	12.67%	14.57%	15.10%	17.93%	17.26%	15.77%	19.18%	16.99%	16.80%	20.28%	18.12%	17.21%	21.59%	15.58%	15.60%	18.57%	21.09%	14.94%	15.14%					
20	Зюганов Геннадий Андреевич	10466	230	251	348	329	365	302	233	277	342	297	249	246	260	296	184	160	255	222	295	287	234	265	376	327	326	298	289	347	246	290	53	199	240	56	41	392	479	207	90	22	261					
		20.21%	17.20%	14.83%	23.18%	21.79%	21.51%	22.22%	13.84%	24.95%	23.11%	24.50%	21.17%	20.31%	21.52%	18.55%	18.38%	15.89%	19.44%	18.81%	21.44%	23.62%	19.68%	22.65%	21.75%	19.45%	22.58%	18.49%	17.26%	19.14%	15.42%	15.89%	20.70%	16.68%	19.15%	22.95%	13.02%	24.53%	30.37%	19.22%	30.61%	12.64%	21.48%					
21	Медведев Дмитрий Анатольевич	30985	797	1067	872	931	1026	813	1100	618	891	699	706	695	689	968	613	647	784	727	803	714	710	690	1063	1054	839	974	1012	1100	970	1135	148	724	734	141	190	908	811	636	139	120	727					
		59.83%	59.61%	63.06%	58.09%	61.66%	60.46%	59.82%	65.32%	55.68%	60.20%	57.67%	60.03%	57.39%	57.04%	60.65%	61.24%	64.25%	59.76%	61.61%	58.36%	58.77%	59.71%	58.97%	61.48%	62.70%	58.10%	60.42%	60.45%	60.67%	60.82%	62.19%	57.81%	60.69%	58.58%	57.79%	60.32%	56.82%	51.43%	59.05%	47.28%	68.97%	59.84%					
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
