Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Железногорская городская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735					
1	"Число избирателей, внесенных в список"	81714	2187	2647	2426	2397	2319	2167	2258	1834	2255	2053	1850	1908	2094	2285	1649	1897	2152	2019	2231	2052	2050	1897	2837	2960	3000	2767	2482	2814	2229	2414	379	2239	2171	429	543	2690	2492	1844	515	282					
2	Число полученных избирательных бюллетеней	79450	2100	2500	2500	2200	2200	2100	2200	1800	2200	2000	1800	1900	2000	2200	1600	1700	2100	2000	2200	2000	2000	1900	2800	2900	2900	2700	2400	2800	2200	2300	330	2200	2100	400	550	2600	2500	1800	500	270					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	45801	1056	1487	1337	1423	1409	1278	1602	1112	1385	1068	1152	1169	1119	1225	897	873	1167	1081	1279	1088	1103	1080	1651	1775	1676	1498	1403	1662	1282	1414	200	1038	1055	209	239	1543	1464	864	283	155					
5	"Число избирательных бюллетеней, выданных вне помещения"	1132	24	16	28	49	51	42	66	30	29	43	27	26	17	191	10	30	29	12	15	23	26	26	27	27	23	11	14	11	14	7	8	29	31	13	19	15	21	13	30	9					
6	Число погашенных избирательных бюллетеней	32517	1020	997	1135	728	740	780	532	658	786	889	621	705	864	784	693	797	904	907	906	889	871	794	1122	1098	1201	1191	983	1127	904	879	122	1133	1014	178	292	1042	1015	923	187	106					
7	Число избирательных бюллетеней в переносных ящиках	1131	24	16	28	49	51	42	66	30	29	43	27	26	17	190	10	30	29	12	15	23	26	26	27	27	23	11	14	11	14	7	8	29	31	13	19	15	21	13	30	9					
8	Число бюллетеней в стационарных ящиках для голосования	45779	1056	1487	1337	1423	1403	1277	1599	1111	1385	1067	1152	1169	1119	1224	897	873	1167	1081	1279	1086	1102	1080	1651	1775	1676	1497	1402	1660	1281	1413	200	1038	1055	209	239	1543	1464	864	283	155					
9	Число недействительных избирательных бюллетеней	241	6	14	10	5	8	3	7	3	7	4	7	8	0	3	6	3	4	5	10	7	7	0	5	11	6	10	5	6	8	3	1	8	13	2	10	5	9	5	7	0					
10	Число действительных избирательных бюллетеней	46669	1074	1489	1355	1467	1446	1316	1658	1138	1407	1106	1172	1187	1136	1411	901	900	1192	1088	1284	1102	1121	1106	1673	1791	1693	1498	1411	1665	1287	1417	207	1059	1073	220	248	1553	1476	872	306	164					
11	Число полученных открепительных  удостоверений	1400	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35					
12	Число выданных открепительных удостоверений	200	5	7	5	9	5	8	23	1	11	10	4	4	3	6	4	0	2	4	6	3	2	4	7	5	6	3	3	6	7	6	1	3	5	1	1	3	10	4	1	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	124	2	3	2	1	19	4	1	8	4	2	11	3	1	6	0	0	4	4	2	5	0	2	2	1	1	2	4	2	0	2	2	3	8	2	1	0	6	1	1	2					
14	Число неиспользованных открепительных удостоверений	1200	30	28	30	26	30	27	12	34	24	25	31	31	32	29	31	35	33	31	29	32	33	31	28	30	29	32	32	29	28	29	34	32	30	34	34	32	25	31	34	33					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																															
18	. Глазьев Сергей Юрьевич	10188	183	237	266	322	345	280	196	281	341	215	244	233	234	269	168	135	233	260	328	291	224	302	406	401	415	356	305	368	285	264	42	241	247	63	34	389	520	189	68	8					
		21.72%	16.94%	15.77%	19.49%	21.88%	23.73%	21.23%	11.77%	24.63%	24.12%	19.37%	20.70%	19.50%	20.60%	19.02%	18.52%	14.95%	19.48%	23.79%	25.35%	26.24%	19.86%	27.31%	24.20%	22.25%	24.43%	23.61%	21.54%	22.02%	22.01%	18.59%	20.19%	22.59%	22.74%	28.38%	13.18%	24.97%	35.02%	21.55%	21.73%	4.88%					
19	. Малышкин Олег Александрович	841	18	21	29	25	38	14	14	12	18	18	20	26	34	28	14	21	29	12	28	21	19	18	22	27	31	28	26	22	23	33	7	23	15	4	7	29	32	19	3	13					
		1.79%	1.67%	1.40%	2.12%	1.70%	2.61%	1.06%	0.84%	1.05%	1.27%	1.62%	1.70%	2.18%	2.99%	1.98%	1.54%	2.33%	2.42%	1.10%	2.16%	1.89%	1.68%	1.63%	1.31%	1.50%	1.82%	1.86%	1.84%	1.32%	1.78%	2.32%	3.37%	2.16%	1.38%	1.80%	2.71%	1.86%	2.15%	2.17%	0.96%	7.93%					
20	. Миронов Сергей Михайлович	221	4	9	7	5	6	9	2	3	6	3	5	6	1	7	2	3	7	7	6	2	9	5	9	11	6	4	8	7	6	13	1	5	9	2	1	8	11	4	0	2					
		0.47%	0.37%	0.60%	0.51%	0.34%	0.41%	0.68%	0.12%	0.26%	0.42%	0.27%	0.42%	0.50%	0.09%	0.50%	0.22%	0.33%	0.59%	0.64%	0.46%	0.18%	0.80%	0.45%	0.54%	0.61%	0.35%	0.27%	0.56%	0.42%	0.46%	0.92%	0.48%	0.47%	0.83%	0.90%	0.39%	0.51%	0.74%	0.46%	0.00%	1.22%					
21	. Путин Владимир Владимирович	27412	684	1015	798	836	792	756	1246	598	763	675	696	712	655	842	569	580	731	641	731	615	656	605	932	1054	955	867	820	975	761	867	112	642	621	116	171	871	631	519	187	115					
		58.44%	63.33%	67.53%	58.46%	56.79%	54.47%	57.32%	74.83%	52.41%	53.96%	60.81%	59.03%	59.58%	57.66%	59.55%	62.73%	64.23%	61.12%	58.65%	56.49%	55.46%	58.16%	54.70%	55.54%	58.49%	56.21%	57.49%	57.91%	58.35%	58.76%	61.06%	53.85%	60.17%	57.18%	52.25%	66.28%	55.91%	42.49%	59.18%	59.74%	70.12%					
22	. Хакамада Ирина Муцуовна	2046	33	56	66	70	69	59	62	67	88	50	51	40	49	70	36	37	45	44	53	36	58	40	85	70	95	65	68	99	64	93	11	26	37	7	4	40	56	31	13	3					
		4.36%	3.06%	3.73%	4.84%	4.76%	4.75%	4.47%	3.72%	5.87%	6.22%	4.50%	4.33%	3.35%	4.31%	4.95%	3.97%	4.10%	3.76%	4.03%	4.10%	3.25%	5.14%	3.62%	5.07%	3.88%	5.59%	4.31%	4.80%	5.92%	4.94%	6.55%	5.29%	2.44%	3.41%	3.15%	1.55%	2.57%	3.77%	3.53%	4.15%	1.83%					
23	. Харитонов Николай Михайлович	3248	96	60	115	120	101	112	72	100	124	105	101	95	89	111	57	67	96	73	87	88	77	62	118	113	82	75	66	89	59	43	22	82	93	16	22	110	143	64	25	18					
		6.92%	8.89%	3.99%	8.42%	8.15%	6.95%	8.49%	4.32%	8.76%	8.77%	9.46%	8.57%	7.95%	7.83%	7.85%	6.28%	7.42%	8.03%	6.68%	6.72%	7.94%	6.83%	5.61%	7.03%	6.27%	4.83%	4.97%	4.66%	5.33%	4.56%	3.03%	10.58%	7.69%	8.56%	7.21%	8.53%	7.06%	9.63%	7.30%	7.99%	10.98%					
																																															
24	Против всех	2713	56	91	74	89	95	86	66	77	67	40	55	75	74	84	55	57	51	51	51	49	78	74	101	115	109	103	118	105	89	104	12	40	51	12	9	106	83	46	10	5					
		5.78%	5.19%	6.05%	5.42%	6.05%	6.53%	6.52%	3.96%	6.75%	4.74%	3.60%	4.66%	6.28%	6.51%	5.94%	6.06%	6.31%	4.26%	4.67%	3.94%	4.42%	6.91%	6.69%	6.02%	6.38%	6.42%	6.83%	8.33%	6.28%	6.87%	7.32%	5.77%	3.75%	4.70%	5.41%	3.49%	6.80%	5.59%	5.25%	3.19%	3.05%					
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
