Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Рузская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №2433	УИК №2434	УИК №2435	УИК №2436	УИК №2437	УИК №2438	УИК №2439	УИК №2440	УИК №2441	УИК №2442	УИК №2443	УИК №2444	УИК №2445	УИК №2446	УИК №2447	УИК №2448	УИК №2449	УИК №2450	УИК №2451	УИК №2452	УИК №2453	УИК №2454	УИК №2455	УИК №2456	УИК №2457	УИК №2458	УИК №2459	УИК №2460	УИК №2461	УИК №2462	УИК №2463	УИК №2464	УИК №2465	УИК №2466	УИК №2467	УИК №2468	УИК №2469	УИК  2470					
		0.61%	0.25%	0.43%	0.20%	0.62%	0.56%	0.89%	0.40%	0.76%	0.25%	0.67%	1.15%	0.00%	0.14%	0.59%	0.88%	0.78%	1.12%	0.00%	0.68%	0.69%	0.68%	0.51%	0.54%	0.33%	0.75%	0.72%	0.71%	0.00%	0.88%	0.00%	1.27%	0.58%	0.50%	1.96%	0.47%	0.42%	0.65%	0.85%					
21	. Путин Владимир Владимирович	21017	286	660	998	608	912	406	535	964	795	1042	985	240	467	695	511	731	849	354	116	545	514	606	861	245	610	187	653	109	534	146	171	460	147	99	917	1063	564	432					
		71.17%	70.62%	70.29%	67.71%	75.81%	73.02%	72.50%	70.58%	66.62%	66.42%	70.03%	66.46%	70.59%	64.95%	68.34%	74.71%	71.67%	67.81%	71.66%	79.45%	74.86%	69.46%	77.10%	78.13%	80.86%	75.78%	67.27%	77.46%	76.76%	67.00%	78.07%	72.15%	67.06%	73.50%	64.71%	71.87%	74.28%	72.96%	73.34%					
22	. Хакамада Ирина Муцуовна	854	7	48	42	24	49	18	30	49	38	55	74	9	28	35	12	33	32	9	3	11	13	16	18	11	9	5	25	1	25	7	3	16	1	3	35	38	15	7					
		2.89%	1.73%	5.11%	2.85%	2.99%	3.92%	3.21%	3.96%	3.39%	3.17%	3.70%	4.99%	2.65%	3.89%	3.44%	1.75%	3.24%	2.56%	1.82%	2.05%	1.51%	1.76%	2.04%	1.63%	3.63%	1.12%	1.80%	2.97%	0.70%	3.14%	3.74%	1.27%	2.33%	0.50%	1.96%	2.74%	2.66%	1.94%	1.19%					
23	. Харитонов Николай Михайлович	3821	63	115	221	82	142	55	115	217	205	168	155	51	117	141	86	135	188	61	14	80	113	84	102	23	110	42	83	10	143	21	27	130	33	28	134	146	91	90					
		12.94%	15.56%	12.25%	14.99%	10.22%	11.37%	9.82%	15.17%	15.00%	17.13%	11.29%	10.46%	15.00%	16.27%	13.86%	12.57%	13.24%	15.02%	12.35%	9.59%	10.99%	15.27%	10.69%	9.26%	7.59%	13.66%	15.11%	9.85%	7.04%	17.94%	11.23%	11.39%	18.95%	16.50%	18.30%	10.50%	10.20%	11.77%	15.28%					
																																													
24	Против всех	1301	12	47	66	34	49	23	28	85	64	83	109	14	34	33	28	39	55	26	2	19	33	12	51	8	23	15	21	6	45	4	11	17	7	6	84	55	31	22					
		4.41%	2.96%	5.01%	4.48%	4.24%	3.92%	4.11%	3.69%	5.87%	5.35%	5.58%	7.35%	4.12%	4.73%	3.24%	4.09%	3.82%	4.39%	5.26%	1.37%	2.61%	4.46%	1.53%	4.63%	2.64%	2.86%	5.40%	2.49%	4.23%	5.65%	2.14%	4.64%	2.48%	3.50%	3.92%	6.58%	3.84%	4.01%	3.74%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
