Выборы Президента Российской Федерации																																				
																																				
Наименование Избирательной комиссии:    Чесменская																																				
																																				
Итоги голосования 																																				
																																				
		Сумма	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №2204					
1	"Число избирателей, внесенных в список"	14938	872	149	137	224	375	485	137	394	166	383	228	479	1177	100	113	78	571	272	690	170	357	709	135	950	2086	2500	377	468	156					
2	Число полученных избирательных бюллетеней	13336	776	151	139	203	422	433	136	344	169	384	226	443	1041	100	104	80	507	280	617	170	310	641	132	853	1712	2067	332	409	155					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11634	657	132	122	203	364	411	121	307	134	316	198	412	913	98	88	73	457	187	534	143	310	588	124	747	1427	1749	287	399	133					
5	"Число избирательных бюллетеней, выданных вне помещения"	572	42	0	0	0	3	14	13	19	9	27	10	7	63	0	0	1	34	56	18	0	0	0	0	67	42	121	8	10	8					
6	Число погашенных избирательных бюллетеней	1130	77	19	17	0	55	8	2	18	26	41	18	24	65	2	16	6	16	37	65	27	0	53	8	39	243	197	37	0	14					
7	Число избирательных бюллетеней в переносных ящиках	572	42	0	0	0	3	14	13	19	9	27	10	7	63	0	0	1	34	56	18	0	0	0	0	67	42	121	8	10	8					
8	Число бюллетеней в стационарных ящиках для голосования	11630	657	132	122	203	364	411	121	306	134	316	198	412	911	98	88	73	457	187	533	143	310	588	124	747	1427	1749	287	399	133					
9	Число недействительных избирательных бюллетеней	163	7	0	0	0	3	8	1	6	0	5	0	4	14	0	2	1	13	1	5	1	3	5	0	10	18	48	4	2	2					
10	Число действительных избирательных бюллетеней	12039	692	132	122	203	364	417	133	319	143	338	208	415	960	98	86	73	478	242	546	142	307	583	124	804	1451	1822	291	407	139					
11	Число полученных открепительных  удостоверений	297	10	2	2	3	4	6	2	4	2	4	6	6	13	2	2	2	7	3	8	2	4	18	2	10	80	78	4	9	2					
12	Число выданных открепительных удостоверений	155	1	0	1	0	4	0	1	0	0	3	6	5	7	0	0	0	6	0	3	2	2	13	0	10	38	44	0	9	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	103	3	2	1	3	3	1	2	1	2	2	10	1	1	2	3	2	2	3	1	2	4	3	2	1	22	16	4	2	2					
14	Число неиспользованных открепительных удостоверений	142	9	2	1	3	0	6	1	4	2	1	0	1	6	2	2	2	1	3	5	0	2	5	2	0	42	34	4	0	2					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																				
18	. Глазьев Сергей Юрьевич	255	17	4	0	6	3	5	2	6	2	9	4	6	27	2	0	0	13	6	12	2	5	15	1	20	38	34	1	14	1					
		2.09%	2.43%	3.03%	0.00%	2.96%	0.82%	1.18%	1.49%	1.85%	1.40%	2.62%	1.92%	1.43%	2.77%	2.04%	0.00%	0.00%	2.65%	2.47%	2.18%	1.40%	1.61%	2.55%	0.81%	2.46%	2.59%	1.82%	0.34%	3.42%	0.71%					
19	. Малышкин Олег Александрович	365	25	2	4	10	14	3	12	19	5	15	5	13	34	2	4	9	15	7	16	12	8	11	3	25	36	38	6	11	1					
		2.99%	3.58%	1.52%	3.28%	4.93%	3.81%	0.71%	8.96%	5.85%	3.50%	4.37%	2.40%	3.10%	3.49%	2.04%	4.55%	12.16%	3.05%	2.88%	2.90%	8.39%	2.58%	1.87%	2.42%	3.07%	2.45%	2.03%	2.03%	2.69%	0.71%					
20	. Миронов Сергей Михайлович	72	4	1	0	1	3	0	0	2	3	2	2	3	12	2	1	4	1	2	6	1	0	3	0	1	5	8	3	2	0					
		0.59%	0.57%	0.76%	0.00%	0.49%	0.82%	0.00%	0.00%	0.62%	2.10%	0.58%	0.96%	0.72%	1.23%	2.04%	1.14%	5.41%	0.20%	0.82%	1.09%	0.70%	0.00%	0.51%	0.00%	0.12%	0.34%	0.43%	1.02%	0.49%	0.00%					
21	. Путин Владимир Владимирович	8211	449	86	77	127	262	327	102	195	100	210	143	323	562	48	70	52	338	170	299	96	238	473	112	480	1004	1286	189	285	108					
		67.29%	64.23%	65.15%	63.11%	62.56%	71.39%	76.94%	76.12%	60.00%	69.93%	61.22%	68.75%	77.09%	57.70%	48.98%	79.55%	70.27%	68.84%	69.96%	54.26%	67.13%	76.77%	80.44%	90.32%	58.97%	68.35%	68.77%	64.07%	69.68%	76.60%					
22	. Хакамада Ирина Муцуовна	190	12	1	0	0	2	2	2	2	1	5	1	3	21	1	0	2	9	2	8	1	0	7	0	16	40	47	2	2	1					
		1.56%	1.72%	0.76%	0.00%	0.00%	0.54%	0.47%	1.49%	0.62%	0.70%	1.46%	0.48%	0.72%	2.16%	1.02%	0.00%	2.70%	1.83%	0.82%	1.45%	0.70%	0.00%	1.19%	0.00%	1.97%	2.72%	2.51%	0.68%	0.49%	0.71%					
23	. Харитонов Николай Михайлович	2733	173	37	40	58	75	77	13	88	29	88	50	60	285	43	11	6	91	50	195	27	55	67	5	252	292	366	85	90	25					
		22.40%	24.75%	28.03%	32.79%	28.57%	20.44%	18.12%	9.70%	27.08%	20.28%	25.66%	24.04%	14.32%	29.26%	43.88%	12.50%	8.11%	18.53%	20.58%	35.39%	18.88%	17.74%	11.39%	4.03%	30.96%	19.88%	19.57%	28.81%	22.00%	17.73%					
																																				
24	Против всех	213	12	1	1	1	5	3	2	7	3	9	3	7	19	0	0	0	11	5	10	3	1	7	3	10	36	43	5	3	3					
		1.75%	1.72%	0.76%	0.82%	0.49%	1.36%	0.71%	1.49%	2.15%	2.10%	2.62%	1.44%	1.67%	1.95%	0.00%	0.00%	0.00%	2.24%	2.06%	1.81%	2.10%	0.32%	1.19%	2.42%	1.23%	2.45%	2.30%	1.69%	0.73%	2.13%					
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
