Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Перевозская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951					
1	"Число избирателей, внесенных в список"	12484	2253	1800	1495	1382	251	291	597	208	564	144	88	201	240	599	357	122	356	357	192	659	328					
2	Число полученных избирательных бюллетеней	13450	2200	2000	1600	1500	300	300	600	250	600	200	100	250	300	650	400	150	400	400	200	700	350					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8468	1560	1149	984	909	210	197	397	137	363	79	74	150	184	387	249	108	272	287	123	434	215					
5	"Число избирательных бюллетеней, выданных вне помещения"	915	24	30	29	64	22	33	83	57	120	55	8	41	51	64	27	3	31	35	15	49	74					
6	Число погашенных избирательных бюллетеней	4067	616	821	587	527	68	70	120	56	117	66	18	59	65	199	124	39	97	78	62	217	61					
7	Число избирательных бюллетеней в переносных ящиках	915	24	30	29	64	22	33	83	57	120	55	8	41	51	64	27	3	31	35	15	49	74					
8	Число бюллетеней в стационарных ящиках для голосования	8444	1559	1126	984	909	210	197	397	137	363	79	74	150	184	387	249	108	272	287	123	434	215					
9	Число недействительных избирательных бюллетеней	92	11	12	6	5	3	0	11	2	6	2	1	2	0	4	5	5	4	2	4	3	4					
10	Число действительных избирательных бюллетеней	9267	1572	1144	1007	968	229	230	469	192	477	132	81	189	235	447	271	106	299	320	134	480	285					
11	Число полученных открепительных  удостоверений	255	20	20	20	20	10	10	10	10	10	10	10	10	10	10	10	10	10	15	10	10	10					
12	Число выданных открепительных удостоверений	57	5	4	3	0	4	7	2	1	1	0	0	0	4	4	0	0	0	15	2	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	54	17	3	2	2	2	2	1	1	4	3	0	0	2	0	6	0	1	2	3	2	1					
14	Число неиспользованных открепительных удостоверений	198	15	16	17	20	6	3	8	9	9	10	10	10	6	6	10	10	10	0	8	5	10					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	252	69	37	34	37	4	5	10	3	12	1	1	3	4	4	5	0	5	6	1	7	4					
		2.69%	4.36%	3.20%	3.36%	3.80%	1.72%	2.17%	2.08%	1.55%	2.48%	0.75%	1.22%	1.57%	1.70%	0.89%	1.81%	0.00%	1.65%	1.86%	0.72%	1.45%	1.38%					
19	. Малышкин Олег Александрович	303	60	25	32	24	14	10	13	6	22	3	7	12	15	14	12	0	5	8	0	14	7					
		3.24%	3.79%	2.16%	3.16%	2.47%	6.03%	4.35%	2.71%	3.09%	4.55%	2.24%	8.54%	6.28%	6.38%	3.10%	4.35%	0.00%	1.65%	2.48%	0.00%	2.90%	2.42%					
20	. Миронов Сергей Михайлович	93	18	11	9	8	4	4	3	1	10	2	0	3	1	2	4	0	2	5	1	3	2					
		0.99%	1.14%	0.95%	0.89%	0.82%	1.72%	1.74%	0.62%	0.52%	2.07%	1.49%	0.00%	1.57%	0.43%	0.44%	1.45%	0.00%	0.66%	1.55%	0.72%	0.62%	0.69%					
21	. Путин Владимир Владимирович	5780	920	719	620	604	154	138	332	138	300	85	17	125	131	311	174	69	231	158	79	307	168					
		61.76%	58.12%	62.20%	61.20%	62.08%	66.38%	60.00%	69.17%	71.13%	62.11%	63.43%	20.73%	65.45%	55.74%	68.96%	63.04%	62.16%	76.24%	49.07%	57.25%	63.56%	58.13%					
22	. Хакамада Ирина Муцуовна	338	80	55	43	48	5	7	10	4	10	2	1	8	5	6	7	3	10	8	3	13	10					
		3.61%	5.05%	4.76%	4.24%	4.93%	2.16%	3.04%	2.08%	2.06%	2.07%	1.49%	1.22%	4.19%	2.13%	1.33%	2.54%	2.70%	3.30%	2.48%	2.17%	2.69%	3.46%					
23	. Харитонов Николай Михайлович	2325	382	297	236	228	46	61	95	39	111	33	52	33	76	107	67	33	46	125	47	126	85					
		24.84%	24.13%	25.69%	23.30%	23.43%	19.83%	26.52%	19.79%	20.10%	22.98%	24.63%	63.41%	17.28%	32.34%	23.73%	24.28%	29.73%	15.18%	38.82%	34.06%	26.09%	29.41%					
																												
24	Против всех	176	43	0	33	19	2	5	6	1	12	6	3	5	3	3	2	1	0	10	3	10	9					
		1.88%	2.72%	0.00%	3.26%	1.95%	0.86%	2.17%	1.25%	0.52%	2.48%	4.48%	3.66%	2.62%	1.28%	0.67%	0.72%	0.90%	0.00%	3.11%	2.17%	2.07%	3.11%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
