Выборы Президента Российской Федерации													
													
Наименование Избирательной комиссии:    Волгореченская городская													
													
Итоги голосования 													
													
		Сумма	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68					
1	"Число избирателей, внесенных в список"	14405	2269	2597	2320	2296	2441	2482					
2	Число полученных избирательных бюллетеней	14360	2280	2560	2320	2270	2470	2460					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8620	1407	1523	1348	1375	1467	1500					
5	"Число избирательных бюллетеней, выданных вне помещения"	206	38	35	44	48	18	23					
6	Число погашенных избирательных бюллетеней	5534	835	1002	928	847	985	937					
7	Число избирательных бюллетеней в переносных ящиках	206	38	35	44	48	18	23					
8	Число бюллетеней в стационарных ящиках для голосования	8619	1407	1523	1347	1375	1467	1500					
9	Число недействительных избирательных бюллетеней	54	8	6	15	14	6	5					
10	Число действительных избирательных бюллетеней	8771	1437	1552	1376	1409	1479	1518					
11	Число полученных открепительных  удостоверений	219	36	37	36	36	37	37					
12	Число выданных открепительных удостоверений	43	7	10	8	6	7	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	27	2	11	4	4	2	4					
14	Число неиспользованных открепительных удостоверений	176	29	27	28	30	30	32					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"													
18	. Глазьев Сергей Юрьевич	445	62	83	63	76	67	94					
		5.04%	4.29%	5.33%	4.53%	5.34%	4.51%	6.17%					
19	. Малышкин Олег Александрович	325	38	54	80	39	64	50					
		3.68%	2.63%	3.47%	5.75%	2.74%	4.31%	3.28%					
20	. Миронов Сергей Михайлович	83	13	11	11	18	13	17					
		0.94%	0.90%	0.71%	0.79%	1.26%	0.88%	1.12%					
21	. Путин Владимир Владимирович	6041	1031	1061	958	983	987	1021					
		68.45%	71.35%	68.10%	68.87%	69.08%	66.46%	67.04%					
22	. Хакамада Ирина Муцуовна	325	34	95	29	38	53	76					
		3.68%	2.35%	6.10%	2.08%	2.67%	3.57%	4.99%					
23	. Харитонов Николай Михайлович	1132	196	157	198	191	227	163					
		12.83%	13.56%	10.08%	14.23%	13.42%	15.29%	10.70%					
													
24	Против всех	420	63	91	37	64	68	97					
		4.76%	4.36%	5.84%	2.66%	4.50%	4.58%	6.37%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
