Выборы Президента Российской Федерации																																																																												
																																																																												
Наименование Избирательной комиссии:    Илишевская																																																																												
																																																																												
Итоги голосования 																																																																												
																																																																												
		Сумма	УИК №2446	УИК №2447	УИК №2448	УИК №2449	УИК №2450	УИК №2451	УИК №2452	УИК №2453	УИК №2454	УИК №2455	УИК №2456	УИК №2457	УИК №2458	УИК №2459	УИК №2460	УИК №2461	УИК №2462	УИК №2463	УИК №2464	УИК №2465	УИК №2466	УИК №2467	УИК №2468	УИК №2469	УИК №2470	УИК №2471	УИК №2472	УИК №2473	УИК №2474	УИК №2475	УИК №2476	УИК №2477	УИК №2478	УИК №2479	УИК №2480	УИК №2481	УИК №2482	УИК №2483	УИК №2484	УИК №2485	УИК №2486	УИК №2487	УИК №2488	УИК №2489	УИК №2490	УИК №2491	УИК №2492	УИК №2493	УИК №2494	УИК №2495	УИК №2496	УИК №2497	УИК №2498	УИК №2499	УИК №2500	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514					
1	"Число избирателей, внесенных в список"	23769	393	115	227	561	240	150	513	196	378	287	80	317	190	247	399	586	93	102	244	215	501	175	113	132	437	283	86	384	204	154	459	275	150	46	549	301	451	232	394	372	257	91	217	384	146	109	171	602	319	147	448	109	78	362	365	484	384	274	523	591	85	262	286	181	1070	1053	1213	1188	1139					
2	Число полученных избирательных бюллетеней	25100	411	120	231	578	243	165	520	199	397	304	87	326	194	253	408	596	98	104	251	221	546	175	123	139	441	291	94	400	207	158	468	281	161	53	567	314	459	242	401	385	262	96	223	393	156	115	178	619	323	153	455	110	83	373	378	505	395	288	552	602	90	274	294	193	1247	1216	1292	1309	1315					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	22635	373	110	217	550	223	133	490	190	370	285	78	286	155	225	374	543	87	96	228	201	481	163	106	132	417	259	86	375	195	144	418	264	135	43	525	290	420	206	356	372	245	88	217	384	146	109	171	596	300	145	420	109	77	345	345	468	361	262	500	519	73	260	280	165	1020	1002	1147	1164	1116					
5	"Число избирательных бюллетеней, выданных вне помещения"	986	20	5	10	11	15	17	20	6	4	2	2	27	31	22	24	43	6	6	16	14	20	12	7	0	20	22	0	9	9	10	41	9	15	3	23	11	31	26	38	0	8	3	0	0	0	0	0	6	19	2	23	0	1	17	20	15	22	10	23	51	12	2	6	16	39	41	29	5	9					
6	Число погашенных избирательных бюллетеней	1479	18	5	4	17	5	15	10	3	23	17	7	13	8	6	10	10	5	2	7	6	45	0	10	7	4	10	8	16	3	4	9	8	11	7	19	13	8	10	7	13	9	5	6	9	10	6	7	17	4	6	12	1	5	11	13	22	12	16	29	32	5	12	8	12	188	173	116	140	190					
7	Число избирательных бюллетеней в переносных ящиках	986	20	5	10	11	15	17	20	6	4	2	2	27	31	22	24	43	6	6	16	14	20	12	7	0	20	22	0	9	9	10	41	9	15	3	23	11	31	26	38	0	8	3	0	0	0	0	0	6	19	2	23	0	1	17	20	15	22	10	23	51	12	2	6	16	39	41	29	5	9					
8	Число бюллетеней в стационарных ящиках для голосования	22635	373	110	217	550	223	133	490	190	370	285	78	286	155	225	374	543	87	96	228	201	481	163	106	132	417	259	86	375	195	144	418	264	135	43	525	290	420	206	356	372	245	88	217	384	146	109	171	596	300	145	420	109	77	345	345	468	361	262	500	519	73	260	280	165	1020	1002	1147	1164	1116					
9	Число недействительных избирательных бюллетеней	10	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	2	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	23611	393	115	227	561	237	150	508	196	374	287	80	313	186	247	398	586	93	102	244	215	501	175	113	132	437	281	85	384	204	154	459	273	150	46	548	301	451	232	394	372	253	91	217	384	146	109	171	602	319	147	443	109	78	362	365	482	383	270	523	570	85	261	286	179	1059	1043	1176	1169	1125					
