Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Елизовская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139					
1	"Число избирателей, внесенных в список"	50370	2753	829	1648	195	2959	2856	2006	791	637	1700	2073	2439	1510	2297	2843	1746	2374	1928	476	2832	1354	731	605	850	980	857	2289	687	1648	121	611	305	302	870	223	1045					
2	Число полученных избирательных бюллетеней	45768	2550	770	1500	193	2700	2500	1830	700	580	1550	1860	2230	1330	2100	2600	1550	2010	1760	430	2600	1250	670	580	770	980	740	2050	640	1450	125	580	300	280	860	220	930					
3	"Число избирательных бюллетеней, выданных  досрочно"	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	30	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	27789	1484	449	837	117	1867	1457	987	510	253	1025	1191	1368	867	1253	1647	913	1199	940	228	1479	729	468	355	492	604	400	1305	360	888	73	393	243	205	494	115	594					
5	"Число избирательных бюллетеней, выданных вне помещения"	847	20	12	25	0	7	11	8	14	40	16	21	18	10	15	20	20	165	12	76	15	11	12	18	2	12	141	25	5	12	0	13	0	5	13	21	32					
6	Число погашенных избирательных бюллетеней	17079	1046	309	638	76	826	1032	835	176	287	509	648	844	453	832	933	617	646	808	126	1106	510	190	207	276	364	176	720	275	550	52	174	27	70	353	84	304					
7	Число избирательных бюллетеней в переносных ящиках	900	20	12	25	0	7	11	8	14	40	16	21	18	10	15	20	20	165	12	76	15	11	12	18	2	12	164	25	5	12	0	13	30	5	13	21	32					
8	Число бюллетеней в стационарных ящиках для голосования	27786	1484	449	837	117	1866	1457	987	510	253	1025	1189	1368	867	1253	1647	913	1199	940	228	1479	729	468	355	492	604	400	1305	360	888	73	393	243	205	494	115	594					
9	Число недействительных избирательных бюллетеней	184	6	1	4	0	13	11	7	4	1	2	13	8	7	12	6	1	7	13	2	16	4	0	2	0	5	2	6	3	3	0	5	0	3	10	1	6					
10	Число действительных избирательных бюллетеней	28502	1498	460	858	117	1860	1457	988	520	292	1039	1197	1378	870	1256	1661	932	1357	939	302	1478	736	480	371	494	611	562	1324	362	897	73	401	273	207	497	135	620					
11	Число полученных открепительных  удостоверений	1350	50	40	50	10	60	60	50	20	20	60	60	60	40	50	60	50	40	30	20	50	40	30	40	40	40	30	50	20	45	10	10	30	10	20	15	40					
12	Число выданных открепительных удостоверений	303	14	0	9	0	22	19	12	3	0	11	8	10	6	14	49	8	16	4	10	13	7	4	6	6	6	1	8	3	4	0	1	5	1	4	9	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	286	6	0	6	0	14	8	17	8	2	6	11	8	10	10	22	5	11	3	5	11	3	0	46	25	4	13	4	4	4	3	3	1	1	1	2	9					
14	Число неиспользованных открепительных удостоверений	1047	36	40	41	10	38	41	38	17	20	49	52	50	34	36	11	42	24	26	10	37	33	26	34	34	34	29	42	17	41	10	9	25	9	16	6	30					
15	"Число открепительных удостоверений, выданных в ТИК"	44	1	2	1	0	5	4	0	1	2	1	2	4	0	2	6	2	1	0	0	2	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	3					
