Выборы Президента Российской Федерации																																																												
																																																												
Наименование Избирательной комиссии:    Высокогорская																																																												
																																																												
Итоги голосования 																																																												
																																																												
		Сумма	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345					
1	"Число избирателей, внесенных в список"	33318	316	141	145	485	271	321	126	295	431	251	393	128	633	253	2113	1514	1383	1574	1469	442	1302	178	357	173	2257	954	513	233	600	1496	455	245	346	290	822	558	220	348	469	284	193	211	275	121	1429	745	1259	601	194	1407	349	942	808					
2	Число полученных избирательных бюллетеней	32963	320	145	150	490	275	325	130	295	427	255	400	130	640	255	2100	1450	1400	1450	1350	445	1300	180	360	175	2050	920	525	240	580	1400	450	250	350	290	840	560	220	345	475	290	205	215	275	121	1470	750	1290	610	200	1400	375	1000	820					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	27957	280	126	121	441	236	295	108	256	396	230	339	128	600	228	1643	1041	1144	1076	1262	342	1131	154	267	132	1510	768	513	226	508	1293	431	199	320	268	746	484	178	290	404	210	168	198	227	113	1312	726	1204	550	179	1203	237	782	734					
5	"Число избирательных бюллетеней, выданных вне помещения"	2250	36	15	24	44	35	26	18	39	31	21	54	0	33	25	125	99	27	45	38	49	80	23	90	41	108	26	0	0	24	26	17	29	26	22	74	52	6	32	53	74	25	13	48	8	104	0	46	51	14	48	112	120	74					
6	Число погашенных избирательных бюллетеней	2756	4	4	5	5	4	4	4	0	0	4	7	2	7	2	332	310	229	329	50	54	89	3	3	2	432	126	12	14	48	81	2	22	4	0	20	24	36	23	18	6	12	4	0	0	54	24	40	9	7	149	26	98	12					
7	Число избирательных бюллетеней в переносных ящиках	2250	36	15	24	44	35	26	18	39	31	21	54	0	33	25	125	99	27	45	38	49	80	23	90	41	108	26	0	0	24	26	17	29	26	22	74	52	6	32	53	74	25	13	48	8	104	0	46	51	14	48	112	120	74					
8	Число бюллетеней в стационарных ящиках для голосования	27957	280	126	121	441	236	295	108	256	396	230	339	128	600	228	1643	1041	1144	1076	1262	342	1131	154	267	132	1510	768	513	226	508	1293	431	199	320	268	746	484	178	290	404	210	168	198	227	113	1312	726	1204	550	179	1203	237	782	734					
9	Число недействительных избирательных бюллетеней	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	6	5	0	7	1	0	2	13	7	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0					
10	Число действительных избирательных бюллетеней	30139	316	141	145	485	271	321	126	295	427	251	393	128	633	253	1768	1134	1167	1115	1295	391	1204	176	357	171	1605	787	510	226	532	1319	448	228	346	290	820	534	184	322	457	284	193	211	275	121	1416	726	1250	601	193	1251	349	890	808					
11	Число полученных открепительных  удостоверений	757	10	5	5	10	5	10	5	10	10	5	10	5	15	5	40	30	25	30	25	10	25	5	5	5	70	20	10	0	20	20	10	10	5	5	15	15	5	10	10	10	10	5	5	5	25	15	25	20	7	30	25	20	20					
12	Число выданных открепительных удостоверений	508	5	0	1	4	1	3	0	1	2	0	10	0	3	0	33	20	24	30	25	5	25	0	3	0	59	4	10	0	8	13	3	8	5	5	15	15	1	10	3	10	8	1	4	0	11	1	18	16	7	25	20	17	16					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	320	0	0	0	1	0	5	1	4	2	3	9	0	1	2	12	12	6	7	5	10	12	2	3	2	59	9	9	4	8	9	1	7	3	2	5	13	8	5	2	7	0	0	3	2	11	0	7	8	5	8	4	12	10					
14	Число неиспользованных открепительных удостоверений	249	5	5	4	6	4	7	5	9	8	5	0	5	12	5	7	10	1	0	0	5	0	5	2	5	11	16	0	0	12	7	7	2	0	0	0	0	4	0	7	0	2	4	1	5	14	14	7	4	0	5	5	3	4					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																												
18	. Глазьев Сергей Юрьевич	298	1	0	0	0	0	4	1	0	1	0	0	0	2	4	7	40	15	32	29	4	8	0	0	3	39	9	3	0	13	10	8	0	0	0	0	11	8	5	9	0	1	0	0	0	0	0	1	2	1	8	4	15	0					
		0.99%	0.32%	0.00%	0.00%	0.00%	0.00%	1.25%	0.79%	0.00%	0.23%	0.00%	0.00%	0.00%	0.32%	1.58%	0.40%	3.51%	1.28%	2.85%	2.23%	1.02%	0.66%	0.00%	0.00%	1.73%	2.41%	1.13%	0.58%	0.00%	2.44%	0.76%	1.79%	0.00%	0.00%	0.00%	0.00%	2.05%	4.35%	1.55%	1.97%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.33%	0.52%	0.64%	1.15%	1.66%	0.00%					
19	. Малышкин Олег Александрович	179	0	0	0	0	0	3	1	0	1	0	0	0	0	0	11	16	5	9	20	4	5	2	0	2	26	3	2	0	9	7	11	0	0	0	0	3	0	8	5	0	0	0	0	0	3	2	0	3	0	7	1	10	0					
		0.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.93%	0.79%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.62%	1.40%	0.43%	0.80%	1.54%	1.02%	0.41%	1.13%	0.00%	1.16%	1.61%	0.38%	0.39%	0.00%	1.69%	0.53%	2.46%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	2.48%	1.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.28%	0.00%	0.50%	0.00%	0.56%	0.29%	1.11%	0.00%					
