Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Вытегорская																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457					
1	"Число избирателей, внесенных в список"	24161	1794	1323	1698	1954	1911	303	240	981	168	250	468	279	97	107	152	130	250	68	241	433	1040	166	121	570	208	250	676	336	55	111	952	1268	906	438	489	190	77	122	772	1056	205	341	737	188	40					
2	Число полученных избирательных бюллетеней	24048	1800	1305	1720	1965	1880	310	240	945	165	250	470	280	102	110	155	136	255	70	245	435	1025	165	120	570	210	250	675	335	55	110	925	1290	865	450	500	195	76	122	750	1045	205	330	720	182	40					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12874	977	641	891	940	939	176	119	541	102	155	305	141	65	66	90	74	147	43	74	219	555	97	68	329	136	184	409	159	24	79	459	634	452	280	286	112	42	69	328	557	142	221	412	109	26					
5	"Число избирательных бюллетеней, выданных вне помещения"	1462	35	67	53	56	91	9	14	80	17	22	27	36	5	18	16	17	30	5	60	20	80	5	16	22	42	12	27	50	18	6	42	55	56	11	15	23	23	25	115	71	4	19	16	25	6					
6	Число погашенных избирательных бюллетеней	9712	788	597	776	969	850	125	107	324	46	73	138	103	32	26	49	45	78	22	111	196	390	63	36	219	32	54	239	126	13	25	424	601	357	159	199	60	11	28	307	417	59	90	292	48	8					
7	Число избирательных бюллетеней в переносных ящиках	1462	35	67	53	56	91	9	14	80	17	22	27	36	5	18	16	17	30	5	60	20	80	5	16	22	42	12	27	50	18	6	42	55	56	11	15	23	23	25	115	71	4	19	16	25	6					
8	Число бюллетеней в стационарных ящиках для голосования	12873	977	641	891	940	939	176	119	541	102	155	305	141	65	66	90	74	147	43	74	219	555	97	68	329	136	184	409	159	24	79	459	634	452	280	286	112	42	69	327	557	142	221	412	109	26					
9	Число недействительных избирательных бюллетеней	149	8	3	9	11	5	1	2	13	1	1	5	0	0	1	1	0	2	1	0	0	4	2	2	1	1	1	11	1	0	1	5	12	8	2	1	3	2	0	5	9	1	3	9	1	0					
10	Число действительных избирательных бюллетеней	14186	1004	705	935	985	1025	184	131	608	118	176	327	177	70	83	105	91	175	47	134	239	631	100	82	350	177	195	425	208	42	84	496	677	500	289	300	132	63	94	437	619	145	237	419	133	32					
11	Число полученных открепительных  удостоверений	351	10	10	10	15	25	10	10	10	5	5	10	5	5	5	5	5	5	5	5	10	10	5	5	10	5	5	10	5	5	5	10	10	10	5	5	5	5	5	10	20	5	5	10	6	5					
12	Число выданных открепительных удостоверений	104	5	4	9	10	19	1	0	7	0	0	1	0	1	2	0	2	0	0	1	0	2	0	0	0	2	1	2	0	1	0	2	3	1	1	1	2	1	2	1	13	3	1	3	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	79	2	2	6	4	5	0	0	2	2	2	2	0	0	2	1	1	4	0	1	1	3	1	2	1	2	1	4	1	0	1	6	3	1	0	1	0	1	1	3	1	2	0	0	7	0					
14	Число неиспользованных открепительных удостоверений	247	5	6	1	5	6	9	10	3	5	5	9	5	4	3	5	3	5	5	4	10	8	5	5	10	3	4	8	5	4	5	8	7	9	4	4	3	4	3	9	7	2	4	7	6	5					
