Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Рязанский район																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515					
1	"Число избирателей, внесенных в список"	54092	2630	2794	2567	2673	1033	1922	1678	2806	1637	1562	2105	1897	1745	1322	2462	1738	2681	1876	2486	2645	2586	2297	1914	2679	2357					
2	Число полученных избирательных бюллетеней	50320	2540	2610	2410	2470	1000	1800	1600	2620	1510	1430	2000	1760	1600	1220	2250	1620	2440	1710	2290	2430	2350	2180	1790	2490	2200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	31228	1615	1723	1340	1430	617	1090	1020	1614	933	888	1147	1042	993	735	1461	1163	1713	1097	1442	1504	1457	1348	1024	1512	1320					
5	"Число избирательных бюллетеней, выданных вне помещения"	1097	84	56	70	73	13	53	52	39	30	28	54	32	32	29	19	25	71	44	36	28	45	34	47	65	38					
6	Число погашенных избирательных бюллетеней	17995	841	831	1000	967	370	657	528	967	547	514	799	686	575	456	770	432	656	569	812	898	848	798	719	913	842					
7	Число избирательных бюллетеней в переносных ящиках	1096	84	56	70	73	13	53	52	39	29	28	54	32	32	29	19	25	71	44	36	28	45	34	47	65	38					
8	Число бюллетеней в стационарных ящиках для голосования	31099	1614	1622	1340	1412	617	1088	1020	1614	927	888	1147	1042	993	734	1461	1163	1713	1097	1442	1504	1457	1348	1024	1512	1320					
9	Число недействительных избирательных бюллетеней	434	16	26	22	12	7	4	5	10	8	11	15	4	12	12	14	89	13	21	16	30	11	24	15	19	18					
10	Число действительных избирательных бюллетеней	31761	1682	1652	1388	1473	623	1137	1067	1643	948	905	1186	1070	1013	751	1466	1099	1771	1120	1462	1502	1491	1358	1056	1558	1340					
11	Число полученных открепительных  удостоверений	1470	60	80	70	80	50	50	50	80	50	50	50	60	50	50	70	60	50	50	50	50	50	70	50	80	60					
