Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Благовещенская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127					
1	"Число избирателей, внесенных в список"	14014	1221	281	267	1058	92	369	222	101	656	75	113	134	506	671	1870	856	624	682	450	257	1007	176	1062	564	133	112	201	254					
2	Число полученных избирательных бюллетеней	14100	1250	280	266	1050	92	357	206	101	670	77	114	143	505	680	1890	870	640	695	430	251	1015	175	1090	553	134	112	203	251					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8332	732	163	155	685	88	276	169	65	452	62	73	86	305	331	1035	537	331	376	258	146	629	114	502	323	90	63	126	160					
5	"Число избирательных бюллетеней, выданных вне помещения"	526	16	9	4	48	0	9	9	5	18	1	1	11	13	14	62	16	43	22	23	18	28	4	49	42	10	12	22	17					
6	Число погашенных избирательных бюллетеней	5242	502	108	107	317	4	72	28	31	200	14	40	46	187	335	793	317	266	297	149	87	358	57	539	188	34	37	55	74					
7	Число избирательных бюллетеней в переносных ящиках	526	16	9	4	48	0	9	9	5	18	1	1	11	13	14	62	16	43	22	23	18	28	4	49	42	10	12	22	17					
8	Число бюллетеней в стационарных ящиках для голосования	8331	732	163	155	685	88	276	169	65	452	62	73	86	305	331	1034	537	331	376	258	146	629	114	502	323	90	63	126	160					
9	Число недействительных избирательных бюллетеней	101	14	3	1	5	7	1	0	2	1	0	1	0	5	9	8	5	4	5	3	2	6	2	11	3	0	0	1	2					
10	Число действительных избирательных бюллетеней	8756	734	169	158	728	81	284	178	68	469	63	73	97	313	336	1088	548	370	393	278	162	651	116	540	362	100	75	147	175					
11	Число полученных открепительных  удостоверений	163	10	4	4	10	0	5	3	3	7	3	3	10	6	7	10	9	7	7	5	4	10	3	10	5	3	3	8	4					
12	Число выданных открепительных удостоверений	64	6	3	2	2	0	0	0	0	2	0	2	7	0	0	9	7	4	6	2	2	0	0	3	4	0	0	3	0					
