Выборы Президента Российской Федерации								
								
Наименование Избирательной комиссии:    Магасская								
								
Итоги голосования 								
								
		Сумма	УИК  14					
1	"Число избирателей, внесенных в список"	97	97					
2	Число полученных избирательных бюллетеней	98	98					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	96	96					
5	"Число избирательных бюллетеней, выданных вне помещения"	0	0					
6	Число погашенных избирательных бюллетеней	2	2					
7	Число избирательных бюллетеней в переносных ящиках	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	96	96					
9	Число недействительных избирательных бюллетеней	0	0					
10	Число действительных избирательных бюллетеней	96	96					
11	Число полученных открепительных  удостоверений	16	16					
12	Число выданных открепительных удостоверений	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	4	4					
14	Число неиспользованных открепительных удостоверений	16	16					
15	"Число открепительных удостоверений, выданных в ТИК"	4	4					
16	Число утраченных избирательных бюллетеней	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0					
"Число голосов избирателей, поданных за каждый список"								
18	. Глазьев Сергей Юрьевич	1	1					
		1.04%	1.04%					
19	. Малышкин Олег Александрович	0	0					
		0.00%	0.00%					
20	. Миронов Сергей Михайлович	5	5					
		5.21%	5.21%					
21	. Путин Владимир Владимирович	89	89					
		92.71%	92.71%					
22	. Хакамада Ирина Муцуовна	0	0					
		0.00%	0.00%					
23	. Харитонов Николай Михайлович	1	1					
		1.04%	1.04%					
								
24	Против всех	0	0					
		0.00%	0.00%					
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
