Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Батайская городская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №2542	УИК №2543	УИК №2582	УИК №2583	УИК №2584	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605					
1	"Число избирателей, внесенных в список"	80576	1851	1727	2059	2505	1944	1984	1772	2384	1556	2356	2178	1948	2234	1605	2233	2184	1971	1828	2518	1797	2161	2088	1740	1878	1673	1828	2185	2164	2416	2520	1832	1608	1737	1421	2048	1853	1934	1933	1720	1294	1909					
2	Число полученных избирательных бюллетеней	80536	1848	1710	2065	2516	1968	1954	1765	2349	1442	2345	2193	1916	2215	1604	2257	2171	1974	1816	2539	1777	2146	2090	1775	1971	1623	1813	2221	2153	2409	2547	1857	1595	1750	1454	2051	1897	1921	1973	1724	1275	1867					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	48510	997	1066	1222	1370	1146	1100	1202	1514	918	1416	1345	1079	1471	932	1302	1282	1139	1050	1666	985	1260	1121	1064	985	916	941	1427	1279	1567	1819	1242	894	1172	845	1138	1027	1297	1246	1111	849	1108					
5	"Число избирательных бюллетеней, выданных вне помещения"	1930	66	28	83	42	40	41	27	22	170	38	24	34	49	52	33	48	54	49	38	39	48	50	31	85	85	89	26	42	23	46	21	81	24	41	28	58	9	60	21	24	61					
6	Число погашенных избирательных бюллетеней	30096	785	616	760	1104	782	813	536	813	354	891	824	803	695	620	922	841	781	717	835	753	838	919	680	901	622	783	768	832	819	682	594	620	554	568	885	812	615	667	592	402	698					
7	Число избирательных бюллетеней в переносных ящиках	1930	66	28	83	42	40	41	27	22	170	38	24	34	49	52	33	48	54	49	38	39	48	50	31	85	85	89	26	42	23	46	21	81	24	41	28	58	9	60	21	24	61					
8	Число бюллетеней в стационарных ящиках для голосования	48477	995	1066	1222	1370	1146	1100	1202	1514	918	1414	1345	1079	1471	915	1302	1282	1138	1050	1666	985	1260	1121	1064	985	916	941	1427	1279	1566	1816	1239	894	1172	845	1138	1026	1295	1246	1110	849	1108					
9	Число недействительных избирательных бюллетеней	798	12	25	9	22	19	10	17	14	9	18	16	62	20	8	34	15	18	50	15	30	25	17	22	15	28	19	10	21	4	14	14	27	26	16	16	22	16	16	10	10	27					
10	Число действительных избирательных бюллетеней	49609	1049	1069	1296	1390	1167	1131	1212	1522	1079	1434	1353	1051	1500	959	1301	1315	1174	1049	1689	994	1283	1154	1073	1055	973	1011	1443	1300	1585	1848	1246	948	1170	870	1150	1062	1288	1290	1121	863	1142					
